"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Celastraceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
664	682	"Derput"	57.03333	124.11667	30	"AWI"	30	171	804	427	0	23	0	2	5	0	82	0	0	0	12	12	19	6	0	5	100	4	0	0	0	0	2	0	0
664	682	"Derput"	57.03333	124.11667	40	"AWI"	40	300	993	597	0	42	0	10	6	0	126	0	0	0	26	7	16	7	0	8	110	11	0	1	0	0	6	1	1
664	682	"Derput"	57.03333	124.11667	50	"AWI"	50	435	1178	759	0	13	0	0	4	0	40	0	0	0	122	0	6	43	0	9	97	18	0	0	0	0	2	0	0
664	682	"Derput"	57.03333	124.11667	60	"AWI"	60	573	1366	933	1	22	0	9	4	0	140	0	0	0	22	5	16	17	1	6	86	13	0	1	0	0	7	0	1
664	682	"Derput"	57.03333	124.11667	70	"AWI"	70	712	1528	1099	0	27	0	0	4	0	77	0	0	0	26	2	15	15	0	7	118	2	0	0	0	0	0	0	0
664	682	"Derput"	57.03333	124.11667	80	"AWI"	80	872	1704	1263	0	27	2	0	7	0	105	0	0	0	33	0	13	8	0	13	72	0	0	0	0	0	2	0	1
664	682	"Derput"	57.03333	124.11667	90	"AWI"	90	1020	1865	1435	0	23	0	0	2	0	130	0	0	0	26	2	11	10	0	5	67	8	0	0	0	0	0	0	0
664	682	"Derput"	57.03333	124.11667	100	"AWI"	100	1186	2024	1605	0	37	0	0	4	0	67	0	0	0	25	5	10	19	0	7	93	1	0	0	0	0	2	0	0
664	682	"Derput"	57.03333	124.11667	110	"AWI"	110	1355	2175	1768	0	55	0	2	4	0	115	0	0	0	12	1	25	14	0	14	127	3	0	0	0	0	0	0	0
664	682	"Derput"	57.03333	124.11667	120	"AWI"	120	1529	2316	1941	0	28	1	0	8	0	98	0	0	0	37	1	8	7	0	11	72	6	0	0	0	0	1	0	0
664	682	"Derput"	57.03333	124.11667	130	"AWI"	130	1698	2481	2104	0	19	1	0	4	0	78	0	0	0	7	1	22	12	0	5	91	3	0	0	0	0	0	0	1
664	682	"Derput"	57.03333	124.11667	140	"AWI"	140	1894	2624	2272	0	19	2	0	4	0	99	0	0	0	8	1	22	1	0	6	79	2	0	0	0	0	0	0	1
664	682	"Derput"	57.03333	124.11667	150	"AWI"	150	2084	2765	2438	0	17	1	0	5	0	104	0	0	0	5	0	12	7	0	6	105	3	0	0	0	0	0	0	2
664	682	"Derput"	57.03333	124.11667	160	"AWI"	160	2297	2896	2607	0	34	1	0	6	0	113	0	0	0	28	0	18	11	0	12	56	2	0	0	0	0	0	0	0
664	682	"Derput"	57.03333	124.11667	170	"AWI"	170	2541	3041	2761	0	46	4	0	9	0	141	0	0	0	4	0	10	18	0	12	109	3	0	0	0	1	0	0	1
664	682	"Derput"	57.03333	124.11667	180	"AWI"	180	2791	3259	2938	0	31	1	0	9	0	96	0	0	0	4	2	25	16	0	11	52	2	0	0	0	0	3	0	0
664	682	"Derput"	57.03333	124.11667	190	"AWI"	190	2916	3569	3164	0	31	2	0	6	0	136	0	0	0	10	0	19	11	0	12	94	2	0	0	0	0	3	0	0
664	682	"Derput"	57.03333	124.11667	200	"AWI"	200	3071	3877	3402	0	36	0	0	8	0	108	0	0	0	13	0	16	12	0	9	88	1	0	1	0	0	0	0	1
664	682	"Derput"	57.03333	124.11667	210	"AWI"	210	3235	4167	3639	0	39	0	0	9	0	261	0	0	0	19	0	28	10	0	16	114	11	0	0	0	0	2	0	0
664	682	"Derput"	57.03333	124.11667	220	"AWI"	220	3420	4433	3875	0	0	0	0	7	0	166	0	0	0	18	0	7	11	0	14	98	8	0	0	0	0	0	0	0
664	682	"Derput"	57.03333	124.11667	230	"AWI"	230	3612	4693	4113	0	30	0	0	8	0	108	0	0	0	18	0	19	8	0	8	59	2	0	0	0	0	0	0	0
664	682	"Derput"	57.03333	124.11667	240	"AWI"	240	3812	4951	4352	0	28	1	0	7	0	117	0	0	0	28	0	25	5	0	4	54	0	0	0	0	0	1	0	0
664	682	"Derput"	57.03333	124.11667	250	"AWI"	250	4012	5178	4585	0	23	4	0	2	0	106	0	0	0	7	0	22	9	0	9	70	3	0	0	0	0	1	0	0
664	682	"Derput"	57.03333	124.11667	260	"AWI"	260	4236	5406	4825	2	26	0	0	5	0	72	0	0	0	3	3	12	15	0	9	82	6	0	0	0	0	1	0	0
664	682	"Derput"	57.03333	124.11667	270	"AWI"	270	4469	5640	5057	0	58	0	0	8	1	197	0	0	0	5	0	26	14	0	8	185	4	0	0	0	0	1	0	0
664	682	"Derput"	57.03333	124.11667	280	"AWI"	280	4699	5874	5289	0	29	0	0	6	0	95	0	0	0	8	0	16	16	0	10	103	2	0	0	0	0	0	0	0
664	682	"Derput"	57.03333	124.11667	290	"AWI"	290	4933	6102	5528	0	17	0	0	1	0	63	1	0	0	5	0	9	19	0	16	99	3	0	0	0	0	0	0	0
664	682	"Derput"	57.03333	124.11667	300	"AWI"	300	5173	6308	5766	0	29	1	0	3	0	91	0	0	0	6	0	21	8	0	12	96	1	0	0	0	0	1	0	0
