"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Diapensiaceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"
1355	1390	"Joe Lake"	66.76667	-157.21667	0	"AWI"	0	-132	35	-50	43.1654676258993	0	0	0	0.719424460431655	0	42.0863309352518	0	0	0	6.83453237410072	0	0	0	0	1.43884892086331	0	0	0	0	0	0	0	0	0	0	3.9568345323741	0	0	0	0	0	0	0	0	1.79856115107914	0	0
1355	1390	"Joe Lake"	66.76667	-157.21667	10	"AWI"	10	-11	1320	414	43	0	0	0	0	0	33.3333333333333	0	0	0	15	0	0	0	0	0.333333333333333	0.333333333333333	0	0	0	0	0	0	0	0	0	5.33333333333333	0	0	0	0	0	0	0	0	2.66666666666667	0	0
1355	1390	"Joe Lake"	66.76667	-157.21667	20	"AWI"	20	222	2297	963	43.9093484419263	0	0	0	1.13314447592068	0	37.9603399433428	0	0	0	11.8980169971671	0	0	0	0	0.28328611898017	0	0	0	0	0	0	0	0	0	0	2.54957507082153	0	0	0	0	0	0	0	0	2.26628895184136	0	0
1355	1390	"Joe Lake"	66.76667	-157.21667	30	"AWI"	30	400	3359	1575	44.5161290322581	0	0	0	1.29032258064516	0	37.0967741935484	0	0	0	9.35483870967742	0	0	0	0	0.645161290322581	0	0	0	0	0	0	0	0	0	0	5.80645161290323	0	0	0	0	0	0	0	0	1.29032258064516	0	0
1355	1390	"Joe Lake"	66.76667	-157.21667	40	"AWI"	40	898	3722	2180	51.6778523489933	0	0	0	1.00671140939597	0	34.2281879194631	0	0	0	6.3758389261745	0	0	0	0	1.00671140939597	0	0	0	0	0	0	0	0	0	0	4.36241610738255	0	0	0	0	0	0	0	0	1.34228187919463	0	0
1355	1390	"Joe Lake"	66.76667	-157.21667	50	"AWI"	50	1456	4191	2787	47.0430107526882	0	0	0	0	0	38.4408602150538	0	0	0	6.45161290322581	0	0	0	0	0	0.806451612903226	0	0	0	0.268817204301075	0	0	0	0	0	4.56989247311828	0	0	0	0	0	0	0	0	2.41935483870968	0	0
1355	1390	"Joe Lake"	66.76667	-157.21667	60	"AWI"	60	1972	4634	3462	45.4828660436137	0	0	0	1.24610591900312	0	36.4485981308411	0	0	0	5.9190031152648	0	0	0	0	0	1.86915887850467	0	0	0	0	0	0	0	0	0	7.16510903426791	0	0	0	0	0	0	0	0	1.86915887850467	0	0
1355	1390	"Joe Lake"	66.76667	-157.21667	70	"AWI"	70	3158	4930	3996	54.4262295081967	0.327868852459016	0	0	0.327868852459016	0	34.7540983606557	0	0	0	4.91803278688525	0	0	0	0	0.327868852459016	0	0	0	0	0	0	0	0	0	0	3.27868852459016	0	0	0	0	0	0	0	0	1.63934426229508	0	0
1355	1390	"Joe Lake"	66.76667	-157.21667	80	"AWI"	80	5287	6254	5729	44.1340782122905	0	0	0	0.279329608938547	0	37.7094972067039	0	0	0	7.26256983240224	0	0	0	0	0	3.35195530726257	0	0	0	0	0	0	0	0	0	5.02793296089385	0	0	0	0	0	0	0	0	1.95530726256983	0	0.279329608938547
1355	1390	"Joe Lake"	66.76667	-157.21667	85	"AWI"	85	6945	7418	7152	58.0441640378549	0	0	0	0	0	29.0220820189274	0	0	0	5.04731861198738	0	0	0	0	0.315457413249211	0	0	0	0	0	0	0	0	0	0	6.62460567823344	0	0	0	0	0	0	0	0	0.946372239747634	0	0
1355	1390	"Joe Lake"	66.76667	-157.21667	90	"AWI"	90	8349	8897	8605	44.5273631840796	0	0	0	0	0	43.2835820895522	0	0	0	5.72139303482587	0	0	0	0	0.248756218905473	0	0	0	0	0	0.248756218905473	0	0	0	0	4.47761194029851	0	0	0	0	0	0	0	0	1.49253731343284	0	0
1355	1390	"Joe Lake"	66.76667	-157.21667	95	"AWI"	95	8531	9295	8907	51.9886363636364	0	0	0	0.284090909090909	0	34.375	0	0	0	7.38636363636364	0	0	0	0	0.284090909090909	0	0	0	0	0	0	0	0	0	0	5.11363636363636	0	0	0	0	0	0	0	0	0.284090909090909	0	0.284090909090909
1355	1390	"Joe Lake"	66.76667	-157.21667	100	"AWI"	100	8609	9866	9208	52.2522522522522	0	0	0	0	0	32.7327327327327	0	0	0	4.2042042042042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.60960960960961	0	0	0	0	0	0	0	0	0.900900900900901	0	0.3003003003003
1355	1390	"Joe Lake"	66.76667	-157.21667	105	"AWI"	105	8658	10461	9504	44.0129449838188	0	0	0	0.323624595469256	0	42.3948220064725	0	0	0	5.8252427184466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8252427184466	0	0	0	0	0	0	0	0	1.29449838187702	0	0.323624595469256
1355	1390	"Joe Lake"	66.76667	-157.21667	110	"AWI"	110	9173	10568	9796	33.2258064516129	0	0	0	1.29032258064516	0	46.1290322580645	0	0	0	7.74193548387097	0	0	0	0	0.32258064516129	0.32258064516129	0	0	0	0	0	0	0	0	0	7.74193548387097	0	0	0	0	0	0	0	0.32258064516129	2.90322580645161	0	0
