"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Isoëtes"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tofieldiaceae"
1571	1617	"Lateral Pond"	65.94222	-135.51417	0	"AWI"	0	-105	61	-27	1	1262	0	0	0	0	0	886	0	0	0	0	0	0	0	113	0	0	0	3	0	10	0	1	0	0	973	3	0	19	0	0	23	0	0	0	0	0	1	50	0	0	0
1571	1617	"Lateral Pond"	65.94222	-135.51417	4	"AWI"	4	-28	852	196	2	316	0	0	0	2	0	262	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	1	358	3	0	5	0	0	0	0	0	0	0	0	0	17	0	0	0
1571	1617	"Lateral Pond"	65.94222	-135.51417	8	"AWI"	8	6	1729	414	0	749	0	0	0	7	0	835	1	0	0	0	2	0	0	220	0	0	0	8	0	0	0	3	0	0	469	0	0	39	0	0	3	0	0	6	0	0	1	53	0	0	0
1571	1617	"Lateral Pond"	65.94222	-135.51417	12	"AWI"	12	127	2284	674	0	393	0	0	0	4	0	311	0	0	0	0	0	0	1	87	0	0	0	18	0	0	0	0	0	0	223	1	0	15	0	0	1	0	0	0	0	1	2	23	0	1	0
1571	1617	"Lateral Pond"	65.94222	-135.51417	16	"AWI"	16	220	2614	990	0	1638	0	0	2	7	0	1222	0	0	0	1	0	0	0	369	4	0	0	13	0	0	0	4	0	0	947	0	0	56	0	0	4	0	0	0	0	0	2	81	0	0	0
1571	1617	"Lateral Pond"	65.94222	-135.51417	20	"AWI"	20	301	3065	1265	0	248	0	0	0	1	0	182	0	0	0	0	0	0	0	42	0	0	0	18	0	2	0	1	0	0	160	0	0	3	0	0	1	0	0	0	0	0	0	11	0	0	0
1571	1617	"Lateral Pond"	65.94222	-135.51417	24	"AWI"	24	524	3237	1558	0	1745	0	0	0	7	0	1383	1	0	0	0	0	0	0	309	10	0	0	19	0	0	0	15	1	0	1178	5	0	60	0	0	0	0	0	0	0	0	2	112	0	0	0
1571	1617	"Lateral Pond"	65.94222	-135.51417	28	"AWI"	28	677	3524	1844	0	496	0	0	0	3	0	426	0	0	0	0	0	0	0	115	1	0	0	7	0	1	0	5	0	0	277	1	0	10	0	0	6	0	0	0	0	0	2	31	0	1	0
1571	1617	"Lateral Pond"	65.94222	-135.51417	32	"AWI"	32	866	3872	2122	0	1387	0	0	0	5	0	1041	1	0	0	0	0	0	0	278	1	0	0	8	0	0	0	3	0	0	746	0	0	49	0	0	3	0	0	0	0	0	1	52	0	1	0
1571	1617	"Lateral Pond"	65.94222	-135.51417	36	"AWI"	36	1037	4163	2401	2	558	0	0	0	3	0	427	0	0	0	0	0	0	1	105	0	0	0	5	0	6	0	4	0	0	283	1	0	13	0	0	4	0	0	0	0	0	1	19	0	1	0
