"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
1220	1255	"Jewell Site"	42.26	-93.7	33	"AWI"	33	140	3747	1067	0	0	1	242	1	14	0	2	0	0	5	0	1	4	77	0	0	0	0	0	14	0	0	0	7	2	12	0	7	63	0	0	60	33	0	0	0	0	5	0	1	0	0	0	12	0	0
1220	1255	"Jewell Site"	42.26	-93.7	47	"AWI"	47	351	4027	1773	0	0	0	860	0	9	0	1	0	0	2	0	0	0	63	0	0	0	0	2	10	0	0	0	2	0	20	0	10	42	0	0	25	1	4	0	0	1	2	0	0	0	0	0	5	0	0
1220	1255	"Jewell Site"	42.26	-93.7	70	"AWI"	70	914	4760	2674	0	3	3	205	1	12	0	1	0	0	4	2	2	4	139	0	0	0	0	0	27	0	0	0	1	2	18	0	2	62	0	0	58	1	0	0	0	0	0	0	0	0	1	0	3	1	0
1220	1255	"Jewell Site"	42.26	-93.7	90	"AWI"	90	1466	5328	3401	1	0	5	280	0	16	0	3	0	0	1	0	0	0	155	0	0	0	0	3	13	0	0	0	1	0	16	0	4	50	0	0	49	1	1	0	0	1	1	0	0	0	0	1	2	0	0
1220	1255	"Jewell Site"	42.26	-93.7	110	"AWI"	110	2223	5727	4208	0	0	1	306	0	21	91	0	1	0	0	0	1	0	191	0	0	0	0	0	14	0	0	0	0	0	23	0	7	44	0	0	32	0	0	0	0	2	6	0	0	0	0	0	3	2	1
1220	1255	"Jewell Site"	42.26	-93.7	130	"AWI"	130	3319	6080	4993	0	0	1	374	0	11	0	1	0	0	3	1	0	0	243	0	0	0	0	3	12	3	1	0	2	0	20	0	4	48	0	0	31	0	0	0	0	0	3	0	1	0	0	0	4	0	0
1220	1255	"Jewell Site"	42.26	-93.7	152	"AWI"	152	4513	6490	5803	0	0	1	400	0	21	54	0	0	0	3	0	0	0	91	0	0	0	0	0	8	0	0	0	0	3	11	0	7	27	0	0	32	0	0	1	0	0	1	0	0	0	0	0	2	0	1
1220	1255	"Jewell Site"	42.26	-93.7	174	"AWI"	174	6037	6813	6475	0	0	1	400	0	18	60	0	0	0	4	0	1	0	87	0	0	0	1	0	2	0	0	0	2	2	13	0	3	43	0	0	32	0	0	0	0	0	4	1	0	0	0	0	7	0	0
1220	1255	"Jewell Site"	42.26	-93.7	186	"AWI"	186	6363	6966	6679	0	0	1	264	0	34	0	3	0	0	0	1	0	2	118	2	0	4	1	0	14	0	0	0	7	1	22	0	2	46	0	0	54	0	0	0	0	2	3	1	0	0	0	1	6	0	0
1220	1255	"Jewell Site"	42.26	-93.7	198	"AWI"	198	6476	7395	6866	1	0	0	128	0	36	157	3	0	0	2	2	1	0	122	1	0	0	0	0	7	2	0	0	4	2	22	0	2	71	0	0	55	0	0	0	0	0	5	2	0	0	0	1	11	0	2
1220	1255	"Jewell Site"	42.26	-93.7	210	"AWI"	210	6595	7604	7034	0	0	2	158	0	25	150	0	0	0	4	1	1	3	128	0	0	0	0	0	14	0	0	0	7	1	19	0	4	78	0	0	59	0	0	1	0	0	3	0	2	0	0	0	13	0	0
1220	1255	"Jewell Site"	42.26	-93.7	225	"AWI"	225	6702	7823	7216	0	0	2	205	0	22	144	0	0	0	3	0	1	2	248	1	1	0	0	0	8	0	1	0	6	2	21	0	6	64	0	0	67	0	0	0	0	2	3	0	1	1	0	1	15	0	1
1220	1255	"Jewell Site"	42.26	-93.7	240	"AWI"	240	6878	8016	7413	0	0	0	162	0	19	173	0	0	1	4	2	2	3	129	0	0	0	0	0	7	0	0	0	3	6	17	0	3	85	0	0	58	0	0	0	0	1	0	0	0	0	0	1	15	0	0
1220	1255	"Jewell Site"	42.26	-93.7	255	"AWI"	255	7000	8170	7624	0	0	3	172	1	20	0	0	0	0	7	0	0	0	106	0	1	0	0	0	4	0	0	0	8	3	8	0	5	109	0	0	43	0	0	0	0	0	3	0	0	0	1	0	5	0	2
1220	1255	"Jewell Site"	42.26	-93.7	270	"AWI"	270	7257	8281	7816	0	0	0	138	0	9	283	0	0	0	1	3	0	4	56	0	0	0	0	7	11	3	0	0	2	15	7	1	3	68	0	0	28	0	0	0	1	0	0	0	0	0	0	0	8	1	0
1220	1255	"Jewell Site"	42.26	-93.7	285	"AWI"	285	7414	8404	8018	0	0	1	305	0	12	178	1	0	0	0	0	0	0	45	0	0	0	0	0	2	0	1	0	0	13	12	0	1	20	0	0	22	0	0	0	0	0	0	0	0	0	0	0	2	0	0
1220	1255	"Jewell Site"	42.26	-93.7	300	"AWI"	300	7745	8484	8178	1	0	2	180	0	28	106	1	0	0	2	0	0	6	122	0	0	4	0	2	27	0	0	0	8	26	19	0	6	53	0	0	42	0	0	1	0	0	2	0	2	0	0	1	9	0	0
1220	1255	"Jewell Site"	42.26	-93.7	314	"AWI"	314	7944	8571	8343	0	0	2	187	1	37	105	2	0	0	1	0	0	0	147	0	0	0	0	0	12	0	0	0	4	22	20	0	3	65	0	0	25	0	0	0	0	0	4	0	0	0	0	3	12	0	0
1220	1255	"Jewell Site"	42.26	-93.7	328	"AWI"	328	8070	8660	8440	0	0	2	138	2	35	97	3	0	1	5	0	0	6	214	0	0	7	0	3	16	0	0	0	11	13	28	0	2	75	4	0	50	0	0	0	0	0	10	0	0	0	0	2	23	1	0
1220	1255	"Jewell Site"	42.26	-93.7	342	"AWI"	342	8145	8814	8522	1	0	0	119	0	21	0	1	1	0	7	3	1	0	199	0	1	0	0	0	20	2	1	0	8	17	16	0	4	58	0	0	73	0	0	0	0	0	2	0	0	0	1	0	25	1	0
1220	1255	"Jewell Site"	42.26	-93.7	356	"AWI"	356	8240	8913	8598	0	0	5	132	0	22	0	6	0	0	1	2	0	1	169	0	0	0	0	0	17	0	0	0	10	8	19	0	1	79	0	0	63	0	0	0	2	2	6	0	1	0	0	1	13	0	0
