"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cactaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Heliotropium"	"Indeterminable"	"Iridaceae"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Maclura"	"Malvaceae"	"Morus"	"Myricaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Vitaceae"
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	320	"AWI"	320	-98	18	-32	0	0	0	0	0	1	44	0	0	0	1	0	0	1	0	0	0	0	0	1	98	0	0	0	0	0	0	0	0	3	8	0	0	0	8	0	0	0	0	0	1	0	0	0	1	3	0	56.5	0	1	0	0	0	8	8	0	0	0	0	4	9	0	0	0	0	0	5	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	332	"AWI"	332	-39	44	7	0	0	0	0	0	1	21	0	0	0	0	0	0	1	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	2	20	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	336	"AWI"	336	-29	59	21	0	0	0	0	0	0	27	0	1	0	0	0	0	1	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	39	0	5	0	1	0	0	1	0	0	0	0	0	0	0	1	0	48.5	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	344	"AWI"	344	34	89	61	0	0	0	0	0	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	36	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	352	"AWI"	352	56	192	107	0	0	0	0	0	0	38	0	1	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	1	0	0	0	1	73	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	360	"AWI"	360	64	314	152	0	0	0	0	0	0	36	0	2	0	1	0	0	0	0	0	0	0	0	0	206	0	0	2	0	0	0	0	0	0	27	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	41.5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	368	"AWI"	368	99	360	202	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	53	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0.5	0	29	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	384	"AWI"	384	140	453	311	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	2	0	0	0	0	71	0	3	0	2	0	0	0	0	1	0	0	0	0	0	2	1.5	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	400	"AWI"	400	277	1119	585	0	0	0	0	0	2	71	0	3	0	0	0	0	1	0	0	0	0	0	0	134	0	0	0	0	2	0	0	0	1	34	0	4	0	2	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	2	0	3	0	1	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	416	"AWI"	416	446	1693	933	0	0	0	0	0	5	52	0	0	0	0	0	0	0	0	1	0	1	0	0	149	0	0	4	0	0	0	0	0	0	75	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
