"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Campanulaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Lamiaceae"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Ranunculaceae"	"Rumex"	"Solanaceae"
347	355	"Chacaltaya 1"	-16.36667	-68.15	1	"AWI"	1	-92	170	17	0	12	66	70	0	0	0	1	22	0	423	0	0	0	0	121	2	0	0	0	3
347	355	"Chacaltaya 1"	-16.36667	-68.15	3	"AWI"	3	-49	586	180	4	7	6	45	0	6	3	1	11	0	41	0	1	1	0	192	6	0	0	0	3
347	355	"Chacaltaya 1"	-16.36667	-68.15	5	"AWI"	5	-23	1013	346	3	19	3	143	1	6	26	1	90	0	123	0	2	2	0	95	4	0	0	0	4
347	355	"Chacaltaya 1"	-16.36667	-68.15	7	"AWI"	7	1	1446	513	2	3	0	0	1	1	0	1	4	0	28	0	3	0	0	194	5	0	0	0	1
347	355	"Chacaltaya 1"	-16.36667	-68.15	9	"AWI"	9	23	1883	679	14	20	33	0	3	9	4	6	35	0	33	1	3	1	0	165	2	0	0	0	2
347	355	"Chacaltaya 1"	-16.36667	-68.15	11	"AWI"	11	140	2147	854	0	12	31	44	0	2	3	2	21	0	56	0	1	0	0	165	1	0	0	0	3
347	355	"Chacaltaya 1"	-16.36667	-68.15	13	"AWI"	13	272	2242	1052	1	10	22	0	0	3	4	0	20	0	16	0	0	0	0	98	1	0	0	0	1
347	355	"Chacaltaya 1"	-16.36667	-68.15	15	"AWI"	15	370	2357	1262	3	21	36	59	0	8	1	1	20	0	141	0	1	0	0	120	5	0	0	0	7
347	355	"Chacaltaya 1"	-16.36667	-68.15	17	"AWI"	17	442	2485	1462	1	12	10	58	0	3	6	1	8	0	86	0	2	3	0	202	2	0	0	0	4
347	355	"Chacaltaya 1"	-16.36667	-68.15	19	"AWI"	19	521	2666	1662	4	9	10	54	0	7	2	0	4	1	110	0	1	1	0	187	1	0	0	0	2
347	355	"Chacaltaya 1"	-16.36667	-68.15	21	"AWI"	21	747	2819	1841	1	9	10	56	0	11	13	0	9	0	93	0	1	0	0	155	7	0	0	0	2
347	355	"Chacaltaya 1"	-16.36667	-68.15	23	"AWI"	23	1089	2884	2004	1	15	9	0	2	4	0	3	10	0	100	0	0	1	0	193	1	0	0	0	1
347	355	"Chacaltaya 1"	-16.36667	-68.15	25	"AWI"	25	1398	2965	2180	0	7	10	32	0	7	0	0	8	0	40	0	1	0	0	207	5	0	0	0	8
347	355	"Chacaltaya 1"	-16.36667	-68.15	27	"AWI"	27	1624	3046	2367	5	7	4	0	0	3	2	0	37	0	29	0	2	2	0	231	2	0	0	0	2
347	355	"Chacaltaya 1"	-16.36667	-68.15	29	"AWI"	29	1799	3182	2566	0	0	5	25	0	9	5	3	9	0	101	0	2	1	0	254	5	0	0	1	1
347	355	"Chacaltaya 1"	-16.36667	-68.15	31	"AWI"	31	1952	3305	2715	1	8	3	26	0	5	2	1	15	0	82	0	1	0	0	284	7	0	0	0	3
347	355	"Chacaltaya 1"	-16.36667	-68.15	33	"AWI"	33	2099	3386	2812	2	11	0	40	1	2	35	0	6	0	99	0	2	0	0	180	3	0	0	0	1
347	355	"Chacaltaya 1"	-16.36667	-68.15	35	"AWI"	35	2216	3497	2899	5	8	106	122	0	2	6	1	32	0	127	0	2	4	0	68	4	0	0	0	11
347	355	"Chacaltaya 1"	-16.36667	-68.15	37	"AWI"	37	2318	3646	2993	2	4	3	0	0	2	2	0	5	0	7	0	0	0	0	201	4	0	0	0	2
347	355	"Chacaltaya 1"	-16.36667	-68.15	39	"AWI"	39	2385	3810	3088	3	6	1	31	0	0	0	2	6	0	6	0	0	1	0	216	5	0	0	0	0
347	355	"Chacaltaya 1"	-16.36667	-68.15	41	"AWI"	41	2512	3962	3188	1	5	0	40	1	4	6	4	3	0	7	0	1	1	0	426	7	0	0	0	0
347	355	"Chacaltaya 1"	-16.36667	-68.15	43	"AWI"	43	2686	4070	3294	3	14	1	59	1	1	0	0	2	0	10	0	1	0	0	132	9	0	0	0	0
347	355	"Chacaltaya 1"	-16.36667	-68.15	45	"AWI"	45	2824	4215	3407	1	0	0	0	0	0	0	3	0	0	2	0	0	1	0	197	3	0	0	0	0
347	355	"Chacaltaya 1"	-16.36667	-68.15	47	"AWI"	47	2925	4388	3517	0	3	0	0	1	0	0	0	1	0	2	0	0	0	0	111	1	0	0	0	0
347	355	"Chacaltaya 1"	-16.36667	-68.15	49	"AWI"	49	3004	4595	3625	0	0	0	13	0	1	2	3	0	0	3	0	0	0	0	304	1	0	0	0	0
347	355	"Chacaltaya 1"	-16.36667	-68.15	51	"AWI"	51	3181	4789	3808	1	0	0	11	0	1	2	2	0	0	3	0	0	4	0	132	0	0	0	0	0
347	355	"Chacaltaya 1"	-16.36667	-68.15	53	"AWI"	53	3364	4985	4084	1	0	0	0	0	1	5	1	0	0	2	0	0	3	0	73	5	0	0	0	1
347	355	"Chacaltaya 1"	-16.36667	-68.15	55	"AWI"	55	3497	5276	4360	0	0	0	5	1	0	0	0	0	0	0	0	0	3	0	52	4	1	0	0	2
