"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Lamiaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Scrophulariaceae"	"Thalictrum"
346	354	"Chabada Lake"	61.974448	129.374442	2	"AWI"	2	-116	79	-30	0	8	0	0	2	0	0	56	0	0	0	4	0	1	2	0	0	2	0	3	0	1	0	0	0	0	0	2	0	0
346	354	"Chabada Lake"	61.974448	129.374442	9	"AWI"	9	-78	420	82	0	0	0	0	2	0	0	0	1	0	0	6	0	0	0	0	0	2	0	4	151	14	0	0	0	0	0	2	0	1
346	354	"Chabada Lake"	61.974448	129.374442	10	"AWI"	10	-75	467	97	0	0	0	0	2	0	0	97	0	0	1	2	0	0	0	0	0	0	0	3	136	3	0	0	0	0	0	2	0	0
346	354	"Chabada Lake"	61.974448	129.374442	20	"AWI"	20	2	842	273	1	29	0	2	1	0	0	75	0	0	0	3	0	0	1	0	0	2	0	10	136	9	0	0	1	0	0	1	0	1
346	354	"Chabada Lake"	61.974448	129.374442	30	"AWI"	30	78	1102	477	0	0	0	0	1	0	0	110	0	0	0	4	0	0	1	0	0	1	0	6	135	9	0	0	0	0	0	0	0	2
346	354	"Chabada Lake"	61.974448	129.374442	50	"AWI"	50	310	1516	853	0	0	1	1	3	0	0	80	0	0	0	3	0	0	3	0	0	1	0	5	174	7	0	0	0	0	0	2	0	1
346	354	"Chabada Lake"	61.974448	129.374442	60	"AWI"	60	476	1658	1049	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	6	0	4	167	12	0	0	0	0	0	2	0	1
346	354	"Chabada Lake"	61.974448	129.374442	68	"AWI"	68	604	1814	1206	0	0	0	0	6	0	0	80	0	0	0	6	0	0	4	0	0	3	0	7	157	14	0	0	0	0	0	6	0	0
346	354	"Chabada Lake"	61.974448	129.374442	70	"AWI"	70	647	1839	1242	0	0	0	0	3	0	0	87	0	0	0	3	0	0	5	0	0	4	0	2	111	9	0	0	0	0	0	1	0	0
346	354	"Chabada Lake"	61.974448	129.374442	80	"AWI"	80	788	2014	1432	0	0	0	0	2	0	0	47	0	0	0	6	0	0	0	0	0	3	0	3	164	5	0	0	0	0	0	5	0	0
346	354	"Chabada Lake"	61.974448	129.374442	103	"AWI"	103	1331	2347	1851	0	20	0	0	4	0	0	85	0	0	0	1	0	0	2	0	0	4	0	6	140	12	0	0	0	0	0	0	0	1
346	354	"Chabada Lake"	61.974448	129.374442	113	"AWI"	113	1504	2492	2034	0	0	0	0	4	0	0	87	0	0	0	9	0	1	4	0	0	0	0	2	0	6	0	0	1	0	0	3	0	0
346	354	"Chabada Lake"	61.974448	129.374442	123	"AWI"	123	1644	2633	2162	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	201	3	0	0	0	0	0	0	0	0
346	354	"Chabada Lake"	61.974448	129.374442	133	"AWI"	133	1756	2803	2287	0	20	0	0	0	0	0	39	0	0	0	3	0	0	3	0	0	4	0	7	0	5	0	0	0	0	0	2	0	2
346	354	"Chabada Lake"	61.974448	129.374442	143	"AWI"	143	1861	2949	2417	0	0	0	0	3	0	0	70	0	0	0	3	0	0	2	0	0	2	1	2	123	15	0	0	0	0	0	2	0	0
346	354	"Chabada Lake"	61.974448	129.374442	153	"AWI"	153	1995	3075	2545	0	0	0	0	2	0	0	60	0	0	0	1	0	4	5	0	0	2	0	4	147	5	0	0	0	0	0	0	0	0
346	354	"Chabada Lake"	61.974448	129.374442	158	"AWI"	158	2057	3136	2611	0	11	0	1	5	0	0	42	0	0	0	4	0	0	1	0	0	4	0	6	0	2	0	0	0	0	0	0	0	0
346	354	"Chabada Lake"	61.974448	129.374442	168	"AWI"	168	2195	3254	2741	0	0	0	1	3	0	0	61	0	0	0	3	0	0	1	0	0	2	0	5	131	9	0	0	0	0	0	0	0	0
346	354	"Chabada Lake"	61.974448	129.374442	173	"AWI"	173	2257	3314	2807	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	1	170	12	0	0	0	0	0	0	0	0
346	354	"Chabada Lake"	61.974448	129.374442	183	"AWI"	183	2398	3431	2939	0	22	0	0	1	0	0	78	0	0	0	3	0	4	4	0	0	1	0	7	131	5	0	0	0	0	0	0	0	0
346	354	"Chabada Lake"	61.974448	129.374442	188	"AWI"	188	2469	3483	3005	0	19	0	0	0	0	0	112	0	0	0	1	0	1	3	0	0	3	0	8	0	4	0	0	0	0	0	2	0	0
346	354	"Chabada Lake"	61.974448	129.374442	198	"AWI"	198	2608	3598	3131	0	19	0	0	2	0	0	94	0	0	0	0	0	2	5	0	0	0	0	6	100	6	0	0	0	0	0	0	1	0
