"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Isoëtes"	"Juniperus"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"
1576	1622	"Leading Tickles"	49.47139	-55.47306	0	"AWI"	0	-132	34	-42	14	0	116	0	0	0	0	66	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	9	0	0	88	10	1	2	0	0	0	0	0	0	0	0	1	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	10	"AWI"	10	-24	484	143	4	0	151	0	0	0	0	46	0	0	0	0	0	0	0	6	0	1	0	0	0	0	8	5	18	0	0	92	9	4	0	3	0	0	0	0	0	0	0	0	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	20	"AWI"	20	77	785	348	3	0	192	0	0	0	0	85	0	0	0	0	0	0	0	6	0	1	0	0	0	0	4	1	15	0	0	69	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	60	"AWI"	60	667	1808	1170	10	0	63	0	0	0	0	105	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	13	0	0	150	13	1	1	3	0	0	0	0	0	0	0	1	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	100	"AWI"	100	1375	2682	1996	6	0	56	0	0	0	3	118	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	16	0	0	94	9	1	0	1	0	0	0	0	0	0	1	0	0	1	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	120	"AWI"	120	1745	3116	2414	15	1	52	0	0	0	0	89	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	19	0	0	109	18	0	2	0	0	0	0	1	0	0	1	0	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	140	"AWI"	140	2159	3519	2833	6	0	60	0	0	0	0	130	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	3	19	0	0	78	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	160	"AWI"	160	2568	3887	3245	6	0	63	0	0	0	0	135	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	1	15	0	0	73	17	1	0	1	0	0	0	0	0	0	1	0	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	180	"AWI"	180	3074	4272	3653	7	0	65	0	0	0	0	133	0	1	0	1	1	0	0	4	0	0	0	0	0	0	2	0	16	0	0	58	18	0	3	0	0	0	0	2	0	0	2	0	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	210	"AWI"	210	3856	4806	4243	39	0	43	0	0	0	0	158	0	0	0	1	0	0	1	4	0	1	0	0	0	0	0	1	10	0	0	70	10	3	3	2	0	0	0	1	0	0	0	0	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	220	"AWI"	220	4100	5145	4539	17	0	35	0	0	0	0	112	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	6	3	0	0	87	46	1	2	3	0	0	0	0	0	0	3	0	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	225	"AWI"	225	4223	5329	4714	17	0	40	0	0	0	0	92	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	122	47	0	1	0	2	0	0	1	0	0	0	2	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	230	"AWI"	230	4369	5490	4889	47	0	96	1	0	0	0	204	0	0	0	0	0	0	4	2	0	1	0	1	0	0	0	1	14	0	0	91	31	1	2	4	0	0	0	0	0	0	0	0	0	1	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	240	"AWI"	240	4645	5823	5239	17	0	52	0	0	0	0	138	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	129	46	1	2	0	1	2	0	0	0	0	3	0	0	0	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	250	"AWI"	250	5034	6098	5593	51	0	107	0	0	0	0	237	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	5	29	0	0	92	105	0	5	4	0	0	0	2	0	0	1	0	0	1	0
1576	1622	"Leading Tickles"	49.47139	-55.47306	270	"AWI"	270	5892	6699	6272	5	0	56	0	0	0	0	187	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	4	8	0	0	76	20	4	6	1	0	0	0	3	0	0	0	0	0	0	0
