"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Isoëtes"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"
25	25	"Alexis Lake"	52.51667	-57.03333	527	"AWI"	527	-149	15	-69	4	0	0	0	0	25	0	0	0	1	4	1	6	28	1	286	0	3	1	0	0	0	0	2	0
25	25	"Alexis Lake"	52.51667	-57.03333	565	"AWI"	565	1896	5332	3703	5	23	0	3	0	17	0	0	0	0	0	1	4	41	2	352	9	1	1	0	0	0	0	1	0
25	25	"Alexis Lake"	52.51667	-57.03333	585	"AWI"	585	4404	6396	5732	19	0	0	0	0	47	0	0	0	0	0	1	1	18	0	222	0	1	0	2	0	0	0	0	0
25	25	"Alexis Lake"	52.51667	-57.03333	605	"AWI"	605	6476	7772	6968	46	0	0	0	0	33	0	0	0	1	4	0	1	121	1	237	6	2	0	1	0	0	0	1	0
25	25	"Alexis Lake"	52.51667	-57.03333	625	"AWI"	625	7009	9038	7872	87	0	0	3	0	124	1	0	0	0	9	0	1	223	0	69	3	2	0	1	0	0	0	1	0
25	25	"Alexis Lake"	52.51667	-57.03333	645	"AWI"	645	7660	9960	8775	80	36	0	1	0	55	0	0	0	1	4	0	7	168	0	171	50	7	1	0	0	0	0	2	0
25	25	"Alexis Lake"	52.51667	-57.03333	670	"AWI"	670	8757	11008	9929	0	0	0	1	0	39	0	0	1	0	6	1	1	304	1	27	0	8	0	0	0	0	0	2	0
25	25	"Alexis Lake"	52.51667	-57.03333	685	"AWI"	685	9493	11518	10613	4	0	0	1	0	50	0	0	0	0	29	3	0	276	2	68	5	15	4	0	0	0	0	0	0
25	25	"Alexis Lake"	52.51667	-57.03333	705	"AWI"	705	10857	12335	11470	0	0	1	0	0	98	0	0	0	1	12	2	1	425	0	0	0	10	0	0	2	0	0	11	0
25	25	"Alexis Lake"	52.51667	-57.03333	725	"AWI"	725	11627	14019	12640	0	19	0	0	0	150	0	0	0	0	16	0	0	278	1	15	7	2	0	0	0	0	0	11	0
25	25	"Alexis Lake"	52.51667	-57.03333	745	"AWI"	745	12511	15458	13907	1	0	1	0	0	141	0	0	0	1	27	0	0	130	0	8	0	2	3	0	1	0	0	34	0
25	25	"Alexis Lake"	52.51667	-57.03333	767	"AWI"	767	13674	16742	15306	2	14	0	2	0	140	0	1	0	1	16	5	4	114	1	7	0	4	0	0	0	0	0	45	0
25	25	"Alexis Lake"	52.51667	-57.03333	807	"AWI"	807	17071	18455	17756	0	0	0	0	0	26	0	0	0	9	13	0	1	0	0	8	0	5	0	0	1	0	1	20	0
25	25	"Alexis Lake"	52.51667	-57.03333	853	"AWI"	853	20692	24340	22772	0	0	0	0	0	25	0	1	0	12	14	6	3	0	0	12	0	2	2	0	1	2	0	29	0
25	25	"Alexis Lake"	52.51667	-57.03333	919	"AWI"	919	25156	30521	27566	0	49	0	0	3	35	0	3	0	19	56	3	10	0	7	15	0	7	3	0	0	0	0	9	1
