"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	55	"AWI"	55	450	2167	1172	55	0	0	1	0	1	0	0	0	0	1	1	0	0	12	9	0	3	0	20	0	1	0	0	0	0	0	0	0	0	0	147	10	0	0	0	0	0	0	4	0	1	0	0	1	1	0	0	0	1	11	1	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	70	"AWI"	70	703	2565	1531	55	0	0	0	0	2	0	0	0	0	0	1	0	0	37	1	0	1	0	23	0	0	0	0	0	0	0	0	17	0	0	84	4	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	35	2	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	80	"AWI"	80	890	2840	1766	93	0	0	0	0	2	0	0	0	0	0	1	0	0	3	1	0	5	0	22	0	0	0	0	0	0	0	1	0	0	3	0	20	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	3	28	4	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	90	"AWI"	90	1039	3102	1996	33	0	0	0	0	3	0	0	0	0	0	1	0	1	13	7	0	1	0	18	0	0	2	0	0	0	0	0	2	0	4	44	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	3	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	105	"AWI"	105	1353	3464	2369	46	0	0	1	0	1	0	0	1	0	0	0	0	0	3	16	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	14	1	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	120	"AWI"	120	1643	3821	2729	55	0	0	0	0	5	0	0	0	0	0	4	0	0	30	10	0	3	0	19	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	1	0	1	0	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	130	"AWI"	130	1898	3982	2961	53	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	2	0	11	0	0	0	0	0	0	0	0	0	0	3	0	25	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	145	"AWI"	145	2266	4301	3322	40	0	0	1	0	1	0	0	0	0	0	0	0	0	10	10	0	1	0	6	0	0	3	0	0	0	0	0	0	0	0	14	2	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	1	1	2	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	155	"AWI"	155	2489	4503	3562	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	1	3	1	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	170	"AWI"	170	2862	4796	3925	36	0	0	0	0	4	0	0	0	0	0	0	0	0	41	119	0	0	0	8	0	0	3	0	0	0	1	0	5	0	0	26	2	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	1	6	1	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	180	"AWI"	180	3085	5021	4171	30	0	0	2	0	1	0	0	0	0	0	0	0	0	0	19	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	27	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	2	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	190	"AWI"	190	3429	5159	4409	32	0	0	0	0	2	0	0	0	0	0	1	0	1	8	53	0	0	0	15	0	0	2	2	0	0	1	0	3	0	0	27	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	2	1	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	205	"AWI"	205	3893	5397	4763	27	0	0	2	0	1	0	0	0	0	0	0	0	0	1	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	11	1	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	220	"AWI"	220	4466	5610	5105	68	0	0	3	0	2	0	0	0	0	0	1	0	1	11	27	0	0	0	1	0	0	5	2	0	0	0	0	3	0	0	48	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	23	3	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	230	"AWI"	230	4689	5787	5315	40	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	20	1	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	240	"AWI"	240	4817	6069	5483	54	0	0	1	0	0	0	0	0	0	0	0	0	0	27	25	0	1	0	5	0	0	9	10	0	0	2	0	14	0	1	46	5	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	51	5	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	255	"AWI"	255	5047	6396	5727	21	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	18	6	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	270	"AWI"	270	5280	6681	5981	27	0	0	1	0	10	0	0	0	0	0	0	0	0	28	14	0	1	0	4	0	0	8	379	0	4	0	0	1	0	0	45	6	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	1	0	21	3	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	280	"AWI"	280	5461	6839	6156	34	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	23	0	0	0	0	3	0	0	0	0	1	7	3	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	290	"AWI"	290	5626	7028	6328	29	0	0	2	0	4	0	0	1	0	0	0	0	0	28	14	0	1	0	4	0	0	14	176	0	0	0	0	3	0	1	50	28	0	0	0	0	0	0	36	0	0	0	0	1	0	0	1	0	1	6	15	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	305	"AWI"	305	5857	7255	6591	31	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	11	0	0	0	0	2	0	0	0	0	1	3	5	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	315	"AWI"	315	6006	7442	6761	49	0	72	0	0	2	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	4	14	0	0	0	0	2	0	0	52	4	0	0	0	0	0	0	24	1	0	0	0	3	0	3	0	0	0	3	1	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	325	"AWI"	325	6221	7549	6940	11	0	97	0	0	2	0	0	0	0	0	1	0	1	16	4	0	0	0	0	0	0	8	3	0	0	0	0	1	0	1	87	10	91	0	0	0	0	0	13	0	0	0	0	6	0	0	0	0	0	2	4	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	330	"AWI"	330	6290	7637	7026	2	0	0	2	0	2	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	15	0	0	0	0	7	0	0	0	0	0	2	2	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	335	"AWI"	335	6423	7687	7109	10	0	43	1	0	3	0	0	0	0	0	0	0	1	8	13	1	0	0	0	0	0	6	2	0	0	0	0	0	0	0	98	4	0	0	0	0	0	0	16	0	0	0	0	3	0	1	0	0	0	1	3	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	345	"AWI"	345	6587	7839	7286	4	0	16	0	0	5	0	0	0	0	0	1	3	0	32	44	2	1	0	0	0	0	17	5	0	0	0	0	1	2	0	56	6	0	0	0	0	0	0	35	0	0	0	0	32	0	4	0	0	0	2	6	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	355	"AWI"	355	6854	7928	7460	7	0	0	2	0	9	0	0	0	0	2	2	0	0	5	19	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	5	0	0	0	0	40	0	0	0	0	0	2	33	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	360	"AWI"	360	6926	8014	7549	6	0	2	1	0	11	0	0	0	0	0	0	2	0	15	28	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	9	7	0	0	0	0	43	0	1	0	0	0	2	1	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	370	"AWI"	370	7240	8102	7706	8	0	10	1	0	16	0	0	0	0	0	0	3	0	26	45	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	17	6	0	0	0	0	0	0	11	0	0	0	0	26	0	4	0	0	0	3	1	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	380	"AWI"	380	7497	8239	7864	7	0	22	1	0	55	0	0	2	0	0	0	14	0	10	178	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	24	7	0	0	1	0	0	3	2	1	0	0	0	25	0	10	0	6	0	2	0	0
1358	1393	"Tourbière du lac Joncas"	47.25778	-71.16278	385	"AWI"	385	7609	8311	7945	11	0	45	0	0	28	5	0	8	0	0	1	40	0	21	275	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	31	7	0	0	1	0	0	0	15	2	0	0	0	26	0	10	0	1	0	1	0	0
