"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
208	209	"Lac à l'Ange"	47.48167	-70.68472	504	"AWI"	504	11265	12981	12148	2	0	0	0	0	33	0	116	0	0	0	0	0	1	78	0	0	1	0	0	0	0	1	1	6	0	0	0	1	0	17	32	0	0	23	0	0	0	7	3	0	0	0	0	1	0	0	3	0	0	0	1	6	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	505	"AWI"	505	11291	13127	12228	0	0	0	0	0	33	0	114	0	0	0	1	0	0	68	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	39	0	0	22	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	3	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	507	"AWI"	507	11340	13434	12383	1	0	0	1	0	40	0	51	0	0	0	6	0	1	72	0	0	2	0	0	0	0	0	0	8	0	0	1	0	0	0	15	0	0	24	0	0	0	4	1	0	0	0	61	0	0	0	2	0	0	0	1	1	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	508	"AWI"	508	11356	13583	12457	0	0	0	0	0	27	0	33	0	0	0	3	0	0	68	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	16	0	0	23	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	511	"AWI"	511	11490	13858	12643	0	0	0	1	0	5	0	95	0	0	0	1	0	1	149	0	0	1	0	0	0	1	0	0	6	0	0	0	0	0	0	25	0	0	46	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	512	"AWI"	512	11521	13954	12699	0	0	20	1	1	2	0	32	0	0	0	5	0	0	270	0	0	0	0	0	0	0	1	0	9	0	0	0	0	1	0	23	0	0	67	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	3	9	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	515	"AWI"	515	11614	14286	12867	1	0	52	0	0	11	9	47	2	1	0	18	0	0	222	0	0	0	0	0	0	0	0	0	14	0	0	3	0	0	16	42	1	0	114	0	0	0	0	12	0	0	0	25	0	0	0	14	0	1	0	3	5	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	517	"AWI"	517	11671	14575	12973	0	0	40	0	0	7	0	24	0	0	0	15	0	1	220	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	15	43	0	0	112	0	0	0	0	3	0	0	0	37	0	0	0	15	0	2	0	1	0	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	518	"AWI"	518	11706	14730	13030	1	0	18	3	0	10	8	28	2	0	1	16	0	1	216	0	0	0	0	0	0	0	0	0	6	0	0	0	2	1	0	33	0	0	108	0	0	0	1	17	0	0	1	43	0	0	0	6	0	2	0	0	5	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	519	"AWI"	519	11730	14877	13084	0	0	19	4	0	4	9	27	4	0	0	28	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	24	0	0	80	0	0	0	1	13	0	0	1	22	0	0	0	7	0	2	0	0	1	0
