"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cedrus"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Dacrydium"	"Ericales"	"Fabaceae"	"Fagus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Montiaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
1581	1628	"Lesnoye Lake"	59.58333	151.86667	130	"AWI"	130	3525	4693	4100	2	1	0	3	1	6	0	0	0	0	0	1	0	0	0	5	0	33	0	78	0	1	0	0	1	2	1	0	7	1	0	0	1	0	0	0	2	0	49	331	0	61	0	0	0	0	4	0	16	4	0	0	0	8	0	2	2	14	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	135	"AWI"	135	3843	4936	4410	2	0	206	0	2	8	0	286	0	0	0	0	0	0	0	1	0	44	0	82	1	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	465	0	68	0	0	0	0	0	0	17	2	0	0	0	3	2	3	0	0	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	140	"AWI"	140	4267	5152	4695	5	0	0	0	1	16	0	0	0	0	0	0	0	0	0	2	0	44	0	78	1	0	0	0	0	3	1	0	8	0	1	0	0	1	0	1	1	0	34	287	0	53	0	0	0	0	3	2	11	4	0	0	0	5	2	4	0	18	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	150	"AWI"	150	4622	5787	5132	4	1	0	1	0	4	0	0	0	0	0	2	0	0	0	2	0	18	0	64	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	20	429	0	59	0	0	0	0	3	0	5	1	0	0	0	2	0	2	0	10	0	1	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	160	"AWI"	160	4965	6335	5603	3	1	0	0	2	6	0	0	0	0	0	0	0	0	0	1	1	21	0	53	0	0	0	1	0	3	1	0	6	0	0	0	0	1	2	0	0	0	24	440	0	28	0	0	0	0	2	0	8	5	0	0	0	6	0	0	1	22	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	180	"AWI"	180	5754	7221	6518	6	0	0	0	1	12	0	0	0	0	0	0	0	0	0	1	0	14	0	56	0	0	1	0	0	3	1	0	5	0	0	0	0	1	0	0	1	0	32	244	0	29	0	0	0	0	1	0	8	3	0	0	0	6	0	2	1	14	1	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	185	"AWI"	185	5971	7417	6736	2	1	201	0	1	13	0	241	0	0	0	1	0	0	0	0	0	17	0	76	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	351	0	48	0	0	0	0	0	0	6	2	0	0	0	4	0	0	4	8	0	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	190	"AWI"	190	6158	7606	6965	3	1	0	4	0	12	0	0	0	0	0	1	0	0	0	3	0	49	0	70	0	0	0	0	1	1	1	0	4	1	0	0	0	0	0	0	1	0	32	492	0	54	0	0	0	0	3	1	11	1	0	0	0	4	2	1	2	11	0	0	0	1
1581	1628	"Lesnoye Lake"	59.58333	151.86667	200	"AWI"	200	6701	7958	7411	3	1	0	0	0	11	0	0	0	0	0	2	1	0	0	0	0	52	0	98	0	1	0	0	1	3	2	0	10	2	0	0	0	0	0	0	1	0	31	350	1	55	0	0	0	0	1	0	14	3	15	0	0	2	0	3	1	16	1	0	0	0
1581	1628	"Lesnoye Lake"	59.58333	151.86667	210	"AWI"	210	7289	8241	7885	6	1	0	0	1	4	0	0	0	0	0	0	0	0	0	3	0	38	0	49	1	0	0	0	0	0	2	0	3	1	0	1	0	1	0	0	1	0	20	354	0	42	0	0	0	0	3	2	5	4	0	0	0	10	2	0	2	12	1	0	0	1
