"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Viburnum"
513	527	"Crowsnest Lake"	68.33333	-146.48333	150	"AWI"	150	2364	5510	3997	0	0	1	0	106	0	0	0	56	2	0	0	2	2	0	0	0	0	60	0	0	6	0	0	2	0	0	0	5	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	160	"AWI"	160	2709	5711	4276	0	0	0	0	117	0	0	0	60	4	0	0	0	0	0	0	0	0	43	1	0	9	0	0	1	0	0	0	12	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	170	"AWI"	170	2934	5970	4545	0	0	3	0	97	0	0	0	58	1	0	0	3	0	0	0	0	0	41	2	0	8	0	0	1	0	0	0	8	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	180	"AWI"	180	3251	6187	4808	0	0	4	0	74	0	1	0	67	13	0	0	1	0	0	0	0	0	74	0	0	10	0	0	0	0	0	0	5	0	1	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	190	"AWI"	190	3520	6394	5082	0	0	0	0	142	0	0	0	54	3	0	0	0	0	0	0	0	0	103	4	0	6	0	0	4	0	0	0	8	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	200	"AWI"	200	3824	6612	5348	0	0	2	0	49	0	4	0	59	2	0	0	9	0	0	0	0	0	45	0	0	9	0	0	0	0	0	0	2	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	210	"AWI"	210	4115	6791	5617	0	1	5	0	197	0	0	0	54	0	0	0	2	0	0	0	0	0	60	0	0	19	0	0	0	0	0	0	7	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	220	"AWI"	220	4429	6999	5882	0	0	2	0	144	0	1	0	76	2	0	0	0	0	0	0	0	0	47	0	0	13	0	0	0	0	0	2	12	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	230	"AWI"	230	4838	7154	6155	0	0	6	0	131	0	0	0	52	0	0	0	4	0	0	0	0	0	29	0	0	18	0	0	0	0	0	0	7	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	240	"AWI"	240	5156	7391	6430	0	1	9	0	150	0	0	0	55	2	0	0	2	0	0	0	0	0	49	0	0	15	0	0	1	0	0	0	8	0	0	0
