"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Geraniaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"
1632	1687	"Lake Madjagara"	64.83333	120.96667	10	"AWI"	10	-25	479	174	11.4695340501792	0.716845878136201	0	1.7921146953405	0	39.7849462365591	0	0	3.2258064516129	0.3584229390681	8.96057347670251	0	10.752688172043	0	0.3584229390681	7.52688172043011	11.8279569892473	0	0	0	3.2258064516129	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	20	"AWI"	20	5	959	366	6.18556701030928	0	0.343642611683849	1.71821305841924	0	25.085910652921	0	0.343642611683849	0.687285223367698	0.343642611683849	6.18556701030928	0	5.49828178694158	0	5.49828178694158	30.5841924398625	15.4639175257732	0	0	0	2.06185567010309	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	30	"AWI"	30	181	1137	589	0	0	0.432900432900433	0.865800865800866	0	45.8874458874459	0	0	1.73160173160173	0.432900432900433	10.3896103896104	0	8.65800865800866	0	1.73160173160173	12.5541125541126	13.8528138528139	0	0	0	3.46320346320346	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	40	"AWI"	40	295	1281	834	11.5241635687732	0	0.371747211895911	1.11524163568773	0	43.4944237918216	0	0.371747211895911	2.23048327137546	0	11.1524163568773	0	8.17843866171004	0	0.743494423791822	6.31970260223048	10.7806691449814	0	0	0	3.3457249070632	0.371747211895911
1632	1687	"Lake Madjagara"	64.83333	120.96667	50	"AWI"	50	556	1415	1032	10.5691056910569	0	0	0.40650406504065	0	41.4634146341463	0.40650406504065	0	2.4390243902439	0.40650406504065	10.1626016260163	0	9.75609756097561	0	0.813008130081301	10.1626016260163	7.72357723577236	0	0	0.40650406504065	4.8780487804878	0.40650406504065
1632	1687	"Lake Madjagara"	64.83333	120.96667	60	"AWI"	60	821	1494	1232	0	0	0	1.28755364806867	0	49.7854077253219	0	0	1.28755364806867	0.429184549356223	13.7339055793991	0	10.3004291845494	0	0.429184549356223	11.1587982832618	10.3004291845494	0	0	0	1.28755364806867	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	70	"AWI"	70	974	1608	1388	19.9248120300752	0	0.37593984962406	0.75187969924812	0	31.203007518797	0.37593984962406	0	1.8796992481203	0.37593984962406	9.77443609022556	0	4.51127819548872	0	1.12781954887218	11.6541353383459	13.1578947368421	0	0	0	4.88721804511278	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	80	"AWI"	80	1061	1689	1458	0	0	0	0.938967136150235	0	41.3145539906103	0	0	0.938967136150235	0	13.6150234741784	0	13.1455399061033	0	1.87793427230047	18.7793427230047	6.10328638497653	0	0	0	3.28638497652582	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	90	"AWI"	90	1131	1806	1525	0	0	0.452488687782805	1.35746606334842	0	42.0814479638009	0	0	1.80995475113122	0	12.2171945701357	0	13.5746606334842	0	1.80995475113122	15.8371040723982	8.1447963800905	0	0	0	2.71493212669683	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	100	"AWI"	100	1230	1860	1597	11.1111111111111	0	0.396825396825397	0.793650793650794	0	36.1111111111111	0.396825396825397	0.396825396825397	2.77777777777778	0.396825396825397	9.52380952380952	0	10.7142857142857	0	2.38095238095238	12.6984126984127	10.3174603174603	0	0	0	1.98412698412698	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	110	"AWI"	110	1294	1951	1665	0	0	0.45045045045045	0.45045045045045	0	41.4414414414414	0	0	2.25225225225225	0	12.6126126126126	0	12.6126126126126	0	1.35135135135135	22.972972972973	4.95495495495495	0	0	0	0.900900900900901	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	120	"AWI"	120	1393	1994	1736	11.522633744856	0	0.411522633744856	0.411522633744856	0	34.5679012345679	0	0	2.46913580246914	0.411522633744856	9.46502057613169	0	8.23045267489712	0	1.23456790123457	15.6378600823045	11.9341563786008	0	0	0	3.7037037037037	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	130	"AWI"	130	1463	2069	1806	11.1111111111111	0	0.336700336700337	0.336700336700337	0	37.3737373737374	0	0	2.69360269360269	0	10.4377104377104	0	10.4377104377104	0	3.03030303030303	10.4377104377104	9.76430976430976	0	0	0	4.04040404040404	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	140	"AWI"	140	1574	2125	1872	12.6923076923077	0	0	3.46153846153846	0	35	0	0	1.92307692307692	0.769230769230769	11.9230769230769	0	7.30769230769231	0	1.53846153846154	13.0769230769231	9.23076923076923	0	0	0	3.07692307692308	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	150	"AWI"	150	1666	2180	1942	17.2284644194757	0	0	0.749063670411985	0	39.3258426966292	0	0	4.49438202247191	0.374531835205993	10.8614232209738	0	1.49812734082397	0	0.374531835205993	11.2359550561798	11.2359550561798	0	0	0	2.62172284644195	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	160	"AWI"	160	1777	2225	2007	19.6581196581197	0	0	2.13675213675214	0	38.034188034188	0	0	1.70940170940171	0	10.6837606837607	0	0.854700854700855	0	0.854700854700855	14.5299145299145	7.69230769230769	0	0	0	3.84615384615385	0
