"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Urticaceae"
224	226	"Ballybetagh"	53.16667	-6.25	125	"AWI"	125	10712	11471	11122	0	0	1	0	103	0	0	0	0	0	11	0	6	0	0	75	1	0	1	0	0	0	18	0	0	1	2	0	2	2	26	0	0	0	1
224	226	"Ballybetagh"	53.16667	-6.25	135	"AWI"	135	10841	11558	11226	0	0	0	0	19	0	0	0	0	0	16	0	8	0	0	155	0	0	0	0	0	0	18	0	0	0	1	0	0	3	13	0	0	0	0
224	226	"Ballybetagh"	53.16667	-6.25	145	"AWI"	145	10999	11630	11328	0	0	1	0	14	0	0	0	0	0	35	0	4	0	2	58	0	0	2	2	0	0	49	0	0	1	6	0	1	9	13	0	0	5	0
224	226	"Ballybetagh"	53.16667	-6.25	155	"AWI"	155	11189	11697	11420	0	0	0	0	4	0	0	2	0	1	49	0	30	0	3	4	0	0	3	3	0	0	83	0	0	0	4	0	4	13	10	0	0	3	0
224	226	"Ballybetagh"	53.16667	-6.25	165	"AWI"	165	11312	11777	11512	0	0	2	0	9	0	0	0	1	0	57	0	22	0	2	1	1	0	2	1	0	0	76	0	0	0	6	0	1	10	12	0	0	5	0
224	226	"Ballybetagh"	53.16667	-6.25	175	"AWI"	175	11382	11860	11593	2	0	0	0	6	0	0	0	1	0	27	0	3	0	3	2	0	0	0	3	0	0	119	0	0	0	21	0	2	10	3	0	0	6	0
224	226	"Ballybetagh"	53.16667	-6.25	192.5	"AWI"	192.5	11521	12007.5	11730	0	0	6	0	5	0	0	18	1	0	89	0	0	0	0	0	0	0	0	3	0	1	60	0	0	0	28	0	0	13	7	0	0	4	0
224	226	"Ballybetagh"	53.16667	-6.25	195	"AWI"	195	11536	12032	11750	1	0	18	0	5	0	0	29	0	0	55	0	0	0	15	0	0	0	0	3	0	5	42	0	0	0	28	0	2	18	15	0	0	16	0
224	226	"Ballybetagh"	53.16667	-6.25	205	"AWI"	205	11630	12112	11826	0	0	28	0	5	3	0	60	0	0	27	0	1	0	3	0	0	0	0	4	0	13	31	0	0	0	2	0	0	14	26	0	0	14	0
224	226	"Ballybetagh"	53.16667	-6.25	215	"AWI"	215	11717	12222	11934	1	0	36	0	3	5	0	65	0	0	28	0	0	0	9	0	0	0	0	2	0	11	45	0	0	0	2	0	0	24	33	0	0	17	0
224	226	"Ballybetagh"	53.16667	-6.25	235	"AWI"	235	11914	12456	12180	0	0	62	0	1	1	0	70	0	0	12	0	0	0	9	0	0	0	0	2	0	10	38	0	0	0	3	0	1	19	8	0	0	22	0
