"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Grossulariaceae"	"Indeterminable"	"Larix"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tsuga"	"Ulmus"
301	307	"Boundary Lake"	55.25	-67.4	0	"AWI"	0	-150	17	-69	0	37	0	0	4	0	58	0	0	0	0	28	0	4	5	0	0	0	0	146	24	7	0	0	0	4	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	5	"AWI"	5	727	1092	940	0	62	1	0	4	0	58	0	0	0	0	20	0	0	1	0	0	0	0	137	19	2	0	0	0	11	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	10	"AWI"	10	1542	2253	1950	0	46	1	0	2	0	50	0	0	0	0	9	0	1	0	0	0	5	0	159	11	7	0	0	0	8	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	15	"AWI"	15	1655	2457	2081	0	50	0	0	2	0	38	0	1	0	0	22	0	0	0	0	0	0	0	173	13	1	0	0	0	7	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	20	"AWI"	20	1735	2799	2193	0	34	1	0	3	0	51	0	0	0	0	19	0	1	0	0	0	0	0	169	20	3	0	0	0	6	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	25	"AWI"	25	1854	2959	2333	0	35	0	0	1	0	50	0	0	0	0	17	0	1	0	0	0	0	0	180	14	4	0	0	0	0	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	30	"AWI"	30	1933	3213	2463	0	35	0	0	2	0	47	0	0	0	0	9	0	0	0	0	0	0	0	195	6	2	0	0	0	0	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	35	"AWI"	35	2055	3346	2608	0	46	1	1	1	0	54	0	0	0	0	7	0	0	0	1	1	0	0	171	7	1	0	0	0	2	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	40	"AWI"	40	2140	3552	2748	0	38	0	0	0	0	55	0	0	0	0	11	0	1	0	0	0	0	0	178	10	1	0	0	0	2	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	45	"AWI"	45	2272	3701	2888	0	54	1	0	0	0	78	0	0	0	0	7	0	1	0	0	0	0	0	144	2	2	0	0	0	4	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	50	"AWI"	50	2350	3889	3024	0	58	0	1	1	0	61	0	0	0	0	19	0	0	0	0	0	0	0	137	16	3	0	0	0	5	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	55	"AWI"	55	2499	4004	3168	0	30	0	0	1	0	46	0	0	0	0	10	0	1	0	0	0	0	0	193	15	3	0	0	0	3	0	0	1	0
301	307	"Boundary Lake"	55.25	-67.4	60	"AWI"	60	2581	4175	3319	0	58	0	0	3	0	76	0	0	0	0	12	0	1	0	1	0	0	0	121	10	3	0	0	0	5	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	65	"AWI"	65	2695	4294	3460	0	59	0	0	4	0	85	0	0	0	0	13	0	0	0	0	0	0	0	115	3	3	0	1	0	4	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	70	"AWI"	70	2785	4441	3608	1	68	0	0	1	0	76	0	0	0	0	15	0	1	0	0	0	0	0	120	4	2	0	1	0	6	1	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	75	"AWI"	75	2935	4544	3747	0	62	0	0	1	0	68	0	0	0	0	9	0	2	0	0	0	0	0	139	7	3	0	0	0	2	0	0	0	1
301	307	"Boundary Lake"	55.25	-67.4	80	"AWI"	80	3038	4704	3887	0	42	0	0	1	0	80	0	1	0	0	12	0	1	0	0	0	0	0	136	7	4	0	0	0	1	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	85	"AWI"	85	3207	4792	4036	0	62	0	0	0	0	68	0	0	0	0	8	0	1	0	0	0	0	0	149	4	3	0	0	0	3	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	90	"AWI"	90	3329	4954	4181	0	66	0	1	0	0	62	0	0	0	0	11	0	1	0	0	0	0	0	146	5	2	0	1	0	1	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	95	"AWI"	95	3491	5040	4318	1	58	0	0	3	0	56	0	0	0	0	4	0	0	0	0	0	0	0	142	14	3	0	0	0	1	0	0	1	1
301	307	"Boundary Lake"	55.25	-67.4	100	"AWI"	100	3629	5168	4449	0	73	0	0	1	0	52	1	0	0	0	4	0	0	0	1	0	0	0	138	11	4	0	1	0	2	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	105	"AWI"	105	3765	5241	4589	1	77	0	0	1	0	61	0	0	0	0	8	0	0	0	1	0	0	0	130	5	4	0	0	0	1	0	0	0	1
301	307	"Boundary Lake"	55.25	-67.4	110	"AWI"	110	3891	5364	4722	0	86	0	0	2	0	66	0	0	0	0	6	0	0	0	0	1	0	0	123	1	4	0	0	0	3	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	115	"AWI"	115	4124	5435	4862	0	86	0	0	1	0	76	0	0	0	1	9	0	0	0	0	0	0	0	107	3	3	0	0	0	1	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	120	"AWI"	120	4255	5540	5009	0	98	0	0	3	0	53	0	0	0	0	10	0	0	0	0	0	3	0	117	3	3	0	0	0	2	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	125	"AWI"	125	4476	5602	5146	0	106	0	0	2	0	51	0	0	0	0	8	0	0	0	0	0	4	0	106	11	2	0	0	0	5	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	130	"AWI"	130	4619	5718	5289	0	93	0	0	2	0	41	0	0	0	0	12	0	0	0	0	0	2	0	132	9	3	0	0	0	3	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	135	"AWI"	135	4927	5768	5409	0	90	0	0	2	0	58	0	0	0	0	8	0	1	0	0	0	0	0	124	7	4	0	0	0	2	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	140	"AWI"	140	5108	5874	5539	1	87	0	1	3	0	67	0	0	1	0	10	0	2	0	0	0	0	0	117	3	2	0	0	0	0	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	145	"AWI"	145	5352	5978	5674	0	103	0	1	0	0	68	0	0	0	0	9	0	0	0	0	0	2	0	93	5	1	0	0	0	5	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	150	"AWI"	150	5453	6258	5816	0	82	0	0	0	0	82	0	0	0	0	7	0	0	0	0	0	1	0	109	8	4	0	0	0	1	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	155	"AWI"	155	5577	6442	5969	0	71	0	1	0	0	68	0	0	0	0	6	0	1	0	0	0	0	0	137	5	2	0	0	0	0	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	160	"AWI"	160	5645	6779	6112	0	83	0	2	1	0	72	0	0	0	0	14	0	1	0	0	0	0	0	115	3	1	0	0	0	1	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	165	"AWI"	165	5773	6909	6259	0	91	0	0	0	0	85	0	0	0	0	7	0	0	0	0	0	1	0	105	2	5	0	0	0	0	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	170	"AWI"	170	5846	7132	6411	0	70	0	0	0	0	114	0	0	0	0	7	0	0	0	0	0	2	0	87	6	1	0	0	0	3	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	175	"AWI"	175	5991	7298	6558	1	76	0	0	0	0	119	0	0	0	0	6	1	1	0	0	0	0	0	82	4	0	0	0	0	2	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	180	"AWI"	180	6095	7510	6714	0	78	1	1	2	0	112	0	0	0	0	14	0	0	0	0	0	1	0	79	2	2	0	0	0	3	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	185	"AWI"	185	6266	7635	6865	0	82	0	0	1	0	105	0	0	0	0	9	0	0	0	0	0	1	0	97	5	0	0	0	0	1	0	1	0	0
301	307	"Boundary Lake"	55.25	-67.4	190	"AWI"	190	6364	7850	7018	0	76	0	0	2	0	109	0	0	0	0	4	0	1	0	0	0	0	0	93	2	2	0	0	0	0	0	0	0	0
301	307	"Boundary Lake"	55.25	-67.4	195	"AWI"	195	6561	7993	7160	0	68	0	0	2	0	100	0	0	0	0	4	0	1	0	0	0	1	0	112	3	2	0	0	0	2	0	0	1	0
301	307	"Boundary Lake"	55.25	-67.4	200	"AWI"	200	6671	8197	7313	0	70	0	0	1	0	100	0	0	0	0	3	0	0	0	0	0	2	0	100	7	1	0	0	0	2	0	0	0	0
