"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Larix"	"Myrica"	"Onagraceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	0	"AWI"	0	-107	61	-29	1	44	0	1	0	50	0	0	0	0	0	0	0	5	0	1	13	0	0	62	92	0	5	0	0	0	0	0	6	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	20	"AWI"	20	178	1971	836	1	69	0	0	0	60	0	0	0	2	0	2	0	3	0	2	8	0	0	100	66	0	4	0	0	1	0	0	6	1	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	40	"AWI"	40	792	2968	1800	0	67	0	0	0	75	0	0	0	2	0	0	0	2	0	0	3	0	0	121	57	0	1	0	0	0	0	0	2	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	60	"AWI"	60	1645	3810	2789	0	74	0	0	0	80	0	0	0	0	0	2	0	4	0	0	17	0	0	130	69	0	4	0	0	0	0	0	4	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	80	"AWI"	80	2682	4456	3760	0	98	2	0	0	94	0	0	0	0	0	1	0	1	0	0	7	0	0	97	100	0	8	0	2	0	0	0	2	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	100	"AWI"	100	4047	4955	4577	0	124	0	0	0	65	0	0	0	0	0	0	0	1	0	0	10	0	0	120	87	0	0	0	0	0	0	0	10	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	120	"AWI"	120	4441	5732	5043	0	120	0	0	0	63	0	0	2	1	0	3	0	1	0	0	17	0	0	178	61	0	0	0	0	0	0	0	1	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	140	"AWI"	140	4823	6261	5525	0	121	0	0	0	60	0	0	0	0	0	0	0	2	0	0	20	0	0	100	17	0	0	0	0	0	0	0	10	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	160	"AWI"	160	5269	6814	6021	0	88	0	0	0	36	0	0	0	5	0	1	0	1	0	1	11	0	0	155	18	0	0	0	0	0	0	0	3	0	0
370	381	"Lac Ciel Blanc"	59.51667	-122.16667	180	"AWI"	180	5745	7275	6524	0	43	0	0	0	20	0	0	0	0	0	0	0	3	0	0	19	0	0	140	28	0	0	0	0	0	0	0	5	0	0
