"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Iridaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Papaveraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"
68	68	"Amguema River Valley Exposure 1"	67.75	178.7	80	"AWI"	80	743	3096	1735	34	8	0	185	0	2	2	2	71	54	2	0	0	0	0	0	3	0	0	0	38	0	3	0	0	39	0	0
68	68	"Amguema River Valley Exposure 1"	67.75	178.7	280	"AWI"	280	6060	6552	6292	208	9	0	0	1	0	0	2	27	27	1	0	0	0	0	0	3	0	0	0	20	0	3	4	0	8	0	1
68	68	"Amguema River Valley Exposure 1"	67.75	178.7	1150	"AWI"	1150	22588	25695	24214	2	0	0	0	0	8	18	27	157	0	13	2	3	1	2	2	6	4	0	0	75	0	18	0	1	27	3	10
68	68	"Amguema River Valley Exposure 1"	67.75	178.7	1200	"AWI"	1200	23581	26915	25239	0	71	7	0	0	4	2	7	20	1	5	0	0	0	1	0	1	0	0	0	49	0	8	0	0	12	2	1
