"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Santalaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
798	821	"Tourbière de Farnham"	45.28278	-72.98278	0	"AWI"	0	-147	19	-68	3	0	22	0	2	0	246	0	2	0	0	0	1	0	20	90	18	1	0	2	0	4	0	1	16	163	0	0	35	0	0	1	0	0	0	0	1	5	103	22	0
798	821	"Tourbière de Farnham"	45.28278	-72.98278	10	"AWI"	10	-15	1973	542	1	0	17	1	1	3	241	0	3	0	1	0	1	0	11	86	30	0	0	0	0	6	0	0	12	152	1	0	25	0	0	0	0	0	0	0	0	3	121	18	0
798	821	"Tourbière de Farnham"	45.28278	-72.98278	20	"AWI"	20	305	3108	1343	0	0	0	0	3	0	153	0	0	0	1	0	1	0	0	67	29	0	0	2	0	1	0	0	0	132	0	0	18	0	0	0	1	0	0	0	1	2	77	11	0
798	821	"Tourbière de Farnham"	45.28278	-72.98278	30	"AWI"	30	781	3887	2159	3	0	14	0	1	0	216	0	5	0	0	1	6	0	35	60	22	1	0	1	0	4	0	0	13	132	0	0	50	0	0	0	1	0	0	0	0	4	44	21	0
798	821	"Tourbière de Farnham"	45.28278	-72.98278	40	"AWI"	40	1350	4536	2955	1	0	19	0	0	0	132	0	2	0	0	0	0	0	8	68	19	1	0	0	0	1	0	1	7	148	0	0	28	0	0	0	0	1	0	0	0	7	24	3	0
798	821	"Tourbière de Farnham"	45.28278	-72.98278	50	"AWI"	50	2039	5133	3719	2	0	21	0	0	4	251	0	2	0	0	0	8	0	0	54	21	6	0	6	0	1	0	0	8	114	1	0	29	0	0	1	2	1	0	0	0	7	26	20	0
798	821	"Tourbière de Farnham"	45.28278	-72.98278	60	"AWI"	60	2756	5636	4460	0	0	8	0	2	0	160	0	2	0	1	0	12	0	0	52	17	1	0	1	0	1	0	0	13	84	1	0	25	0	0	0	0	2	0	0	0	0	74	34	0
798	821	"Tourbière de Farnham"	45.28278	-72.98278	70	"AWI"	70	3744	6114	5260	1	0	0	0	1	0	132	0	0	0	1	0	0	0	0	32	22	0	0	4	0	0	1	0	6	46	0	0	13	0	0	0	0	0	0	0	0	2	44	9	0
798	821	"Tourbière de Farnham"	45.28278	-72.98278	75	"AWI"	75	4715	6241	5589	0	0	10	0	2	0	162	0	2	1	0	0	2	0	0	67	20	32	0	0	0	4	0	0	29	68	2	0	37	0	1	0	0	0	0	0	0	2	117	20	3
798	821	"Tourbière de Farnham"	45.28278	-72.98278	80	"AWI"	80	5341	6502	5958	1	0	6	3	1	0	140	0	1	0	1	0	1	0	0	52	25	176	0	2	0	3	0	1	11	54	1	0	34	0	0	1	0	0	5	0	0	6	75	22	9
