"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
952	982	"Green Lake"	44.88333	-85.11667	180	"AWI"	180	7401	10292	8931	2	5	5	8	9	17	27	5	0	0	2	4	0	0	0	0	12	2	1	0	23	5	305	4	6	77	0	0	0	0	1	0	21
952	982	"Green Lake"	44.88333	-85.11667	190	"AWI"	190	7995	10782	9508	0	2	1	3	13	23	20	4	0	2	1	1	0	0	0	0	9	7	0	0	17	6	315	5	8	71	0	0	0	0	0	0	22
952	982	"Green Lake"	44.88333	-85.11667	200	"AWI"	200	8629	11221	10072	0	3	6	2	16	16	19	6	0	4	1	1	0	0	0	1	21	7	5	1	24	5	296	4	1	58	0	1	0	0	1	0	22
952	982	"Green Lake"	44.88333	-85.11667	210	"AWI"	210	9246	11732	10644	1	5	1	2	22	0	30	4	0	2	0	0	0	0	0	0	8	4	1	0	34	3	328	5	8	58	0	1	1	0	0	0	20
952	982	"Green Lake"	44.88333	-85.11667	220	"AWI"	220	9997	12097	11228	0	8	2	1	10	5	62	6	0	4	1	0	0	0	0	0	13	6	2	3	43	17	241	5	10	70	1	1	0	0	0	0	23
952	982	"Green Lake"	44.88333	-85.11667	230	"AWI"	230	10707	12479	11797	0	3	1	3	33	9	32	7	0	3	0	3	0	0	0	0	12	3	2	0	31	18	231	3	6	73	0	2	0	0	0	0	32
952	982	"Green Lake"	44.88333	-85.11667	235	"AWI"	235	11151	12601	12075	0	0	0	1	50	15	20	7	2	4	0	4	0	0	0	0	10	5	8	0	19	16	258	1	2	63	2	3	1	0	0	0	17
952	982	"Green Lake"	44.88333	-85.11667	240	"AWI"	240	11415	12748	12299	0	4	1	0	107	10	24	7	0	0	0	4	0	0	0	0	8	4	6	0	20	63	163	2	6	61	1	3	0	0	0	0	18
952	982	"Green Lake"	44.88333	-85.11667	245	"AWI"	245	11624	13041	12513	0	0	1	1	87	13	20	7	2	7	1	5	1	0	0	0	14	8	7	0	12	148	96	6	36	59	1	3	0	0	1	0	12
952	982	"Green Lake"	44.88333	-85.11667	250	"AWI"	250	11788	13321	12679	2	2	2	3	88	10	38	4	2	2	0	8	0	1	0	0	22	7	4	2	19	111	62	8	4	93	1	2	2	1	0	0	22
952	982	"Green Lake"	44.88333	-85.11667	255	"AWI"	255	11929	13575	12835	1	0	9	1	107	7	18	0	0	9	0	4	2	0	0	0	1	9	1	1	6	268	24	5	3	24	2	1	0	1	0	0	2
952	982	"Green Lake"	44.88333	-85.11667	260	"AWI"	260	12091	13785	13003	0	2	7	1	119	29	34	2	9	8	3	11	2	0	0	0	8	16	0	0	9	163	19	10	7	38	0	3	0	3	0	0	5
952	982	"Green Lake"	44.88333	-85.11667	270	"AWI"	270	12407	14193	13341	0	0	2	2	125	23	18	0	0	0	2	20	1	0	0	0	3	18	0	2	13	214	17	8	4	31	5	5	0	1	0	0	0
952	982	"Green Lake"	44.88333	-85.11667	280	"AWI"	280	12717	14569	13672	0	0	1	5	107	22	7	0	4	2	3	15	1	2	0	0	8	13	0	0	16	270	5	11	2	29	1	8	0	1	0	0	0
952	982	"Green Lake"	44.88333	-85.11667	290	"AWI"	290	13033	14931	14010	0	0	1	4	126	49	6	6	0	2	3	18	1	1	1	0	23	12	2	0	30	132	4	17	7	37	4	15	1	2	0	0	2
952	982	"Green Lake"	44.88333	-85.11667	300	"AWI"	300	13364	15292	14353	0	1	0	2	90	26	5	2	0	0	3	30	1	3	0	0	62	21	1	4	24	135	8	13	17	32	5	4	0	2	0	0	7
952	982	"Green Lake"	44.88333	-85.11667	310	"AWI"	310	13729	15611	14687	0	1	0	3	86	40	4	2	2	1	2	73	0	10	1	0	46	17	1	2	16	99	5	16	12	37	3	9	0	1	0	0	3
952	982	"Green Lake"	44.88333	-85.11667	320	"AWI"	320	14049	15946	15029	0	2	0	1	67	40	7	4	8	6	0	56	0	4	2	0	63	13	0	0	22	78	7	15	11	68	4	11	0	3	0	0	4
952	982	"Green Lake"	44.88333	-85.11667	330	"AWI"	330	14411	16270	15370	0	1	2	1	40	43	9	4	8	7	2	77	0	2	0	0	79	18	0	0	20	74	7	19	10	44	8	14	0	2	0	0	3
