"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Juniperus"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"
1542	1582	"Lake 31"	67.05	-50.46667	1.5	"AWI"	1.5	562.5	755	655.5	0.452488687782805	0	5.42986425339367	0	42.3076923076923	0	0	0	0	14.2533936651584	3.16742081447964	0	0.452488687782805	0	0	0	16.9683257918552	0	0.452488687782805	0	0	1.35746606334842	14.9321266968326	0.226244343891403
1542	1582	"Lake 31"	67.05	-50.46667	3	"AWI"	3	605	839	716	0.261780104712042	0	2.09424083769634	0	43.1937172774869	0.261780104712042	0.261780104712042	1.04712041884817	0	7.85340314136126	2.87958115183246	0	0.523560209424084	0.523560209424084	0	0	24.3455497382199	0	1.04712041884817	0	0	0.523560209424084	14.6596858638743	0.523560209424084
1542	1582	"Lake 31"	67.05	-50.46667	4.5	"AWI"	4.5	673	888.5	778	0.778210116731518	0	2.33463035019455	0	52.5291828793774	0	0	0	0	7.78210116731517	3.69649805447471	0	0.778210116731518	0	0.194552529182879	0	14.3968871595331	0	0.389105058365759	0	0	0.194552529182879	16.5369649805447	0.389105058365759
1542	1582	"Lake 31"	67.05	-50.46667	6	"AWI"	6	746	941	840	0.996677740863787	0	3.65448504983389	0	47.5083056478405	0	0	0	0	7.9734219269103	2.32558139534884	0	0.332225913621262	0	0.664451827242525	0	18.6046511627907	0	0.332225913621262	0	0	0.332225913621262	16.2790697674419	0.996677740863787
1542	1582	"Lake 31"	67.05	-50.46667	7.5	"AWI"	7.5	807.5	1048	917.5	0.206611570247934	0	1.65289256198347	0	62.396694214876	0	0.619834710743802	0	0	7.43801652892562	1.8595041322314	0.206611570247934	0	0	0	0	13.6363636363636	0	0	0	0	0.826446280991736	11.1570247933884	0
1542	1582	"Lake 31"	67.05	-50.46667	10.5	"AWI"	10.5	907.5	1317	1077	0.583657587548638	0	1.55642023346304	0	47.0817120622568	0	0.194552529182879	0	0.194552529182879	7.39299610894942	6.03112840466926	0	0.583657587548638	0.194552529182879	0.194552529182879	0	20.8171206225681	0.194552529182879	0.972762645914397	0	0	0.583657587548638	13.4241245136187	0
1542	1582	"Lake 31"	67.05	-50.46667	15	"AWI"	15	1083	1636	1325	0.21505376344086	0	1.29032258064516	0.21505376344086	42.5806451612903	0	0.21505376344086	0	0.43010752688172	18.7096774193548	6.88172043010753	0	0.21505376344086	0	0	0.645161290322581	16.1290322580645	0	0.43010752688172	0	0	0.860215053763441	10.5376344086022	0.645161290322581
1542	1582	"Lake 31"	67.05	-50.46667	18	"AWI"	18	1217	1816	1493	0	0	2.47933884297521	0	49.5867768595041	0	0	0	0	11.5702479338843	3.71900826446281	0	0.413223140495868	0.413223140495868	0.826446280991736	0	18.595041322314	0	0	0	0	0	12.396694214876	0
1542	1582	"Lake 31"	67.05	-50.46667	21	"AWI"	21	1355	1992	1660	0.236406619385343	0	1.6548463356974	0	45.6264775413712	0	0.236406619385343	0	0	16.3120567375887	2.36406619385343	0.236406619385343	0	0.236406619385343	0.236406619385343	0	18.4397163120567	0	0	0	0	0.472813238770686	13.9479905437352	0
1542	1582	"Lake 31"	67.05	-50.46667	24	"AWI"	24	1509	2147	1832	0.367647058823529	0	1.83823529411765	0	55.1470588235294	0	0.183823529411765	0	0	9.375	1.65441176470588	0	0.735294117647059	0	0	0	21.3235294117647	0	0.919117647058824	0	0	0.367647058823529	7.72058823529412	0.367647058823529
1542	1582	"Lake 31"	67.05	-50.46667	27	"AWI"	27	1672	2298	2004	0.656455142231947	0	0.437636761487965	0	41.1378555798687	0	0	0	0	10.0656455142232	2.18818380743982	0	0	0	0	0.218818380743982	39.6061269146608	0	0.218818380743982	0	0	0	5.47045951859956	0
1542	1582	"Lake 31"	67.05	-50.46667	30	"AWI"	30	1844	2436	2176	0.16260162601626	0	1.46341463414634	0	60.1626016260163	0.16260162601626	0	0	0	9.75609756097561	2.76422764227642	0.32520325203252	0.48780487804878	0	0.16260162601626	0	16.0975609756098	0	0	0	0	0.650406504065041	7.47967479674797	0.32520325203252
1542	1582	"Lake 31"	67.05	-50.46667	33	"AWI"	33	2031	2579	2345	0.454545454545455	0	1.36363636363636	0	51.3636363636364	0.227272727272727	0.227272727272727	0	0.227272727272727	9.31818181818182	1.13636363636364	0.227272727272727	1.13636363636364	0	0	0	19.3181818181818	0	0	0	0	0	14.7727272727273	0.227272727272727
1542	1582	"Lake 31"	67.05	-50.46667	36	"AWI"	36	2240	2703	2518	0.81799591002045	0	2.04498977505112	0	56.0327198364008	0	0.613496932515337	0	0	9.20245398773006	1.84049079754601	0	0.204498977505113	0	0.204498977505113	0	15.3374233128834	0	0.204498977505113	0	0	0.204498977505113	12.678936605317	0.613496932515337
1542	1582	"Lake 31"	67.05	-50.46667	39	"AWI"	39	2468	2824	2698	0.826446280991736	0	1.65289256198347	0	59.504132231405	0	0	0	0	11.0192837465565	3.03030303030303	0	0	0	0.275482093663912	0	13.7741046831956	0	0.275482093663912	0	0	0	9.366391184573	0.275482093663912
