"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Catalpa"	"Celastraceae"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Hypoxidaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Liquidambar"	"Liriodendron"	"Magnolia"	"Malvaceae"	"Morus"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Rhamnus"	"Robinia"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Toxicodendron"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"	"Zanthoxylum"
272	278	"Black Pond"	35.62083	-84.18667	10	"AWI"	10	-119	58	-26	0	3	3	2	0	0	4	3	0	13	2	0	0	0	4	0	0	1	4	11	1	0	1	40	0	0	1	2	0	0	6	0	0	0	0	0	0	0	5	63	0	2	0	0	1	0	0	129	0	0	3	0	0	28	2	1	0	2	0	0	0	15	2	0	2	0
272	278	"Black Pond"	35.62083	-84.18667	20	"AWI"	20	-105	106	-8	0	4	2	0	0	0	4	1	1	17	4	3	1	0	2	10	0	1	2	13	0	0	1	40	0	0	0	2	0	0	7	0	0	0	0	2	1	0	7	62	0	0	0	0	0	0	1	109	1	0	2	0	1	41	3	0	0	0	0	0	0	10	0	0	3	1
272	278	"Black Pond"	35.62083	-84.18667	30	"AWI"	30	-93	161	11	0	4	1	1	1	0	5	0	0	10	2	2	1	0	0	4	0	1	4	15	0	0	0	37	0	0	0	4	0	0	1	0	0	0	0	1	2	0	2	68	0	1	18	0	1	1	0	123	0	0	1	0	0	38	3	0	1	0	0	0	1	1	0	1	2	0
272	278	"Black Pond"	35.62083	-84.18667	40	"AWI"	40	-85	222	28	0	3	2	0	0	0	3	3	0	9	2	44	2	0	0	7	0	1	4	16	1	1	4	0	0	0	1	7	0	0	1	1	0	0	0	0	1	0	4	94	0	0	34	0	0	0	0	123	0	0	1	0	3	27	1	0	0	0	0	0	0	4	2	0	1	0
272	278	"Black Pond"	35.62083	-84.18667	50	"AWI"	50	-78	287	45	0	1	2	0	0	0	2	1	0	1	0	22	0	0	0	3	1	0	4	22	0	0	0	20	1	0	0	6	0	2	1	0	0	0	0	0	0	1	1	80	0	2	21	0	0	0	0	136	0	0	14	0	0	12	0	0	1	0	0	0	0	4	0	1	1	0
272	278	"Black Pond"	35.62083	-84.18667	70	"AWI"	70	-44	356	88	0	1	1	0	0	0	8	3	0	1	0	18	0	0	0	6	0	1	7	7	0	0	0	22	0	0	0	8	0	0	2	0	1	0	2	1	1	0	3	72	0	0	0	0	0	0	0	128	0	0	3	0	2	23	2	0	0	0	0	0	0	1	1	0	2	0
272	278	"Black Pond"	35.62083	-84.18667	90	"AWI"	90	-21	425	132	0	3	2	1	0	0	6	0	0	7	0	10	0	0	0	0	0	0	2	14	0	0	0	10	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	113	0	0	21	1	0	0	0	137	0	0	5	0	0	16	1	0	1	0	0	0	0	4	0	0	1	0
272	278	"Black Pond"	35.62083	-84.18667	110	"AWI"	110	-3	516	173	0	1	1	0	0	360	1	0	0	8	0	18	1	0	1	4	0	1	4	44	0	0	1	12	0	1	0	8	0	0	2	0	0	0	0	0	0	0	0	104	0	1	0	1	0	0	0	139	0	1	2	0	0	18	0	0	0	1	0	0	0	1	1	0	3	0
272	278	"Black Pond"	35.62083	-84.18667	130	"AWI"	130	41	601	218	0	0	0	0	0	0	1	2	0	4	0	7	0	0	0	2	0	0	3	27	1	0	1	9	0	0	0	7	0	0	2	0	0	0	0	0	0	0	1	104	0	0	0	0	0	0	0	101	0	1	2	0	0	74	0	0	1	0	0	0	0	2	0	1	1	0
272	278	"Black Pond"	35.62083	-84.18667	150	"AWI"	150	65	705	263	0	0	0	0	0	777	0	3	0	5	0	10	3	0	0	1	0	1	0	15	0	0	0	7	0	0	0	10	0	0	2	0	0	0	0	0	0	0	0	61	0	0	24	0	0	0	0	74	0	0	0	0	0	191	2	1	0	0	0	0	0	2	0	0	2	0
