"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sambucus"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
1660	1716	"Sud du Lac du Noyer"	46.78778	-72.83778	455	"AWI"	455	9950	11464	10814	3	0	44	0	50	0	125	0	0	0	0	0	2	0	3	38	6	2	0	3	0	1	0	0	4	6	2	0	0	1	0	32	0	9	0	0	9	0	58	0	1	1	34	0	0	1	0	3	20	3	0
1660	1716	"Sud du Lac du Noyer"	46.78778	-72.83778	460	"AWI"	460	10054	11634	10919	2	0	53	0	16	9	89	0	0	0	0	2	1	0	1	16	0	0	1	2	0	0	0	0	5	0	0	0	0	0	0	0	0	2	16	0	8	0	44	0	1	0	12	0	0	0	0	10	13	0	0
1660	1716	"Sud du Lac du Noyer"	46.78778	-72.83778	465	"AWI"	465	10124	11851	11022	1	0	37	1	21	8	82	0	1	0	0	0	1	0	5	16	0	0	0	1	0	0	19	0	9	0	0	0	0	1	0	2	0	5	0	0	7	0	23	0	0	0	15	0	0	2	0	6	11	4	0
1660	1716	"Sud du Lac du Noyer"	46.78778	-72.83778	470	"AWI"	470	10202	12126	11117	0	0	53	0	9	0	68	0	0	0	0	2	1	0	1	14	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	6	0	18	0	0	0	5	0	0	1	0	5	5	0	0
1660	1716	"Sud du Lac du Noyer"	46.78778	-72.83778	10	"AWI"	10	-72	697	140	11	0	8	0	0	0	169	0	0	1	0	0	0	0	0	3	0	0	0	2	0	18	4	0	0	5	0	13	0	0	0	0	0	5	44	0	3	0	10	0	0	0	0	0	2	0	0	19	2	0	0
1660	1716	"Sud du Lac du Noyer"	46.78778	-72.83778	25	"AWI"	25	60	1401	504	8	0	15	0	1	0	205	0	0	0	0	0	2	0	0	13	0	0	0	2	0	25	8	0	0	8	1	20	0	3	0	2	0	1	40	0	1	0	11	0	2	0	0	0	1	0	2	19	8	0	0
1660	1716	"Sud du Lac du Noyer"	46.78778	-72.83778	40	"AWI"	40	251	1945	889	6	0	29	0	0	0	191	0	0	0	0	0	1	0	2	14	0	0	0	3	0	31	4	0	2	6	0	20	0	2	0	1	0	0	0	0	4	0	6	0	1	0	0	0	0	0	0	27	6	0	0
1660	1716	"Sud du Lac du Noyer"	46.78778	-72.83778	50	"AWI"	50	391	2291	1146	5	0	9	0	0	0	237	0	1	0	0	1	1	0	0	6	0	0	0	0	0	26	0	1	0	0	0	24	0	5	0	3	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	73	7	0	0
1660	1716	"Sud du Lac du Noyer"	46.78778	-72.83778	75	"AWI"	75	808	3006	1798	1	0	9	0	0	0	228	0	0	0	0	0	0	0	1	10	0	0	0	1	0	20	8	0	0	3	0	24	0	9	0	0	0	1	10	0	2	0	21	0	0	0	0	0	0	0	0	31	2	0	0
1660	1716	"Sud du Lac du Noyer"	46.78778	-72.83778	100	"AWI"	100	1364	3638	2454	9	0	0	0	1	0	255	0	0	0	0	0	0	0	0	12	0	0	0	1	0	65	19	0	0	6	0	25	0	7	0	0	0	6	0	0	4	0	10	0	0	0	0	0	2	0	0	53	11	0	0
