"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Gentianaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	570	"AWI"	570	14349	19013	16416	0	0	44.1087613293051	0	9.36555891238671	0.302114803625378	0	0.906344410876133	1.51057401812689	0.302114803625378	0.302114803625378	0	0.302114803625378	0.604229607250755	0.302114803625378	39.2749244712991	0.302114803625378	0.302114803625378	1.81268882175227	0	0	0.302114803625378	0	0	0
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	605	"AWI"	605	17090	22447	19588	0.338983050847458	0	30.1694915254237	0	6.10169491525424	0	0	1.69491525423729	1.01694915254237	0.338983050847458	0	0	3.05084745762712	0.338983050847458	0.338983050847458	48.4745762711864	0.338983050847458	1.35593220338983	4.40677966101695	0	0	2.03389830508475	0	0	0
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	670	"AWI"	670	22600	28474	25476	0	0	13.2768361581921	0	0.847457627118644	0.282485875706215	0	11.864406779661	8.47457627118644	0.282485875706215	0	0.564971751412429	0.282485875706215	0	0.282485875706215	41.2429378531073	0	0.564971751412429	7.06214689265537	2.54237288135593	0	11.864406779661	0	0	0.564971751412429
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	540	"AWI"	540	12163	15881	13718	1.16279069767442	0	14.5348837209302	3.48837209302326	18.8953488372093	0	0	2.61627906976744	2.03488372093023	1.16279069767442	0	0.290697674418605	0	13.953488372093	0	36.046511627907	0.290697674418605	0.290697674418605	1.45348837209302	0	0	3.48837209302326	0	0	0.290697674418605
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	705	"AWI"	705	25792	31472	28645	0	0	6.15384615384615	0	0.384615384615385	1.15384615384615	0	15	6.53846153846154	0.769230769230769	0	0.384615384615385	0.384615384615385	0.384615384615385	0.384615384615385	55	0.384615384615385	1.15384615384615	2.69230769230769	0	0.384615384615385	7.69230769230769	0	0	1.15384615384615
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	760	"AWI"	760	31104	35962	33622	0.319488817891374	0	7.02875399361022	3.19488817891374	5.11182108626198	0.638977635782748	0	4.47284345047923	10.5431309904153	3.19488817891374	0	0.319488817891374	0.319488817891374	0	2.87539936102236	55.591054313099	0.319488817891374	1.91693290734824	1.2779552715655	0	0	1.91693290734824	0	0	0.958466453674121
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	735	"AWI"	735	28657	33947	31343	0.662251655629139	0	12.5827814569536	1.32450331125828	5.29801324503311	0	6.29139072847682	2.64900662251656	4.96688741721854	0.993377483443709	0	0.662251655629139	0.33112582781457	0	0.993377483443709	50.3311258278146	1.32450331125828	5.29801324503311	4.3046357615894	0	0.33112582781457	0.993377483443709	0	0	0.662251655629139
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	640	"AWI"	640	19971	25750	22755	0.294117647058824	0	20.2941176470588	2.05882352941176	3.82352941176471	2.94117647058824	1.76470588235294	4.11764705882353	4.41176470588235	1.17647058823529	0	0.882352941176471	0	0.294117647058824	0.588235294117647	39.7058823529412	1.17647058823529	1.47058823529412	8.52941176470588	0	0	4.70588235294118	0.882352941176471	0.294117647058824	0.588235294117647
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	800	"AWI"	800	35483	39005	37140	0.993377483443709	0.662251655629139	6.62251655629139	1.98675496688742	8.27814569536424	0.662251655629139	0	5.29801324503311	10.5960264900662	0.993377483443709	0	0	0.33112582781457	0.33112582781457	0.33112582781457	55.2980132450331	0.33112582781457	0.33112582781457	2.64900662251656	0	0	3.64238410596026	0.33112582781457	0	0.33112582781457
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	465	"AWI"	465	8835	9436	9209	11.6363636363636	0	0.363636363636364	0	29.4545454545455	0	0	0.363636363636364	3.63636363636364	0.727272727272727	0	0	0	0.363636363636364	0	37.4545454545455	0	0	0	0	0	16	0	0	0
1641	1696	"Enmynveem River (mammoth site)"	68.16667	165.93333	500	"AWI"	500	10017	10847	10302	10.0346020761246	0	0.346020761245675	0	33.9100346020761	0	0	0	5.88235294117647	0.346020761245675	0	0	0	0.346020761245675	0	44.2906574394464	0	0	0.346020761245675	0	0	4.49826989619377	0	0	0
