"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Anacardiaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Lamiaceae"	"Liquidambar"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
505	518	"Cranberry Glades"	38.2	-80.28333	4	"AWI"	4	-105	219	12	0	3	4	0	0	0	1	0	46	0	9	9	0	0	0	0	2	7	15	4	0	0	0	0	1	1	0	5	20	38	2	1	6	0	108	0	1	0	2	0	0	0	7	5	0
505	518	"Cranberry Glades"	38.2	-80.28333	12	"AWI"	12	-71	764	163	0	0	10	1	0	0	0	0	65	0	4	14	0	7	2	0	4	10	10	0	0	4	0	1	0	0	0	5	14	9	0	2	3	0	112	0	1	0	0	0	0	0	17	2	0
505	518	"Cranberry Glades"	38.2	-80.28333	22	"AWI"	22	-27	1421	361	0	0	4	0	0	0	0	0	50	0	1	18	0	0	0	0	2	1	17	0	0	0	1	0	1	0	0	3	24	29	0	3	1	0	113	0	0	0	0	0	2	0	24	5	0
505	518	"Cranberry Glades"	38.2	-80.28333	42	"AWI"	42	138	2039	831	0	0	9	2	0	0	0	0	63	0	0	16	0	10	0	0	4	1	20	3	0	0	0	0	0	0	0	2	27	23	0	5	0	0	101	0	0	0	0	0	1	0	15	2	0
505	518	"Cranberry Glades"	38.2	-80.28333	64	"AWI"	64	429	2639	1359	0	0	17	0	0	0	0	0	40	0	0	26	0	10	0	1	0	1	15	0	0	0	0	0	0	0	0	4	21	39	0	2	1	0	114	0	0	0	0	0	0	0	11	2	0
505	518	"Cranberry Glades"	38.2	-80.28333	86	"AWI"	86	813	3210	1893	0	0	14	0	0	0	0	0	57	0	0	24	0	3	1	0	1	1	19	0	0	0	0	0	0	0	0	2	20	22	0	3	0	0	118	0	0	0	0	0	0	2	17	2	0
505	518	"Cranberry Glades"	38.2	-80.28333	102	"AWI"	102	1107	3516	2270	0	0	14	0	0	0	0	0	48	0	0	29	0	6	0	0	6	6	17	0	0	0	0	0	0	0	0	4	17	39	0	4	0	0	110	0	0	0	0	0	1	1	8	3	0
505	518	"Cranberry Glades"	38.2	-80.28333	122	"AWI"	122	1559	3921	2757	0	0	7	0	0	1	0	0	71	0	1	20	0	1	1	0	2	4	12	0	0	5	0	0	0	0	0	2	26	30	0	3	0	0	105	0	0	0	0	0	1	0	11	1	0
505	518	"Cranberry Glades"	38.2	-80.28333	142	"AWI"	142	2013	4288	3226	0	0	27	0	0	3	0	0	63	0	1	12	0	5	0	0	5	0	11	6	0	0	0	0	1	0	0	2	26	35	0	4	0	0	114	0	0	0	0	0	2	1	5	1	1
505	518	"Cranberry Glades"	38.2	-80.28333	162	"AWI"	162	2464	4640	3676	0	0	75	1	0	0	1	0	52	1	0	27	0	2	0	0	1	0	18	0	4	0	0	0	0	0	0	2	32	30	0	1	0	0	106	0	0	0	0	0	1	1	3	1	0
