"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Celtis"	"Cephalanthus"	"Cistaceae"	"Clethra"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Liquidambar"	"Liriodendron"	"Magnolia"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Taxodium"	"Thalictrum"	"Tsuga"	"Ulmus"	"Viburnum"	"Vitaceae"
679	699	"Dismal Swamp (91)"	36.58333	-76.45	1	"AWI"	1	-113	116	-20	0	0	4	0	0	0	9	3	6	0	0	3	0	1	0	5	193	1	1	0	8	3	0	8	0	0	0	6	2	6	4	132	0	2	0	133	1	0	0	94	0	0	2	0	4	0	0	6	0	0	1	0	1
679	699	"Dismal Swamp (91)"	36.58333	-76.45	10	"AWI"	10	93	1081	441	0	15	2	0	0	0	0	0	4	0	0	1	0	1	0	1	169	1	3	0	5	4	0	8	0	0	0	0	2	3	0	121	0	1	0	107	0	0	2	67	0	0	2	0	3	0	1	3	0	1	0	1	2
679	699	"Dismal Swamp (91)"	36.58333	-76.45	20	"AWI"	20	425	1777	1011	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	3	199	1	7	0	1	8	0	4	0	0	0	3	0	0	2	66	0	1	0	51	0	0	0	32	0	4	0	0	1	0	4	10	0	0	0	0	2
679	699	"Dismal Swamp (91)"	36.58333	-76.45	30	"AWI"	30	899	2357	1570	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	9	349	0	2	0	0	1	0	9	0	0	0	1	0	0	5	11	0	1	0	23	0	0	0	27	0	4	0	0	1	0	0	39	0	0	0	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	40	"AWI"	40	1407	2911	2146	0	0	1	0	0	0	0	2	1	0	0	2	0	0	0	10	232	3	11	0	2	1	0	5	0	0	0	4	0	3	20	21	0	0	0	44	0	0	0	45	1	0	0	0	0	0	1	52	0	0	2	4	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	49	"AWI"	49	1917	3338	2663	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	134	1	4	0	1	2	0	4	0	0	0	3	0	0	4	43	0	2	0	59	0	0	1	39	0	0	0	0	0	0	1	8	0	1	1	3	1
679	699	"Dismal Swamp (91)"	36.58333	-76.45	60	"AWI"	60	2630	3808	3294	0	0	4	0	0	1	0	1	5	0	0	0	0	0	0	2	200	0	0	0	1	0	0	1	1	0	0	5	0	0	1	25	0	0	0	56	0	0	0	59	0	1	0	0	0	0	2	19	0	0	1	0	1
679	699	"Dismal Swamp (91)"	36.58333	-76.45	70	"AWI"	70	3434	4205	3821	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	150	11	0	0	1	4	0	0	0	0	0	4	0	0	1	1	0	3	0	50	0	0	0	57	0	0	0	0	0	0	1	12	0	0	0	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	80	"AWI"	80	3812	4822	4266	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	97	3	0	0	0	1	0	1	0	0	0	7	0	0	0	0	0	1	0	65	1	0	0	92	0	0	0	0	0	0	0	4	0	0	0	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	90	"AWI"	90	4129	5387	4694	0	0	2	0	1	0	0	3	10	2	0	3	0	0	0	0	64	12	0	0	1	1	0	1	0	0	0	4	0	0	1	4	0	3	0	77	0	0	4	155	1	0	0	0	0	1	0	5	0	1	1	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	98	"AWI"	98	4405	5810	5042	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	2	57	9	0	0	2	1	0	0	0	0	0	1	0	0	0	2	0	0	0	35	0	0	0	98	0	4	0	0	0	0	0	2	0	0	0	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	110	"AWI"	110	4845	6380	5566	0	0	1	1	0	0	0	1	13	0	0	0	0	0	0	1	35	13	0	0	3	2	0	0	0	0	0	4	0	0	0	1	0	1	0	56	0	0	3	115	0	3	0	0	0	0	0	2	0	0	0	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	120	"AWI"	120	5217	6847	6002	0	0	0	0	0	0	0	1	11	1	0	15	0	0	0	0	20	35	0	1	6	1	0	0	1	0	0	2	0	0	0	1	1	1	0	39	3	0	0	159	0	0	0	0	0	0	0	0	0	0	1	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	130	"AWI"	130	5596	7313	6431	0	0	1	0	3	0	0	3	13	0	0	7	0	0	0	1	22	10	0	0	5	0	0	0	0	0	0	7	0	0	1	16	0	0	0	49	0	0	1	126	1	0	0	0	0	0	0	0	0	3	1	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	140	"AWI"	140	6016	7766	6864	0	0	0	0	6	0	0	2	13	0	0	5	0	1	0	0	12	46	0	0	1	0	0	0	0	0	0	7	0	0	0	3	0	2	0	39	0	0	0	155	0	1	0	0	0	0	0	0	0	1	3	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	151	"AWI"	151	6470	8227	7342	0	4	1	0	0	0	0	1	13	0	0	4	0	0	0	1	24	26	0	2	7	0	0	1	0	0	0	15	0	0	0	17	1	1	0	54	0	0	1	161	0	1	0	0	0	0	1	3	0	2	1	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	160	"AWI"	160	6869	8588	7736	0	0	3	0	8	1	0	0	20	0	0	1	0	0	0	2	3	6	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	1	0	25	0	0	0	206	0	0	0	0	0	1	0	0	1	1	2	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	170	"AWI"	170	7303	8992	8168	0	0	1	0	0	0	0	0	30	2	0	0	0	1	1	0	2	8	0	0	4	1	0	0	0	0	0	14	0	0	3	3	0	3	0	44	0	0	0	253	0	0	1	0	0	0	0	1	0	2	3	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	180	"AWI"	180	7783	9358	8597	0	0	3	0	1	1	0	3	22	0	1	0	1	0	0	1	1	1	0	0	3	2	0	0	0	0	0	7	0	0	2	1	0	0	0	27	0	0	0	218	0	0	0	0	0	0	0	0	0	4	3	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	190	"AWI"	190	8260	9742	9029	0	0	2	1	0	0	0	2	22	1	0	0	0	0	0	4	8	2	0	0	3	2	0	0	1	0	0	11	0	0	0	4	0	3	0	41	1	0	0	274	0	0	0	0	0	0	0	0	0	1	5	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	200	"AWI"	200	8778	10080	9453	0	0	4	0	0	1	0	6	28	0	0	2	0	0	0	2	6	2	0	0	3	0	0	0	0	0	0	14	0	0	0	1	0	0	0	40	0	0	0	275	0	0	0	0	0	0	0	0	0	4	3	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	210	"AWI"	210	9368	10457	9877	0	0	4	1	0	0	0	2	15	0	0	0	0	0	0	1	2	1	0	0	2	0	0	0	0	0	0	10	0	0	0	3	0	0	0	42	1	0	0	224	0	0	0	0	0	0	0	1	0	3	1	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	220	"AWI"	220	9763	10945	10300	0	0	4	0	0	0	0	0	16	0	0	1	0	0	0	0	3	3	0	0	6	0	0	0	0	0	0	11	0	0	0	1	0	3	0	37	0	0	0	235	0	0	0	0	0	0	0	0	1	2	2	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	228	"AWI"	228	9994	11440	10636	2	0	18	0	1	0	0	6	1	0	0	0	0	0	0	8	15	4	0	0	30	3	0	0	0	1	0	0	0	0	0	2	0	3	3	11	3	0	0	143	0	0	0	0	0	0	0	0	1	1	1	1	1
679	699	"Dismal Swamp (91)"	36.58333	-76.45	230	"AWI"	230	10056	11554	10719	0	0	40	0	1	0	0	16	4	0	0	1	0	0	0	4	7	18	1	0	23	5	1	2	0	67	0	0	0	0	0	1	0	12	7	77	0	0	0	143	0	0	0	1	0	0	0	0	1	2	2	0	0
679	699	"Dismal Swamp (91)"	36.58333	-76.45	243	"AWI"	243	10479	12272	11273	1	0	1	2	0	1	0	0	6	0	0	0	0	0	0	1	2	6	1	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	14	197	1	0	1	26	0	0	0	0	0	0	0	0	0	0	1	0	0
