"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Brassicaceae"	"Bromeliaceae"	"Buddleja"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castilla"	"Cecropia"	"Clethra"	"Cupressaceae"	"Cyperaceae"	"Dodonaea"	"Drimys"	"Ephedraceae"	"Ericales"	"Escallonia"	"Eugenia"	"Euphorbiaceae"	"Fabaceae"	"Ficus"	"Gentianaceae"	"Grossulariaceae"	"Hedyosmum"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Loranthaceae"	"Malvaceae"	"Melastomataceae"	"Moraceae"	"Myrica"	"Myrsinaceae"	"Myrsine"	"Myrtaceae"	"Papaveraceae"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Proteaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sapium"	"Schinus"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Trema"	"Urticaceae"	"Weinmannia"
1596	1647	"Laguna Junín"	-11	-76.16667	2490	"AWI"	2490	33889	47329	40143	0	3	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	27	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1596	1647	"Laguna Junín"	-11	-76.16667	2460	"AWI"	2460	33400	46346	39730	0	6	0	51	2	0	0	0	0	0	0	0	28	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	8	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
1596	1647	"Laguna Junín"	-11	-76.16667	2528	"AWI"	2528	34423	48335	40746	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	123	74	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1596	1647	"Laguna Junín"	-11	-76.16667	2710	"AWI"	2710	39256	52126	43492	0	3	0	4	0	0	2	0	0	0	0	1	5	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	1	0	0	93	221	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1596	1647	"Laguna Junín"	-11	-76.16667	2523	"AWI"	2523	34382	48183	40663	0	3	0	2	0	0	1	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	24	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0
1596	1647	"Laguna Junín"	-11	-76.16667	2442	"AWI"	2442	33037	46004	39485	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	4	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	9	1	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0
1596	1647	"Laguna Junín"	-11	-76.16667	2340	"AWI"	2340	30962	44054	37802	0	5	0	2	2	0	6	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	25	0	0	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	129	14	6	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
1596	1647	"Laguna Junín"	-11	-76.16667	2785	"AWI"	2785	42080	54079	44600	0	8	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	9	0	0	7	2	0	0	1	0	0	2	0	1	0	1	0	0	0	18	4	9	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0
1596	1647	"Laguna Junín"	-11	-76.16667	2730	"AWI"	2730	39717	52696	43859	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	100	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1596	1647	"Laguna Junín"	-11	-76.16667	2690	"AWI"	2690	38671	51577	43164	0	14	0	7	0	0	0	0	0	0	0	2	5	0	0	0	0	22	0	0	0	0	0	0	0	0	0	1	0	4	0	0	72	234	0	0	0	0	0	0	0	0	0	0	0	0	0	159	5	2	0	17	2	0	0	0	0	0	0	0	0	0	0	0	0
1596	1647	"Laguna Junín"	-11	-76.16667	2295	"AWI"	2295	30434	43285	36934	0	2	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	8	0	1	33	0	0	0	0	0	0	3	0	0	0	0	0	0	0	349	5	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0
1596	1647	"Laguna Junín"	-11	-76.16667	2551	"AWI"	2551	34829	48797	41064	0	1	0	26	0	0	19	0	0	0	0	0	2	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	5	0	0	11	1	0	0	0	0	0	0	0	0	0	2	0	0	0	82	38	5	0	5	0	0	0	0	0	0	0	0	0	0	0	2	1
1596	1647	"Laguna Junín"	-11	-76.16667	2628	"AWI"	2628	36897	50349	42217	0	3	6	7	0	0	0	0	0	0	0	7	22	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	2	0	0	136	3499	0	0	0	0	0	0	0	0	0	0	0	0	0	100	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
1596	1647	"Laguna Junín"	-11	-76.16667	3049	"AWI"	3049	46066	58714	48578	0	4	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	6	0	0	6	2	0	0	0	0	0	0	0	0	3	0	1	0	0	189	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1596	1647	"Laguna Junín"	-11	-76.16667	3020	"AWI"	3020	45975	58140	48142	0	3	0	1	1	0	3	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	46	150	2	0	0	0	0	0	0	1	0	0	0	0	0	54	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
