"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"
776	796	"Emerald Lake"	44.06667	-110.3	20	"AWI"	20	4	1529	372	36	0	1	5	3	43	0	0	1	7	0	0	0	0	1	36	169	6	0	0	0	0	0	0	3	5	2	2	0
776	796	"Emerald Lake"	44.06667	-110.3	40	"AWI"	40	254	2292	947	37	0	3	9	0	51	0	0	0	7	0	1	1	0	1	43	206	13	0	0	1	3	0	0	0	6	2	3	0
776	796	"Emerald Lake"	44.06667	-110.3	60	"AWI"	60	566	2859	1510	29	0	2	9	0	64	0	0	0	6	0	0	0	1	2	18	200	6	0	0	0	2	0	0	0	3	4	3	0
776	796	"Emerald Lake"	44.06667	-110.3	80	"AWI"	80	968	3377	2091	27	0	0	8	0	65	0	0	0	11	0	0	0	1	0	20	170	17	0	0	0	0	0	0	3	0	1	3	0
776	796	"Emerald Lake"	44.06667	-110.3	100	"AWI"	100	1408	3878	2643	12	0	1	11	2	46	0	0	0	5	0	0	0	0	0	22	285	9	0	0	1	0	0	0	0	2	1	0	0
776	796	"Emerald Lake"	44.06667	-110.3	120	"AWI"	120	1919	4371	3192	52	0	0	5	1	50	0	0	1	9	0	0	0	1	0	39	213	12	0	0	0	1	0	0	0	3	0	2	0
776	796	"Emerald Lake"	44.06667	-110.3	140	"AWI"	140	2395	4779	3714	36	0	1	11	4	48	0	0	0	11	0	0	0	1	1	38	263	10	0	0	0	0	0	0	0	7	3	1	0
776	796	"Emerald Lake"	44.06667	-110.3	160	"AWI"	160	3019	5137	4261	48	0	1	6	0	48	0	1	0	10	0	1	0	0	2	50	186	10	0	0	0	1	0	0	4	1	1	3	1
776	796	"Emerald Lake"	44.06667	-110.3	180	"AWI"	180	3748	5469	4785	33	0	2	13	1	61	0	0	0	5	0	0	0	0	1	43	211	12	0	0	1	1	1	0	0	1	2	2	0
776	796	"Emerald Lake"	44.06667	-110.3	200	"AWI"	200	4442	5749	5318	49	1	1	8	3	75	0	0	0	3	0	0	1	1	2	71	147	11	0	0	0	1	2	0	0	4	1	4	1
776	796	"Emerald Lake"	44.06667	-110.3	220	"AWI"	220	5548	6029	5788	44	0	0	2	1	42	0	0	0	11	0	1	0	0	0	62	112	3	0	0	0	1	1	0	0	0	2	1	3
776	796	"Emerald Lake"	44.06667	-110.3	240	"AWI"	240	5761	6787	6126	31	0	2	16	1	52	0	0	0	6	0	0	1	0	0	52	199	15	0	0	0	1	2	1	0	1	1	4	2
776	796	"Emerald Lake"	44.06667	-110.3	260	"AWI"	260	5985	7174	6505	32	0	1	8	0	32	0	0	0	7	0	0	0	0	0	33	155	9	0	0	0	1	0	1	0	0	1	4	1
776	796	"Emerald Lake"	44.06667	-110.3	280	"AWI"	280	6281	7502	6881	46	0	1	3	0	35	0	0	0	6	0	0	1	0	0	38	160	10	0	0	0	1	0	0	4	0	0	3	2
776	796	"Emerald Lake"	44.06667	-110.3	300	"AWI"	300	6657	7827	7247	21	0	0	12	0	84	0	0	0	13	1	1	0	0	2	20	167	15	0	1	0	2	3	0	0	0	3	5	1
776	796	"Emerald Lake"	44.06667	-110.3	320	"AWI"	320	7188	8140	7590	26	0	0	5	1	53	0	0	0	10	1	0	0	0	1	53	162	1	0	0	0	1	2	0	7	2	1	2	7
776	796	"Emerald Lake"	44.06667	-110.3	340	"AWI"	340	7704	9102	8231	20	0	0	16	0	59	0	0	1	8	1	0	0	0	0	37	223	3	0	0	0	0	1	1	0	0	1	6	4
776	796	"Emerald Lake"	44.06667	-110.3	360	"AWI"	360	8196	10510	9227	13	0	1	14	0	69	0	0	0	4	1	1	0	0	0	44	227	7	0	0	0	1	2	1	2	0	0	6	1
776	796	"Emerald Lake"	44.06667	-110.3	380	"AWI"	380	8924	11368	10261	20	0	0	9	0	54	11	1	0	5	0	0	0	0	0	56	206	3	0	0	0	0	0	0	0	0	3	5	1
776	796	"Emerald Lake"	44.06667	-110.3	400	"AWI"	400	10359	11956	11283	23	0	0	8	0	40	0	1	0	7	0	0	0	0	0	70	146	4	0	0	0	1	0	0	0	6	0	2	0
776	796	"Emerald Lake"	44.06667	-110.3	410	"AWI"	410	11029	12203	11665	35	0	0	3	1	52	0	0	0	3	0	0	0	0	11	103	136	6	0	0	0	0	0	0	0	1	1	2	0
776	796	"Emerald Lake"	44.06667	-110.3	420	"AWI"	420	11440	12442	11991	12	0	1	16	0	131	0	0	0	4	1	0	1	0	5	228	224	16	0	1	0	0	0	0	0	0	4	7	0
776	796	"Emerald Lake"	44.06667	-110.3	430	"AWI"	430	11671	12594	12204	3	0	0	6	0	64	0	1	0	10	0	0	0	0	2	130	99	8	0	0	0	0	0	0	0	4	1	5	1
776	796	"Emerald Lake"	44.06667	-110.3	440	"AWI"	440	11806	12780	12402	6	0	0	4	0	47	0	0	0	17	1	0	0	5	3	162	135	10	0	0	0	0	0	0	0	2	2	3	0
776	796	"Emerald Lake"	44.06667	-110.3	450	"AWI"	450	12139	12885	12578	2	0	0	2	0	76	0	0	0	8	0	0	0	0	3	79	115	11	0	0	1	0	0	0	0	2	2	2	0
776	796	"Emerald Lake"	44.06667	-110.3	460	"AWI"	460	12303	13107	12773	2	0	0	7	1	118	0	5	1	32	0	0	0	2	12	29	49	40	0	1	0	1	0	0	5	3	4	5	0
776	796	"Emerald Lake"	44.06667	-110.3	480	"AWI"	480	12673	13960	13176	3	0	0	16	2	119	0	6	1	17	0	0	2	3	10	19	60	27	0	0	0	0	0	0	0	4	7	8	1
776	796	"Emerald Lake"	44.06667	-110.3	490	"AWI"	490	12856	14203	13407	3	0	6	28	0	111	0	1	0	36	0	0	0	3	12	14	72	37	0	1	0	0	0	1	0	3	5	5	1
776	796	"Emerald Lake"	44.06667	-110.3	510	"AWI"	510	13286	14716	13841	2	0	2	9	2	168	0	2	0	46	0	0	1	3	23	14	62	26	0	0	0	1	0	0	0	3	8	12	0
776	796	"Emerald Lake"	44.06667	-110.3	530	"AWI"	530	13689	15426	14337	4	0	0	5	1	178	18	2	0	88	0	0	0	6	6	23	124	26	2	4	0	6	1	0	0	3	2	10	0
776	796	"Emerald Lake"	44.06667	-110.3	540	"AWI"	540	13863	15832	14621	0	0	0	12	2	49	0	0	0	2	0	0	0	12	2	0	18	7	0	0	0	0	0	0	0	0	1	1	0
776	796	"Emerald Lake"	44.06667	-110.3	550	"AWI"	550	13964	16404	14882	0	0	0	4	2	40	0	0	1	6	0	0	0	13	6	0	5	13	0	0	0	0	0	0	0	0	4	0	0
