"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Castanea"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Larix"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Ulmus"
1558	1601	"Lake LR3"	58.57833	-75.245	0	"AWI"	0	-149	19	-67	12.4238733252132	0.730816077953715	0.97442143727162	2.43605359317905	43.1181485992692	0.243605359317905	0	0.243605359317905	10.9622411693057	4.38489646772229	0	0	0.730816077953715	0	0	0	0.243605359317905	19.6102314250913	0	0	2.67965895249695	0.243605359317905	0	0.243605359317905	0.730816077953715	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	2.5	"AWI"	2.5	-87.5	400	70	0	0.226500566251416	2.71800679501699	2.26500566251416	44.6206115515289	0	0	0.906002265005663	14.722536806342	6.79501698754247	0	0	0.226500566251416	0.226500566251416	0	0	0	25.0283125707814	0	0	1.35900339750849	0	0	0	0.906002265005663	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	5.5	"AWI"	5.5	-37	890	235.5	7.02106318956871	0	1.80541624874624	1.40421263791374	42.9287863590772	0	0	1.20361083249749	20.4613841524574	6.61985957873621	0	0	0	0	0.200601805416249	0.200601805416249	0	14.3430290872618	0	0	2.20661985957874	0	0.401203610832498	0	1.20361083249749	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	10	"AWI"	10	76	1295	536	7.27272727272727	0	1.72248803827751	0	42.1052631578947	0	0	0.191387559808612	12.822966507177	11.1004784688995	0	0.191387559808612	0.574162679425837	0.191387559808612	0	0	0	21.7224880382775	0	0	1.33971291866029	0	0	0	0.76555023923445	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	15.5	"AWI"	15.5	314.5	1663	907.5	0	0.223964165733483	1.56774916013438	0	43.6730123180291	0	0	2.01567749160134	18.3650615901456	7.83874580067189	0	0	0.223964165733483	0.447928331466965	0	0.223964165733483	0	21.6125419932811	0	0.223964165733483	1.11982082866741	0.223964165733483	0.223964165733483	0	2.01567749160134	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	20	"AWI"	20	506	1962	1207	0	0	2.08574739281576	0.695249130938586	44.2641946697567	0	0	0	13.2097334878331	6.95249130938586	0	0	0.463499420625724	0	0.231749710312862	0	0	28.8528389339513	0	0	2.31749710312862	0	0	0	0.926998841251448	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	25	"AWI"	25	749	2261	1536	0	0.219058050383352	0.876232201533406	0.876232201533406	40.52573932092	0	0	1.53340635268346	18.8389923329682	8.54326396495071	0	0	0.438116100766703	0.219058050383352	0	0	0	24.2059145673604	0	0	1.31434830230011	0	0	0	2.40963855421687	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	29.5	"AWI"	29.5	1101	2447	1836	0	0.18034265103697	1.44274120829576	0.901713255184851	40.5770964833183	0	0	0.36068530207394	11.7222723174031	7.39404869251578	0.18034265103697	0	0.18034265103697	0.18034265103697	0	0	0	26.6907123534716	7.12353471596033	0	1.26239855725879	0.18034265103697	0	0	1.44274120829576	0	0.18034265103697
1558	1601	"Lake LR3"	58.57833	-75.245	40	"AWI"	40	1862	2878	2515	0	0.780487804878049	1.75609756097561	0.390243902439024	43.1219512195122	0	0	1.17073170731707	13.8536585365854	5.65853658536585	0	0	0.195121951219512	0.780487804878049	0	0	0	24.5853658536585	4.97560975609756	0	1.75609756097561	0	0	0	0.780487804878049	0	0.195121951219512
1558	1601	"Lake LR3"	58.57833	-75.245	50	"AWI"	50	2564	3334	2966	0	0.197628458498024	1.18577075098814	0	44.8616600790514	0	0	1.38339920948617	10.6719367588933	7.5098814229249	0	0	0	0	0	0	0	26.2845849802372	5.33596837944664	0.197628458498024	1.58102766798419	0	0	0	0.790513833992095	0	0
