"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Aextoxicon"	"Amaranthaceae"	"Anacardiaceae"	"Apiaceae"	"Aristotelia"	"Artemisia"	"Asteraceae"	"Azara"	"Brassicaceae"	"Caryophyllaceae"	"Columelliaceae"	"Coriariaceae"	"Cyperaceae"	"Dasyphyllum"	"Drimys"	"Embothrium"	"Ericales"	"Escallonia"	"Eucryphia"	"Fuchsia"	"Gesneriaceae"	"Griselinia"	"Grossulariaceae"	"Gunneraceae"	"Hydrangea"	"Indeterminable"	"Isoëtes"	"Laurelia"	"Lomatia"	"Loranthaceae"	"Maytenus"	"Misodendraceae"	"Myrtaceae"	"Nothofagus"	"Pilgerodendron"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Pseudopanax"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Santalaceae"	"Saxegothaea"	"Solanaceae"	"Urticaceae"	"Verbenaceae"	"Weinmannia"
342	350	"Caunahue"	-40	-72	120	"AWI"	120	1553	4640	3035	13	1	0	0	3	0	0	0	1	0	1	0	3	1	3	1	0	0	32	0	1	0	1	0	65	8	0	3	3	0	5	7	18	194	1	1	37	2	0	0	0	0	7	1	0	3	0	15
342	350	"Caunahue"	-40	-72	140	"AWI"	140	2011	4880	3638	5	2	0	0	1	0	0	2	0	1	0	0	2	1	2	1	1	0	36	1	0	0	1	1	16	9	0	0	5	0	1	2	9	171	0	0	31	1	0	0	0	0	1	1	1	0	0	9
342	350	"Caunahue"	-40	-72	160	"AWI"	160	2721	5147	4172	9	0	0	0	0	0	0	4	0	0	1	0	2	1	1	0	0	0	106	1	0	0	0	0	56	7	0	1	6	0	4	5	13	0	0	1	30	2	2	0	1	3	1	0	0	0	0	5
342	350	"Caunahue"	-40	-72	180	"AWI"	180	3826	5242	4635	10	1	0	0	1	0	0	2	0	0	0	0	1	2	0	2	0	0	74	0	0	0	0	2	74	10	0	14	1	1	2	7	6	0	0	1	26	2	3	0	0	2	1	1	0	0	0	12
342	350	"Caunahue"	-40	-72	200	"AWI"	200	4576	5452	5150	2	2	0	0	0	0	0	4	0	0	0	0	2	0	3	0	0	0	34	0	0	0	0	0	12	8	0	2	1	0	0	4	6	0	2	0	12	1	1	0	0	0	1	0	1	0	0	9
342	350	"Caunahue"	-40	-72	220	"AWI"	220	4871	5545	5327	4	0	0	0	1	0	0	0	0	0	1	0	3	0	1	0	0	1	44	0	0	0	0	0	12	6	0	1	0	0	1	4	13	0	0	0	18	1	0	0	0	0	4	4	0	0	0	3
342	350	"Caunahue"	-40	-72	240	"AWI"	240	4961	5768	5436	3	0	0	0	1	0	0	2	0	0	0	0	8	0	1	0	0	3	50	0	0	0	0	0	10	9	0	1	4	0	2	2	15	0	1	0	30	1	0	0	0	1	3	1	0	0	0	8
342	350	"Caunahue"	-40	-72	260	"AWI"	260	5043	5979	5529	15	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	1	16	0	0	0	1	0	57	4	2	5	0	0	4	6	2	226	0	0	24	0	0	1	0	0	3	0	0	2	0	15
342	350	"Caunahue"	-40	-72	280	"AWI"	280	5121	6072	5617	10	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	19	0	0	1	0	0	30	3	0	0	1	0	0	7	9	0	0	3	19	3	0	0	0	0	3	0	0	0	0	5
342	350	"Caunahue"	-40	-72	300	"AWI"	300	5177	6199	5695	9	2	0	0	0	0	0	7	0	0	1	1	3	0	1	0	0	0	33	0	0	0	0	0	28	3	0	1	2	0	0	2	6	0	0	0	25	0	0	0	0	1	4	1	1	0	0	13
342	350	"Caunahue"	-40	-72	320	"AWI"	320	5278	6284	5778	6	0	0	0	1	0	0	5	0	0	1	0	3	0	1	0	0	0	14	0	0	0	0	0	68	8	0	7	0	0	0	11	17	166	0	0	34	0	0	1	0	0	1	0	0	1	1	13
342	350	"Caunahue"	-40	-72	340	"AWI"	340	5357	6388	5867	10	0	0	0	0	2	0	1	0	0	1	0	2	0	2	1	1	0	22	0	0	0	0	0	7	5	0	2	0	0	0	5	12	193	0	1	51	0	1	0	0	0	4	1	1	0	0	9
342	350	"Caunahue"	-40	-72	360	"AWI"	360	5454	6512	5951	5	0	0	0	0	0	0	4	0	0	1	1	1	0	1	0	0	1	13	1	1	1	0	0	30	5	0	0	1	0	1	6	9	0	0	0	16	0	0	0	0	0	1	0	0	0	0	6
342	350	"Caunahue"	-40	-72	380	"AWI"	380	5555	6591	6042	12	0	0	0	0	0	0	4	0	0	0	0	6	1	0	0	0	0	61	0	0	0	0	0	38	15	0	8	1	0	5	3	6	185	0	0	15	0	1	0	0	0	3	0	0	1	0	18
342	350	"Caunahue"	-40	-72	420	"AWI"	420	5755	6780	6216	6	0	0	0	0	0	0	6	0	0	2	0	0	0	4	1	0	4	36	0	0	0	0	0	11	11	0	1	4	0	0	3	5	0	1	0	13	1	0	1	0	0	0	0	0	0	0	7
342	350	"Caunahue"	-40	-72	440	"AWI"	440	5851	6894	6301	6	1	0	0	1	0	0	2	0	0	0	0	3	0	1	1	0	0	5	1	0	0	0	1	15	4	0	1	1	0	0	4	0	221	0	0	26	0	1	0	0	0	2	1	1	0	0	12
342	350	"Caunahue"	-40	-72	460	"AWI"	460	5977	6989	6379	5	0	0	0	5	0	0	2	0	0	1	0	1	0	2	2	0	2	15	1	1	0	0	0	34	7	0	2	3	0	4	6	7	0	2	0	27	0	0	0	0	0	0	0	1	0	0	7
