"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fabaceae"	"Fraxinus"	"Juglans"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Quercus"	"Salix"	"Tilia"	"Ulmus"
478	489	"Clear Lake"	43.121856	-93.439296	0	"AWI"	0	-115	54	-24	0	2	0	25	12	143	7	5	2	1	12	0	4	3	0	4	0	30	6	54	88	3	2	17
478	489	"Clear Lake"	43.121856	-93.439296	10	"AWI"	10	-52	328	123	1	0	3	16	10	155	9	4	1	0	13	0	0	0	0	5	0	28	1	29	59	3	3	16
478	489	"Clear Lake"	43.121856	-93.439296	20	"AWI"	20	-8	667	261	0	0	2	17	11	139	9	6	3	2	16	0	0	5	0	2	1	16	1	40	62	1	2	9
478	489	"Clear Lake"	43.121856	-93.439296	30	"AWI"	30	75	799	405	0	2	3	6	17	62	5	18	4	2	25	0	6	5	0	6	0	33	5	32	134	1	3	15
478	489	"Clear Lake"	43.121856	-93.439296	40	"AWI"	40	172	956	538	0	0	3	7	12	64	14	10	2	1	23	0	2	6	1	5	1	34	7	34	87	3	0	13
478	489	"Clear Lake"	43.121856	-93.439296	60	"AWI"	60	411	1171	830	0	1	2	7	25	57	12	1	2	1	40	3	0	0	0	1	1	43	6	49	96	3	1	4
478	489	"Clear Lake"	43.121856	-93.439296	80	"AWI"	80	771	1328	1087	0	1	6	11	26	49	13	1	0	3	26	0	2	0	0	2	1	41	6	54	103	2	2	4
478	489	"Clear Lake"	43.121856	-93.439296	100	"AWI"	100	1062	1517	1317	0	0	3	9	17	54	9	4	1	2	44	0	0	0	0	1	1	45	3	50	72	3	0	4
478	489	"Clear Lake"	43.121856	-93.439296	120	"AWI"	120	1211	1804	1490	0	1	3	8	26	61	8	4	0	0	26	0	0	0	0	3	0	60	4	41	96	1	2	6
478	489	"Clear Lake"	43.121856	-93.439296	140	"AWI"	140	1363	2017	1676	0	2	2	13	20	44	12	1	1	3	37	0	0	0	0	3	1	34	5	35	113	1	0	9
478	489	"Clear Lake"	43.121856	-93.439296	160	"AWI"	160	1546	2183	1862	0	1	4	16	23	56	7	8	0	2	24	0	0	0	0	3	0	43	5	58	95	2	3	8
478	489	"Clear Lake"	43.121856	-93.439296	180	"AWI"	180	1752	2342	2052	0	0	2	9	29	57	15	3	4	0	36	0	4	0	0	3	2	60	6	45	93	3	3	6
478	489	"Clear Lake"	43.121856	-93.439296	200	"AWI"	200	1970	2540	2246	0	2	5	10	21	42	8	7	3	1	23	0	2	0	0	4	0	36	10	44	96	0	2	7
478	489	"Clear Lake"	43.121856	-93.439296	220	"AWI"	220	2108	2855	2443	0	1	4	9	29	55	7	10	3	1	36	3	0	3	0	4	0	51	5	39	141	0	4	14
478	489	"Clear Lake"	43.121856	-93.439296	240	"AWI"	240	2290	3072	2657	0	5	1	7	15	44	8	4	4	0	16	0	0	0	0	7	1	19	1	30	64	1	1	7
478	489	"Clear Lake"	43.121856	-93.439296	260	"AWI"	260	2496	3228	2877	0	0	3	9	20	58	4	7	2	1	29	0	3	0	0	4	0	58	4	36	71	0	2	12
478	489	"Clear Lake"	43.121856	-93.439296	280	"AWI"	280	2757	3399	3093	0	1	5	4	21	56	9	2	0	6	28	0	2	2	0	4	2	53	13	56	88	0	0	15
478	489	"Clear Lake"	43.121856	-93.439296	300	"AWI"	300	2995	3578	3309	0	0	6	13	30	63	10	3	0	7	28	0	0	3	0	10	1	50	7	50	74	2	2	13
478	489	"Clear Lake"	43.121856	-93.439296	320	"AWI"	320	3165	3869	3510	0	2	5	34	38	56	7	4	0	4	41	0	0	3	0	4	2	45	4	56	51	5	2	13
478	489	"Clear Lake"	43.121856	-93.439296	340	"AWI"	340	3339	4083	3710	0	0	3	10	25	55	5	1	1	3	46	0	0	0	0	0	4	48	4	54	68	3	2	11
478	489	"Clear Lake"	43.121856	-93.439296	360	"AWI"	360	3544	4269	3913	0	0	4	16	33	64	5	11	0	3	21	0	0	6	0	12	2	50	3	46	72	1	2	10
478	489	"Clear Lake"	43.121856	-93.439296	380	"AWI"	380	3789	4455	4113	0	0	4	28	28	87	5	5	0	4	34	0	0	0	0	1	0	33	7	50	47	2	1	16
478	489	"Clear Lake"	43.121856	-93.439296	400	"AWI"	400	4030	4683	4338	0	0	3	6	7	111	20	4	1	1	1	0	0	4	0	2	0	8	1	41	48	1	4	6
478	489	"Clear Lake"	43.121856	-93.439296	420	"AWI"	420	4201	5093	4603	0	0	2	7	37	91	6	5	5	4	25	0	6	3	0	3	0	27	1	62	44	2	1	4
478	489	"Clear Lake"	43.121856	-93.439296	440	"AWI"	440	4418	5408	4894	0	1	1	11	20	112	6	0	0	6	25	0	4	0	0	2	0	22	2	54	48	2	1	2
478	489	"Clear Lake"	43.121856	-93.439296	460	"AWI"	460	4687	5638	5182	0	1	1	10	30	75	3	1	1	4	28	0	3	0	0	0	2	41	5	68	56	3	0	8
478	489	"Clear Lake"	43.121856	-93.439296	480	"AWI"	480	5023	5851	5469	0	0	1	24	42	74	2	4	0	5	32	0	4	0	0	2	2	39	3	53	42	5	0	7
478	489	"Clear Lake"	43.121856	-93.439296	500	"AWI"	500	5416	6102	5753	0	1	2	18	34	69	2	2	0	0	31	0	0	2	0	2	3	41	4	63	39	0	0	6
478	489	"Clear Lake"	43.121856	-93.439296	520	"AWI"	520	5646	6619	6071	0	1	1	24	18	91	1	5	1	8	45	0	2	0	0	1	2	31	2	62	34	1	0	7
478	489	"Clear Lake"	43.121856	-93.439296	540	"AWI"	540	5891	6955	6405	0	0	4	28	28	99	0	3	0	3	31	2	0	0	0	0	1	20	5	62	52	5	1	5
478	489	"Clear Lake"	43.121856	-93.439296	560	"AWI"	560	6190	7211	6739	1	2	2	20	33	94	4	5	0	1	32	0	0	0	0	4	1	40	4	41	50	4	2	12
478	489	"Clear Lake"	43.121856	-93.439296	580	"AWI"	580	6595	7421	7065	0	0	6	27	22	91	1	3	0	2	26	2	0	0	0	4	1	30	0	68	41	0	1	6
478	489	"Clear Lake"	43.121856	-93.439296	600	"AWI"	600	6856	7652	7332	0	1	1	31	28	77	0	1	0	1	15	0	3	3	0	3	2	27	5	77	45	7	0	14
478	489	"Clear Lake"	43.121856	-93.439296	620	"AWI"	620	7053	7892	7526	0	1	1	18	33	94	3	3	1	3	26	3	0	2	0	3	1	20	2	68	52	3	0	14
478	489	"Clear Lake"	43.121856	-93.439296	640	"AWI"	640	7246	8099	7718	0	0	1	10	28	87	3	4	2	6	38	3	0	0	0	7	2	17	2	80	30	2	1	16
478	489	"Clear Lake"	43.121856	-93.439296	660	"AWI"	660	7483	8270	7916	1	2	1	17	7	142	0	0	1	5	23	0	0	0	0	2	2	23	1	74	55	2	0	17
478	489	"Clear Lake"	43.121856	-93.439296	680	"AWI"	680	7761	8417	8116	0	2	1	19	24	104	4	2	0	7	43	0	0	3	0	4	4	24	1	96	38	2	0	24
478	489	"Clear Lake"	43.121856	-93.439296	700	"AWI"	700	8060	8595	8322	0	1	1	21	25	82	4	2	1	5	30	0	0	0	1	1	7	23	0	53	29	2	2	31
