"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Castanea"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Larix"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Ulmus"
1558	1601	"Lake LR3"	58.57833	-75.245	0	"AWI"	0	-149	19	-67	51	3	4	10	177	1	0	1	45	18	0	0	3	0	0	0	1	80.5	0	0	11	1	0	1	3	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	2.5	"AWI"	2.5	-87.5	400	70	0	1	12	10	197	0	0	4	65	30	0	0	1	1	0	0	0	110.5	0	0	6	0	0	0	4	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	5.5	"AWI"	5.5	-37	890	235.5	35	0	9	7	214	0	0	6	102	33	0	0	0	0	1	1	0	71.5	0	0	11	0	2	0	6	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	10	"AWI"	10	76	1295	536	38	0	9	0	220	0	0	1	67	58	0	1	3	1	0	0	0	113.5	0	0	7	0	0	0	4	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	15.5	"AWI"	15.5	314.5	1663	907.5	0	1	7	0	195	0	0	9	82	35	0	0	1	2	0	1	0	96.5	0	1	5	1	1	0	9	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	20	"AWI"	20	506	1962	1207	0	0	9	3	191	0	0	0	57	30	0	0	2	0	1	0	0	124.5	0	0	10	0	0	0	4	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	25	"AWI"	25	749	2261	1536	0	1	4	4	185	0	0	7	86	39	0	0	2	1	0	0	0	110.5	0	0	6	0	0	0	11	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	29.5	"AWI"	29.5	1101	2447	1836	0	1	8	5	225	0	0	2	65	41	1	0	1	1	0	0	0	148	39.5	0	7	1	0	0	8	0	1
1558	1601	"Lake LR3"	58.57833	-75.245	40	"AWI"	40	1862	2878	2515	0	4	9	2	221	0	0	6	71	29	0	0	1	4	0	0	0	126	25.5	0	9	0	0	0	4	0	1
1558	1601	"Lake LR3"	58.57833	-75.245	50	"AWI"	50	2564	3334	2966	0	1	6	0	227	0	0	7	54	38	0	0	0	0	0	0	0	133	27	1	8	0	0	0	4	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	60	"AWI"	60	2896	3743	3320	0	1	5	4	183	0	0	0	58	27	1	0	0	3	1	0	0	165	0	0	3	0	0	0	5	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	70	"AWI"	70	3261	4070	3686	92	1	12	5	175	0	0	1	59	30	0	1	1	8	0	0	0	108.5	0	0	13	0	0	0	3	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	80	"AWI"	80	3779	4388	4029	117	2	6	5	162	0	0	3	71	22	0	0	0	5	1	0	0	160.5	4	0	2	0	0	0	3	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	90	"AWI"	90	4195	5511	4779	155	2	9	0	179	0	1	8	52	34	0	0	1	4	2	0	0	87.5	16.5	0	6	3	0	0	11	1	1
1558	1601	"Lake LR3"	58.57833	-75.245	100	"AWI"	100	4913	6060	5592	0	4	13	2	180	0	0	1	60	14	0	0	0	1	3	1	0	83	0	0	8	0	0	0	5	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	105	"AWI"	105	5510	6258	5955	0	1	8	0	192	0	0	5	43	22	0	0	0	1	0	0	0	84.5	12	0	8	1	0	0	13	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	110	"AWI"	110	5806	6703	6248	0	8	12	0	147	0	0	5	78	9	0	0	1	0	0	0	0	98.5	0	0	9	0	0	0	14	0	0
1558	1601	"Lake LR3"	58.57833	-75.245	115	"AWI"	115	5964	7196	6481	0	2	13	7	90	0	0	7	189	3	0	0	2	0	2	0	0	145.5	0	0	3	0	0	0	21	0	0
