"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Larix"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
1534	1572	"Lac à Magie"	44.26389	-66.07917	805	"AWI"	805	9971	10551	10262	34	0	0	1	0	2	0	141	0	0	0	1	0	0	0	8	0	1	0	0	0	0	0	0	0	9	7	1	0	12	8	0	0	7	0	0	1	0	0	68	0	0	0	0	2	5	3	0	0
1534	1572	"Lac à Magie"	44.26389	-66.07917	809	"AWI"	809	10226	10691	10435	24	0	0	0	0	0	0	88	0	0	0	0	0	1	0	16	4	5	0	0	0	0	0	0	0	4	25	0	1	3	8	0	0	9	0	0	0	0	0	47	0	0	0	0	0	1	1	0	0
1534	1572	"Lac à Magie"	44.26389	-66.07917	813	"AWI"	813	10353	10870	10597	19	0	3	2	0	0	0	130	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	17	22	1	0	5	6	0	0	7	0	0	1	0	0	45	0	0	0	0	1	3	1	0	0
1534	1572	"Lac à Magie"	44.26389	-66.07917	817	"AWI"	817	10485	11055	10760	7	0	3	1	0	0	0	145	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	10	73	0	0	5	8	0	0	3	0	0	3	0	0	47	0	0	0	1	1	2	1	0	0
1534	1572	"Lac à Magie"	44.26389	-66.07917	821	"AWI"	821	10631	11225	10922	8	0	0	0	1	0	0	120	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	7	122	2	0	10	12	0	0	4	0	0	3	0	0	30	0	0	0	5	0	0	2	0	0
1534	1572	"Lac à Magie"	44.26389	-66.07917	825	"AWI"	825	10781	11394	11087	5	0	0	0	0	0	0	111	0	0	0	0	0	0	0	8	6	2	0	0	0	0	0	0	0	12	214	0	0	7	15	0	0	4	0	0	2	0	0	28	0	0	0	2	1	0	3	0	0
1534	1572	"Lac à Magie"	44.26389	-66.07917	829	"AWI"	829	10943	11563	11251	2	0	0	0	0	0	0	142	0	0	0	0	0	2	1	7	2	3	0	0	0	0	1	0	0	11	212	1	0	19	39	0	0	13	0	0	8	0	0	39	0	0	0	10	0	0	1	0	0
1534	1572	"Lac à Magie"	44.26389	-66.07917	833	"AWI"	833	11111	11710	11412	1	0	7	1	0	0	0	61	0	0	0	0	0	1	0	3	8	1	0	0	0	0	0	0	0	6	446	1	0	13	53	0	0	7	0	0	14	0	0	37	0	0	0	14	0	4	2	0	0
1534	1572	"Lac à Magie"	44.26389	-66.07917	836	"AWI"	836	11241	11824	11534	1	0	8	0	0	0	0	46	0	0	0	0	0	1	1	0	11	3	1	0	0	0	0	0	0	18	514	0	0	3	52	0	0	6	0	0	10	0	0	35	0	0	0	7	0	2	0	0	0
1534	1572	"Lac à Magie"	44.26389	-66.07917	838	"AWI"	838	11321	11897	11618	3	0	11	0	0	0	0	79	0	0	0	0	0	1	0	0	16	7	0	0	0	0	0	0	0	23	910	1	0	1	48	0	0	4	0	0	17	0	0	18	0	0	0	20	1	7	1	0	0
