"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liquidambar"	"Magnolia"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
971	1002	"Hams Lake"	43.23667	-80.41333	806	"AWI"	806	-122	39	-35	0	0	0	0.367647058823529	0	0	0	0	6.98529411764706	0	1.47058823529412	0	0	0	0	0	0	3.30882352941176	0	0	0	6.98529411764706	0	0	2.20588235294118	0	1.47058823529412	0	0	0	0	0	0	8.08823529411765	0	0	0	0	6.61764705882353	0.735294117647059	44.1176470588235	0	0	1.83823529411765	2.20588235294118	0	0	0	0.735294117647059	3.30882352941176	9.55882352941176	0
971	1002	"Hams Lake"	43.23667	-80.41333	825	"AWI"	825	-58	309	84	0	0	0	0.37593984962406	0	0.37593984962406	0	0	6.39097744360902	0.37593984962406	0	0	0	0	0	0	0	0.37593984962406	0	0	0	6.39097744360902	3.38345864661654	0	3.38345864661654	0	0.37593984962406	0	0.37593984962406	0	0	0	0	8.64661654135338	0	0	0	0.37593984962406	6.39097744360902	0	44.7368421052632	0	0	3.38345864661654	0.37593984962406	0	0	0	0.37593984962406	3.00751879699248	10.9022556390977	0
971	1002	"Hams Lake"	43.23667	-80.41333	845	"AWI"	845	30	446	229	0	0	0	0.36101083032491	0	0	0	0	8.30324909747292	0	2.16606498194946	0	0	0	0	0	0.36101083032491	2.52707581227437	0	0	0	8.66425992779783	3.24909747292419	0	1.80505415162455	0	1.80505415162455	0	0.72202166064982	0	0	0	0	6.85920577617329	0	0	0	0.72202166064982	4.69314079422383	0.36101083032491	43.3212996389892	0	0	1.80505415162455	0.72202166064982	0	0	0	1.08303249097473	1.44404332129964	9.02527075812274	0
971	1002	"Hams Lake"	43.23667	-80.41333	865	"AWI"	865	166	556	367	0	0	0	1.57232704402516	0	0.628930817610063	0	0	6.91823899371069	0	1.88679245283019	0	0	0	0	0	0.628930817610063	1.25786163522013	0	0	0	9.43396226415094	3.77358490566038	0	0.628930817610063	0	1.88679245283019	0	5.0314465408805	0	0	0	0	8.17610062893082	0	0	0	0.628930817610063	7.54716981132075	0.314465408805031	34.5911949685535	0	0	1.57232704402516	0.314465408805031	0	0	0	0.628930817610063	2.20125786163522	10.377358490566	0
971	1002	"Hams Lake"	43.23667	-80.41333	875	"AWI"	875	283	621	455	0	3.4	0	0.1	0.1	0.8	0	0	4.8	0	1.6	0	0.2	0	0	0	0.2	0.5	0	0	0	7.5	4.4	0	0.2	0.5	1.6	0	0.6	0	0.1	0	0	6.7	0.2	13.1	0	2.2	0.5	1	37.8	0	0	0.4	0.4	0	0	0.2	0.2	2.6	8.1	0
971	1002	"Hams Lake"	43.23667	-80.41333	883	"AWI"	883	358	728	536	0	0	0	0.116550116550117	0	0.233100233100233	0	0	4.66200466200466	0	1.86480186480186	0	0.466200466200466	0	0	0	0	0.932400932400932	0.116550116550117	0	0	7.80885780885781	4.1958041958042	0	0.116550116550117	0	0.699300699300699	0	0.815850815850816	0	0	0	0	5.94405594405594	0.233100233100233	15.2680652680653	0	0.932400932400932	1.3986013986014	0.233100233100233	42.0745920745921	0	0	0.116550116550117	0.233100233100233	0	0	0.116550116550117	0.466200466200466	2.33100233100233	8.62470862470862	0
971	1002	"Hams Lake"	43.23667	-80.41333	890	"AWI"	890	393	882	601	0	4.13943355119826	0	0	0	0.108932461873638	0	0	5.66448801742919	0	3.05010893246187	0	0.217864923747277	0	0	0	0.108932461873638	1.74291938997821	0	0	0	8.82352941176471	3.81263616557734	0	0	0	1.08932461873638	0	0.108932461873638	0.108932461873638	0	0	0	5.22875816993464	0.108932461873638	16.2309368191721	0	1.4161220043573	0.544662309368192	0.108932461873638	35.5119825708061	0	0	0	0.544662309368192	0	0	0	0.544662309368192	2.61437908496732	8.16993464052288	0
971	1002	"Hams Lake"	43.23667	-80.41333	898	"AWI"	898	490	990	731	0	4.59081836327345	0	0.0998003992015968	0	0.29940119760479	0	0.0998003992015968	6.48702594810379	0	2.89421157684631	0	0	0	0	0	0.0998003992015968	1.59680638722555	0	0	0	9.3812375249501	4.79041916167665	0	0.698602794411178	0.798403193612774	0.798403193612774	0.0998003992015968	0.698602794411178	0	0.199600798403194	0	0.29940119760479	5.58882235528942	0.0998003992015968	10.8782435129741	0.0998003992015968	1.59680638722555	0.698602794411178	1.19760479041916	30.7385229540918	0.29940119760479	0	0	0.0998003992015968	0	0	0.0998003992015968	0.29940119760479	2.69461077844311	11.6766467065868	0
971	1002	"Hams Lake"	43.23667	-80.41333	906	"AWI"	906	541	1159	859	0	0	0	0	0	0.700116686114352	0	0	5.8343057176196	0	4.55075845974329	0	0.233372228704784	0	0	0	0.116686114352392	0.700116686114352	0	0	0	10.7351225204201	7.81796966161027	0	0	0	0.700116686114352	0	0.700116686114352	0	0	0	0	4.31738623103851	0	10.8518086347725	0	2.21703617269545	0.933488914819136	0.466744457409568	29.6382730455076	0	0	0	0.466744457409568	0.116686114352392	0	0	1.16686114352392	3.15052508751459	14.585764294049	0
971	1002	"Hams Lake"	43.23667	-80.41333	914	"AWI"	914	634	1331	980	0	9.20826161790017	0	0.172117039586919	0	0.258175559380379	0	0	7.2289156626506	0	3.44234079173838	0	0.0860585197934596	0	0	0	0	1.03270223752151	0	0	0	16.1790017211704	6.62650602409639	0	0.172117039586919	0.946643717728055	0.602409638554217	0	0.946643717728055	0	0	0	0.0860585197934596	5.93803786574871	0.0860585197934596	5.59380378657487	0	1.54905335628227	0.946643717728055	0.430292598967298	23.407917383821	0.344234079173838	0	0	0.0860585197934596	0	0	0	0.946643717728055	2.40963855421687	11.2736660929432	0
