"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Diospyros"	"Ephedraceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Liquidambar"	"Morus"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhus"	"Rosaceae"	"Salix"	"Sambucus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
364	375	"Chatsworth Bog"	40.67552	-88.325062	20	"AWI"	20	22	1326	608	0	0	0	62	4	1	25	1	0	3	0	0	0	0	2	65	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	1	0	6	21	0	0	0	85	0	0	2	0	0	1	0	0	0	0
364	375	"Chatsworth Bog"	40.67552	-88.325062	40	"AWI"	40	110	2719	1274	0	2	1	34	0	3	41	1	0	15	3	1	0	1	0	148	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	4	7	10	0	0	0	86	0	0	1	0	0	0	0	4	1	0
364	375	"Chatsworth Bog"	40.67552	-88.325062	60	"AWI"	60	1365	3085	2147	0	1	0	12	2	2	50	0	0	2	1	0	0	0	2	93	0	0	3	0	1	0	1	1	0	0	2	0	2	0	0	0	0	4	21	0	0	0	79	0	0	3	0	0	0	0	1	0	0
364	375	"Chatsworth Bog"	40.67552	-88.325062	80	"AWI"	80	2456	3503	3062	0	3	2	22	0	0	46	3	0	8	3	0	0	0	0	161	0	0	0	0	5	1	1	1	0	0	0	2	1	0	1	0	6	3	53	0	0	0	90	0	0	0	1	0	0	0	8	0	0
364	375	"Chatsworth Bog"	40.67552	-88.325062	100	"AWI"	100	3153	3766	3473	0	0	0	15	0	1	32	1	0	6	2	0	0	0	4	93	0	0	0	1	6	0	1	1	0	9	0	2	0	0	0	0	7	5	31	0	0	0	61	0	0	0	0	0	0	0	3	0	0
364	375	"Chatsworth Bog"	40.67552	-88.325062	120	"AWI"	120	3457	4129	3770	0	0	0	16	3	1	60	0	0	7	0	0	0	1	1	69	0	0	23	3	6	0	3	1	0	0	0	0	0	0	0	0	0	6	69	0	0	1	88	0	0	0	0	0	0	0	8	0	0
364	375	"Chatsworth Bog"	40.67552	-88.325062	140	"AWI"	140	3639	4429	4000	0	4	0	16	2	1	70	1	0	7	2	0	0	1	0	69	0	0	10	3	6	0	4	0	0	0	0	0	0	0	0	0	0	7	82	0	0	0	98	0	0	0	0	0	0	0	14	0	0
364	375	"Chatsworth Bog"	40.67552	-88.325062	160	"AWI"	160	3762	4590	4213	0	1	1	22	0	3	70	2	0	10	0	0	0	0	3	55	0	0	4	2	4	0	2	0	0	0	0	0	1	0	0	0	0	5	93	0	0	0	74	0	0	0	0	0	0	0	3	0	0
364	375	"Chatsworth Bog"	40.67552	-88.325062	180	"AWI"	180	3987	4737	4391	0	0	1	9	0	2	68	0	0	6	0	0	0	2	3	29	0	0	2	0	8	0	1	0	0	0	2	1	1	0	0	0	0	8	83	0	0	0	97	0	0	1	0	0	0	0	4	0	0
364	375	"Chatsworth Bog"	40.67552	-88.325062	200	"AWI"	200	4226	4828	4574	0	1	1	8	0	4	62	3	0	7	4	2	0	0	0	47	0	0	3	1	2	0	1	0	0	0	2	0	1	0	0	0	0	7	59	0	0	2	110	0	0	2	0	0	0	0	9	0	0
