"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Tsuga"
796	818	"Fallback Lake"	43.96667	-110.43333	344	"AWI"	344	9195	10820	10134	10.9677419354839	0	0	1.29032258064516	0	8.70967741935484	0	0.32258064516129	0	0	0	0	2.58064516129032	0	0	0	0	0.645161290322581	0.32258064516129	0	0	0	0	9.67741935483871	62.258064516129	0	0.645161290322581	0	0	0.967741935483871	0	0	0	0	0	0.32258064516129	0	0.967741935483871	0	0.32258064516129	0
796	818	"Fallback Lake"	43.96667	-110.43333	352	"AWI"	352	9555	10983	10397	21.8934911242604	0	0	2.16962524654832	0	8.28402366863905	0	0	0	0	0	0	1.9723865877712	0	0	0	0	0.19723865877712	0	0	0	0	0	13.2149901380671	49.5069033530572	0	0.986193293885602	0	0	0.19723865877712	0	0	0	0	0.394477317554241	0.591715976331361	0	0.591715976331361	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	360	"AWI"	360	10318	11113	10750	14.9560117302053	0	0	0.586510263929619	0	13.4897360703812	0	0	0	0	0	0	1.17302052785924	0	0.293255131964809	0	0	0	0	0	0	0	0	14.0762463343109	51.9061583577713	0	1.46627565982405	0	0	0	0.879765395894428	0	0	0	0	0.586510263929619	0	0.293255131964809	0	0.293255131964809	0
796	818	"Fallback Lake"	43.96667	-110.43333	364	"AWI"	364	10557	11269	10942	8.82352941176471	0	0	1.47058823529412	0.245098039215686	19.3627450980392	0	0	0.245098039215686	0	0	0	3.43137254901961	0	0	0	0.245098039215686	0.980392156862745	0	0	0	0	0	10.5392156862745	48.7745098039216	0	2.69607843137255	0	0	0.490196078431373	0	0	0	0.490196078431373	0.245098039215686	0.735294117647059	0.245098039215686	0.980392156862745	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	368	"AWI"	368	10658	11637	11121	6.39097744360902	0.37593984962406	0.37593984962406	2.63157894736842	0	21.8045112781955	0	0	0	0	0	0	6.01503759398496	0	0	0	0	0.75187969924812	0	0	0	0	0	10.1503759398496	43.984962406015	0	3.00751879699248	0	0	0.37593984962406	0	0	0	0	0.75187969924812	1.12781954887218	0	1.50375939849624	0	0.75187969924812	0
796	818	"Fallback Lake"	43.96667	-110.43333	372	"AWI"	372	10724	12025	11285	2.93255131964809	0	0	2.63929618768328	0	25.8064516129032	0	0.293255131964809	0	0	0.293255131964809	0	6.158357771261	0.293255131964809	0	0	0	0	0	0	0	0	0	18.7683284457478	35.1906158357771	0	4.10557184750733	0	0	0	0	0	0	0.293255131964809	1.46627565982405	0.293255131964809	0.293255131964809	0.879765395894428	0.293255131964809	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	376	"AWI"	376	10772	12431	11452	1.69014084507042	0	0	1.97183098591549	1.12676056338028	23.3802816901408	0	0.563380281690141	0	0	0	0	7.32394366197183	0	0	0	0	0	0.845070422535211	0	0	0	0	17.7464788732394	30.4225352112676	0	9.29577464788732	0	0	0	0.563380281690141	0	0.845070422535211	0.28169014084507	1.12676056338028	1.69014084507042	0	1.12676056338028	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	384	"AWI"	384	10983	13175	11826	1.51057401812689	0	0	2.7190332326284	0	27.4924471299094	0	1.20845921450151	0	0.604229607250755	0.604229607250755	0	4.83383685800604	0.302114803625378	0	0	0	0.302114803625378	1.20845921450151	0	0	0	0	18.1268882175227	32.3262839879154	0	6.34441087613293	0	0	0	0.906344410876133	0	0	0	0.302114803625378	0.302114803625378	0	0.906344410876133	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	388	"AWI"	388	11351	13258	12091	0.374531835205993	0	0	4.11985018726592	0.749063670411985	35.2059925093633	0	0.374531835205993	0	0	1.12359550561798	0	7.49063670411985	0	0	0	0	0.374531835205993	2.62172284644195	0	0	0	0	6.36704119850187	24.7191011235955	0	11.2359550561798	0	0	0	0	0	0	0.374531835205993	3.37078651685393	0	0	1.49812734082397	0	0	0
796	818	"Fallback Lake"	43.96667	-110.43333	392	"AWI"	392	11709	13361	12347	2.47678018575851	0	0.309597523219814	2.78637770897833	0	31.2693498452012	0	0.928792569659443	0	0.309597523219814	0.309597523219814	0	4.02476780185759	0	0	0	0	0.309597523219814	1.85758513931889	0	0	0	0	9.28792569659443	30.9597523219814	0	9.59752321981424	0	0	0	0.309597523219814	0	0	0	0.619195046439629	2.47678018575851	0.309597523219814	1.85758513931889	0	0	0
