"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
353	361	"Chase Pond"	45.65139	-60.675	469	"AWI"	469	9907	10532	10311	4	0	7	0	0	0	0	219	0	0	0	0	0	5	0	3	0	0	0	0	0	0	4	0	7	18	0	0	12	0	0	0	0	6	0	1	1	0	3	0	0	2	0
353	361	"Chase Pond"	45.65139	-60.675	473	"AWI"	473	10030	10695	10423	1	0	0	0	0	1	2	195	0	1	0	0	0	1	2	6	0	0	0	0	0	0	9	0	3	41	0	0	29	12	0	1	0	8	0	0	1	0	5	0	0	2	0
353	361	"Chase Pond"	45.65139	-60.675	479	"AWI"	479	10251	10908	10598	3	0	0	0	0	0	0	293	0	0	0	0	0	0	5	6	0	0	0	0	6	0	9	0	0	39	0	1	16	7	0	0	13	8	0	0	2	0	0	0	1	2	0
353	361	"Chase Pond"	45.65139	-60.675	485	"AWI"	485	10488	11055	10775	0	0	0	1	0	0	0	215	0	0	0	1	0	0	6	9	0	0	0	0	5	0	12	2	2	54	0	2	42	7	0	0	9	16	0	0	2	0	0	0	0	5	0
353	361	"Chase Pond"	45.65139	-60.675	491	"AWI"	491	10699	11172	10958	0	0	4	0	0	0	11	67	0	0	1	0	0	1	9	8	1	0	0	1	3	0	6	0	3	79	0	1	66	0	0	2	0	20	0	0	10	0	0	0	0	1	0
353	361	"Chase Pond"	45.65139	-60.675	496	"AWI"	496	10830	11390	11122	1	0	0	0	1	1	29	138	0	0	0	0	0	0	15	6	2	2	0	0	2	0	13	0	0	257	0	2	79	0	1	8	13	18	0	0	33	0	0	0	1	2	0
353	361	"Chase Pond"	45.65139	-60.675	499	"AWI"	499	10884	11616	11218	0	0	0	0	4	0	21	128	0	0	0	0	0	0	6	7	0	5	0	0	0	0	11	0	0	261	0	1	49	22	0	12	0	14	0	0	26	0	0	0	0	0	0
353	361	"Chase Pond"	45.65139	-60.675	502	"AWI"	502	10987	11758	11326	0	0	6	0	1	1	0	102	0	0	0	0	0	0	1	4	0	7	1	0	3	0	7	0	0	203	0	2	26	24	0	22	3	12	0	0	20	0	0	0	0	0	0
353	361	"Chase Pond"	45.65139	-60.675	505	"AWI"	505	11078	11939	11428	1	0	0	0	0	0	0	143	0	0	0	1	0	0	5	13	0	11	1	0	1	0	8	0	0	244	0	0	20	30	0	14	5	1	0	0	20	0	0	0	0	0	0
353	361	"Chase Pond"	45.65139	-60.675	509	"AWI"	509	11192	12133	11563	0	0	0	0	0	1	0	134	0	0	0	0	0	0	0	12	0	11	1	0	1	1	5	0	1	107	0	0	9	28	0	11	0	1	0	0	12	0	1	0	0	1	0
