"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Arecaceae"	"Asteraceae"	"Betula"	"Bursera"	"Carya"	"Casuarina"	"Celtis"	"Cephalanthus"	"Cupressaceae"	"Cyperaceae"	"Cyrilla"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Ilex"	"Lamiaceae"	"Liquidambar"	"Melastomataceae"	"Myrica"	"Nyssa"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ulmus"
1619	1671	"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)"	26.48111	-80.41556	0.5	"AWI"	0.5	-103	-23	-54.5	0	1	115	0	43	0	1	1	2	0	0	0	30	0	0	0	0	0	1	0	0	0	27	0	63	3	0	4	0
1619	1671	"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)"	26.48111	-80.41556	1	"AWI"	1	-92	-18	-46	0	1	100	0	40	1	0	0	2	0	0	1	12	0	0	0	0	0	0	0	0	0	38	0	85	2	0	7	0
1619	1671	"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)"	26.48111	-80.41556	3	"AWI"	3	-40	-1	-16	0	0	96	0	11	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	29	0	72	3	0	4	0
1619	1671	"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)"	26.48111	-80.41556	5	"AWI"	5	-15	19	3	0	1	52	0	0	0	0	2	0	0	1	2	1	0	1	0	3	0	0	0	1	0	27	0	82	2	0	4	0
1619	1671	"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)"	26.48111	-80.41556	7	"AWI"	7	-2	38	17	0	0	73	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0	2	0	0	0	23	1	88	0	0	5	0
1619	1671	"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)"	26.48111	-80.41556	9	"AWI"	9	11	53	30	0	1	51	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	15	1	86	0	1	5	1
1619	1671	"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)"	26.48111	-80.41556	11	"AWI"	11	28	67	44	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	29	1	98	0	0	7	0
1619	1671	"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)"	26.48111	-80.41556	15	"AWI"	15	68	166	103	0	0	81	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	26	0	121	5	0	7	0
1619	1671	"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)"	26.48111	-80.41556	19	"AWI"	19	131	298	203	0	1	34	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	12	0	65	2	0	4	0
1619	1671	"Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7)"	26.48111	-80.41556	21	"AWI"	21	169	346	255	0	0	18	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	13	0	34	0	0	0	1
