"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Isoëtes"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Rosaceae"	"Salix"
27	27	"Aliuk Pond"	54.58333	-57.36667	10	"AWI"	10	1482	3206	2316	13	73	0	0	40	0	3	3	0	0	2	0	88	2	1	0	0	1
27	27	"Aliuk Pond"	54.58333	-57.36667	20	"AWI"	20	2616	4286	3427	22	203	0	0	42	0	2	6	0	0	1	1	121	3	3	0	0	0
27	27	"Aliuk Pond"	54.58333	-57.36667	30	"AWI"	30	3763	5329	4546	21	98	0	0	66	0	1	1	0	1	0	0	124	5	1	0	0	1
27	27	"Aliuk Pond"	54.58333	-57.36667	40	"AWI"	40	4935	6364	5659	15	86	1	0	60	0	0	1	0	0	0	0	83	2	2	0	0	2
27	27	"Aliuk Pond"	54.58333	-57.36667	50	"AWI"	50	6143	7380	6776	10	157	0	0	64	0	2	3	0	0	0	0	19	2	2	0	0	1
27	27	"Aliuk Pond"	54.58333	-57.36667	60	"AWI"	60	7430	8353	7876	2	96	1	0	51	0	16	11	0	0	0	0	19	7	6	0	4	21
27	27	"Aliuk Pond"	54.58333	-57.36667	70	"AWI"	70	8397	9653	8980	1	42	2	2	84	0	8	7	1	1	0	0	16	9	13	1	24	43
27	27	"Aliuk Pond"	54.58333	-57.36667	80	"AWI"	80	9352	10935	10086	0	19	4	0	46	2	10	3	0	0	0	0	10	12	7	0	0	12
27	27	"Aliuk Pond"	54.58333	-57.36667	90	"AWI"	90	10339	12145	11199	1	16	2	2	54	0	17	3	0	0	0	0	11	14	13	1	0	2
