"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Myrica"	"Onagraceae"	"Picea"	"Pinaceae"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Viburnum"	"Violaceae"
296	302	"Boone Lake"	55.575	-119.43333	0	"AWI"	0	-107	59	-26	1	71	0	0	3	0	34	0	0	0	0	0	5	0	0	0	14	0	0	102	0	240	22	0	4	0	0	0	0	0	9	1	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	10	"AWI"	10	-6	994	311	5	95	0	0	2	0	45	0	0	0	0	0	3	0	0	0	6	0	0	93	0	243	2	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	25	"AWI"	25	199	2030	842	0	100	0	0	0	0	37	0	0	0	0	0	4	0	0	0	13	0	0	107	1	266	1	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	40	"AWI"	40	492	2669	1408	4	98	1	0	5	0	34	0	0	0	0	0	5	0	0	0	11	0	0	150	2	217	3	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	55	"AWI"	55	841	3190	2026	3	95	2	0	3	0	38	0	0	0	0	0	6	0	0	0	6	0	0	129	1	217	4	0	1	0	0	0	0	0	0	11	0	0	0	2	0	0
296	302	"Boone Lake"	55.575	-119.43333	70	"AWI"	70	1374	3619	2614	8	78	0	0	3	0	40	0	0	0	0	0	8	1	0	0	14	0	0	143	0	207	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0
296	302	"Boone Lake"	55.575	-119.43333	85	"AWI"	85	1871	3968	3105	8	82	0	0	0	0	38	0	0	0	0	0	5	0	0	1	6	0	0	160	7	209	6	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0
296	302	"Boone Lake"	55.575	-119.43333	100	"AWI"	100	2200	4395	3465	0	95	2	0	4	0	51	0	0	1	0	0	5	0	0	0	17	0	1	171	13	166	2	0	2	0	0	0	0	0	0	4	0	0	1	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	115	"AWI"	115	2524	4728	3771	4	66	1	0	5	0	40	0	0	0	0	0	17	0	0	0	7	0	0	126	7	247	6	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	130	"AWI"	130	2848	5047	4078	2	51	1	0	3	0	20	0	0	0	0	0	5	0	0	0	8	0	0	195	15	221	2	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	145	"AWI"	145	3172	5357	4384	5	52	0	0	2	0	21	0	0	0	0	0	3	1	0	0	9	0	0	173	23	229	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	160	"AWI"	160	3541	5611	4705	3	70	0	0	4	0	43	0	0	0	0	0	1	0	0	0	8	0	0	172	12	190	1	0	0	0	0	0	0	0	1	11	0	0	0	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	175	"AWI"	175	3877	5846	5025	3	86	1	0	2	0	42	0	0	0	0	0	2	0	0	0	7	0	0	130	9	232	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	190	"AWI"	190	4268	6073	5347	5	65	2	0	3	0	35	0	0	0	0	0	9	0	0	0	15	0	0	161	7	223	4	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	205	"AWI"	205	4694	6276	5664	4	69	0	0	0	0	32	0	0	0	0	0	13	0	0	0	15	0	0	174	7	211	7	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	220	"AWI"	220	5176	6459	5975	5	40	2	0	9	0	49	0	0	0	0	0	5	1	0	0	1	0	0	163	3	217	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	235	"AWI"	235	5681	6637	6265	5	44	0	0	0	0	29	0	0	1	0	0	11	0	0	0	7	0	0	193	0	208	6	0	0	0	0	0	0	0	1	6	0	0	2	2	0	0
296	302	"Boone Lake"	55.575	-119.43333	250	"AWI"	250	6111	6849	6524	8	37	0	0	10	0	40	0	0	0	0	0	13	0	0	0	5	0	0	175	4	241	5	0	0	0	0	0	0	0	0	7	0	0	1	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	265	"AWI"	265	6304	7167	6735	3	33	1	0	9	0	54	0	0	1	0	0	9	1	0	0	14	0	0	97	2	268	9	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	280	"AWI"	280	6482	7461	6939	3	22	0	0	5	0	29	0	0	0	0	0	4	0	0	0	6	0	0	144	2	289	6	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	295	"AWI"	295	6651	7697	7142	1	34	1	0	4	0	26	0	0	4	0	0	11	0	0	0	4	0	0	121	6	289	3	0	0	0	0	0	0	0	2	4	1	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	300	"AWI"	300	6703	7770	7219	2	30	0	0	3	0	36	0	0	0	0	0	1	1	0	0	6	0	0	173	11	253	1	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0
296	302	"Boone Lake"	55.575	-119.43333	305	"AWI"	305	6747	7851	7289	1	23	0	0	4	0	29	0	0	1	0	0	4	0	0	0	10	0	0	160	5	283	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	310	"AWI"	310	6825	7912	7360	2	39	1	0	3	0	30	0	0	0	0	0	4	0	0	0	8	0	0	141	3	267	3	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	315	"AWI"	315	6894	7971	7433	6	32	1	0	3	0	44	0	0	1	0	0	5	0	0	0	8	0	0	112	13	302	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	320	"AWI"	320	6943	8043	7502	8	42	1	0	4	0	37	0	0	1	0	0	1	0	0	0	12	0	0	137	12	292	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	325	"AWI"	325	6995	8128	7571	4	29	3	0	6	0	43	0	0	0	0	0	10	0	0	0	6	0	0	106	7	297	4	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	330	"AWI"	330	7110	8180	7638	1	26	3	0	0	0	39	0	0	0	0	0	3	0	0	0	2	0	0	90	8	340	3	0	0	0	0	0	0	1	0	6	1	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	335	"AWI"	335	7183	8241	7710	3	22	0	0	4	0	46	0	0	0	0	0	4	0	0	0	7	0	0	119	11	323	2	0	0	0	0	0	0	0	0	7	0	0	0	3	0	0
296	302	"Boone Lake"	55.575	-119.43333	340	"AWI"	340	7232	8325	7783	6	31	2	0	4	0	33	0	0	0	0	0	11	1	0	0	3	0	0	77	1	361	5	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0
296	302	"Boone Lake"	55.575	-119.43333	345	"AWI"	345	7331	8386	7851	1	20	1	0	4	0	36	0	0	0	0	0	3	0	0	0	7	0	0	113	0	319	3	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0
296	302	"Boone Lake"	55.575	-119.43333	350	"AWI"	350	7437	8448	7919	1	21	4	0	7	0	47	0	0	1	0	0	7	1	0	0	8	0	0	91	17	313	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	355	"AWI"	355	7511	8511	7989	7	14	3	0	5	0	30	0	0	0	0	0	10	0	0	0	8	0	0	119	5	353	6	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	360	"AWI"	360	7570	8594	8062	3	7	2	0	0	0	18	0	0	0	0	0	2	0	0	0	1	0	2	155	5	375	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	365	"AWI"	365	7749	8657	8129	3	5	0	0	0	0	22	0	0	0	0	0	2	1	0	0	2	0	0	82	29	361	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
296	302	"Boone Lake"	55.575	-119.43333	370	"AWI"	370	7885	8725	8200	3	10	0	0	2	0	30	0	0	0	0	0	5	0	0	0	15	0	0	77	2	396	4	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	375	"AWI"	375	7972	8808	8278	1	12	0	0	3	0	11	0	0	1	0	0	3	0	0	0	3	0	0	128	10	359	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	380	"AWI"	380	8057	8915	8372	1	23	0	0	4	0	35	0	0	0	0	0	6	0	0	0	6	0	0	118	1	318	4	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	385	"AWI"	385	8130	9058	8491	2	12	2	0	3	0	53	0	0	0	0	0	11	0	0	0	4	0	0	117	7	333	5	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0
296	302	"Boone Lake"	55.575	-119.43333	390	"AWI"	390	8174	9321	8601	3	25	0	0	3	0	63	0	0	0	0	0	2	2	0	0	11	1	0	163	7	250	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	395	"AWI"	395	8209	9623	8711	2	15	0	0	0	0	40	0	0	0	0	0	4	1	0	0	6	0	0	135	30	302	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	400	"AWI"	400	8313	9783	8840	3	11	0	0	1	0	61	0	0	0	0	0	10	0	0	0	5	0	0	157	6	291	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	405	"AWI"	405	8382	9932	8972	2	11	3	0	3	0	102	0	0	3	0	0	17	2	0	0	11	0	0	115	9	236	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	410	"AWI"	410	8441	10102	9095	5	11	1	0	1	0	66	0	0	0	0	0	7	0	0	0	12	0	0	162	40	213	2	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	415	"AWI"	415	8506	10320	9217	8	5	1	0	3	0	48	0	0	0	0	0	4	0	0	0	6	0	0	178	8	319	4	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	420	"AWI"	420	8619	10436	9338	4	5	2	0	1	0	96	0	0	0	0	0	5	0	0	0	13	0	0	209	8	222	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	425	"AWI"	425	8702	10543	9473	1	6	2	0	3	0	158	0	0	0	0	0	3	3	0	0	23	0	1	162	43	121	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0
296	302	"Boone Lake"	55.575	-119.43333	430	"AWI"	430	8761	10715	9602	2	17	1	0	11	0	193	0	0	1	0	0	33	2	0	0	22	0	0	84	7	199	9	0	5	0	0	0	0	1	0	19	0	0	0	4	0	0
296	302	"Boone Lake"	55.575	-119.43333	435	"AWI"	435	8883	10865	9723	5	17	1	0	3	0	197	0	0	0	0	0	14	0	0	0	27	0	0	104	7	139	3	0	2	0	0	0	0	0	0	10	0	0	0	2	0	0
296	302	"Boone Lake"	55.575	-119.43333	440	"AWI"	440	9006	10998	9844	7	11	0	0	4	0	144	0	0	0	0	0	14	0	0	0	29	0	0	127	10	186	4	0	0	0	0	0	0	0	0	10	0	0	0	4	0	0
296	302	"Boone Lake"	55.575	-119.43333	445	"AWI"	445	9085	11155	9969	21	15	0	0	4	0	106	0	0	0	0	0	4	2	0	0	14	0	0	161	4	191	3	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	450	"AWI"	450	9155	11343	10091	6	3	1	0	0	0	98	0	0	0	0	0	7	0	0	0	7	0	0	216	5	173	3	0	3	0	0	0	0	0	0	4	0	0	0	2	0	0
296	302	"Boone Lake"	55.575	-119.43333	454	"AWI"	454	9307	11437	10184	5	5	0	0	1	0	80	0	0	0	0	0	4	0	0	0	12	0	0	293	9	138	3	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0
296	302	"Boone Lake"	55.575	-119.43333	460	"AWI"	460	9487	11591	10321	9	12	1	0	6	0	101	0	0	0	0	0	72	0	0	0	17	0	0	81	5	171	22	0	19	0	0	0	0	0	0	34	0	0	0	0	0	2
