"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Juniperus"	"Montiaceae"	"Picea"	"Plantaginaceae"	"Poaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"
207	208	"Angal Lake"	67.13333	-153.9	0	"AWI"	0	-133	36	-51	134	0	23	0	60	0	0	0	0	12	1	0	0	0	45	0	6	1	0	0	1	4	0
207	208	"Angal Lake"	67.13333	-153.9	6	"AWI"	6	-27	1243	323	123	0	30	0	81	0	0	0	1	25	1	0	2	0	38	0	12	0	0	0	0	0	1
207	208	"Angal Lake"	67.13333	-153.9	12	"AWI"	12	110	2229	721	159	1	16	0	71	0	0	1	0	16	0	0	1	0	37	0	9	0	0	3	1	5	0
207	208	"Angal Lake"	67.13333	-153.9	18	"AWI"	18	258	2812	1172	147	1	19	0	64	0	0	0	0	19	4	0	2	0	24	0	18	0	0	3	1	1	0
207	208	"Angal Lake"	67.13333	-153.9	27	"AWI"	27	628	3574	1846	140	0	19	0	68	0	0	0	0	17	1	0	2	0	54	0	16	0	0	1	0	5	0
207	208	"Angal Lake"	67.13333	-153.9	33	"AWI"	33	934	4120	2302	162	0	20	0	71	0	0	0	0	20	0	0	1	1	40	0	2	0	0	0	2	5	0
207	208	"Angal Lake"	67.13333	-153.9	39	"AWI"	39	1184	4633	2759	177	1	10	0	73	1	0	0	0	19	1	0	1	0	26	0	9	0	0	3	0	3	0
207	208	"Angal Lake"	67.13333	-153.9	45	"AWI"	45	1577	5054	3220	129	0	17	0	79	0	0	0	0	19	2	0	3	0	37	0	13	0	0	1	2	6	0
207	208	"Angal Lake"	67.13333	-153.9	51	"AWI"	51	1907	5550	3670	172	0	10	0	76	0	0	0	0	14	1	0	2	0	43	0	5	1	0	0	0	2	0
207	208	"Angal Lake"	67.13333	-153.9	57	"AWI"	57	2331	5867	4166	155	0	20	0	80	0	0	0	0	12	0	0	1	0	41	0	11	0	0	2	1	4	0
207	208	"Angal Lake"	67.13333	-153.9	63	"AWI"	63	2807	6257	4628	183	0	21	0	89	0	0	0	0	10	1	0	0	0	57	0	12	0	0	1	0	4	0
207	208	"Angal Lake"	67.13333	-153.9	69	"AWI"	69	3197	6615	5114	164	0	19	0	71	0	0	0	0	13	0	0	0	0	35	0	11	1	0	1	0	3	0
207	208	"Angal Lake"	67.13333	-153.9	75	"AWI"	75	3818	6897	5570	145	0	8	0	74	0	0	0	0	17	0	0	1	0	47	0	8	1	0	0	1	3	0
207	208	"Angal Lake"	67.13333	-153.9	81	"AWI"	81	4288	7250	6057	159	0	16	0	79	0	0	0	0	22	1	0	0	0	40	0	8	0	0	0	1	6	0
207	208	"Angal Lake"	67.13333	-153.9	87	"AWI"	87	4942	7492	6489	145	0	15	0	93	0	0	0	0	11	0	0	1	0	42	0	13	1	0	2	0	1	2
207	208	"Angal Lake"	67.13333	-153.9	93	"AWI"	93	5716	7742	6894	139	0	10	0	96	0	0	0	0	9	0	0	0	0	32	0	15	2	0	2	0	2	0
207	208	"Angal Lake"	67.13333	-153.9	102	"AWI"	102	6723	8152	7509	175	0	6	0	87	0	0	0	0	14	1	0	0	0	27	0	8	1	0	1	0	3	0
207	208	"Angal Lake"	67.13333	-153.9	105	"AWI"	105	6893	8362	7686	324	0	6	0	189	0	0	0	0	31	0	0	1	0	36	0	17	0	0	3	0	1	0
207	208	"Angal Lake"	67.13333	-153.9	108	"AWI"	108	7002	8686	7857	192	0	6	0	75	0	0	0	0	10	0	0	0	0	17	0	7	0	0	0	1	1	0
207	208	"Angal Lake"	67.13333	-153.9	114	"AWI"	114	7421	9069	8214	187	0	4	0	90	0	0	0	0	10	0	0	4	1	11	0	6	0	0	2	0	2	0
207	208	"Angal Lake"	67.13333	-153.9	117	"AWI"	117	7594	9211	8406	290	0	13	0	124	0	0	0	0	19	0	0	3	0	13	0	9	0	0	2	1	1	0
207	208	"Angal Lake"	67.13333	-153.9	120	"AWI"	120	7694	9466	8589	202	0	7	0	66	0	0	0	0	6	0	0	1	0	4	0	13	0	0	1	0	6	0
207	208	"Angal Lake"	67.13333	-153.9	126	"AWI"	126	8391	9824	9017	157	0	11	0	87	0	0	0	0	18	0	0	3	0	6	0	9	0	0	2	0	7	0
207	208	"Angal Lake"	67.13333	-153.9	129	"AWI"	129	8536	10133	9240	97	0	20	0	197	0	0	0	0	45	1	1	1	0	22	1	9	0	0	3	1	1	0
207	208	"Angal Lake"	67.13333	-153.9	132	"AWI"	132	8752	10492	9543	15	0	23	0	178	0	0	0	0	35	0	0	11	0	23	0	5	0	0	1	1	6	1
207	208	"Angal Lake"	67.13333	-153.9	138	"AWI"	138	9014	11961	10198	4	0	25	0	191	0	0	0	0	29	0	0	2	0	22	0	33	0	0	1	0	11	0
207	208	"Angal Lake"	67.13333	-153.9	141	"AWI"	141	9186	12627	10517	2	0	18	0	199	0	1	0	0	40	0	0	0	0	19	0	26	0	0	1	0	5	0
207	208	"Angal Lake"	67.13333	-153.9	147	"AWI"	147	9628	13357	11207	4	0	23	0	229	0	0	0	0	17	0	0	4	0	2	0	17	5	0	1	1	14	0
207	208	"Angal Lake"	67.13333	-153.9	153	"AWI"	153	10084	14170	11897	3	0	29	0	187	0	0	0	0	27	2	0	3	0	0	0	20	11	0	1	0	25	0
207	208	"Angal Lake"	67.13333	-153.9	159	"AWI"	159	10516	14861	12610	2	0	33	0	169	0	0	0	0	21	0	0	1	0	0	0	39	11	0	0	2	31	0
207	208	"Angal Lake"	67.13333	-153.9	165	"AWI"	165	11289	15353	13339	3	0	26	0	166	0	0	0	0	21	2	0	0	0	0	0	41	18	0	5	0	36	0
207	208	"Angal Lake"	67.13333	-153.9	171	"AWI"	171	11854	15954	14080	0	0	19	2	184	0	0	0	0	53	4	0	0	0	0	0	22	1	0	1	0	15	0
207	208	"Angal Lake"	67.13333	-153.9	177	"AWI"	177	12741	16330	14798	0	1	16	0	188	0	0	0	0	49	1	0	0	0	0	0	30	0	0	2	1	15	0
207	208	"Angal Lake"	67.13333	-153.9	183	"AWI"	183	13762	16759	15464	1	0	11	0	217	0	0	1	0	51	2	0	0	0	0	0	12	2	0	1	1	11	0
207	208	"Angal Lake"	67.13333	-153.9	189	"AWI"	189	14915	17151	16127	0	5	24	0	3	0	0	1	0	78	1	0	0	0	0	0	48	1	0	1	4	32	3
207	208	"Angal Lake"	67.13333	-153.9	195	"AWI"	195	15622	17796	16758	1	5	83	0	1	1	0	0	0	35	1	0	0	0	1	0	42	2	0	2	2	29	0
207	208	"Angal Lake"	67.13333	-153.9	198	"AWI"	198	15798	18462	17021	1	3	61	0	5	1	0	0	0	39	0	0	1	0	1	0	60	1	0	0	3	24	0
