"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Grossulariaceae"	"Iridaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Montiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tsuga"
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	50	"AWI"	50	19596	23674	22000	0	0	0	0	16	0	2	2	0	13	84	0	1	0	0	0	0	0	0	0	0	0	0	6	0	39	0	0	0	0	0	0	22	0	0	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	150	"AWI"	150	21226	24218	22813	0	2	0	0	76	0	6	0	0	0	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0	1	0	0	1	4	0	0	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	235	"AWI"	235	22298	24721	23534	0	1	0	2	18	0	4	2	0	0	181	1	0	6	0	1	0	0	0	0	0	0	2	0	0	36	0	0	0	0	0	0	2	1	0	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	345	"AWI"	345	23145	25563	24412	0	3	0	1	53	8	3	1	0	0	56	1	0	2	0	0	1	0	0	1	0	0	1	0	0	53	0	0	0	4	0	0	5	2	3	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	355	"AWI"	355	23202	25646	24486	0	0	0	0	26	0	4	2	0	0	104	0	0	5	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	2	0	1	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	460	"AWI"	460	23988	26265	25276	0	0	0	0	12	0	6	0	0	0	53	0	0	0	0	0	0	1	0	0	0	0	0	6	0	22	0	0	0	0	0	0	1	0	0	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	515	"AWI"	515	24574	26543	25656	0	3	0	2	15	0	5	4	0	0	77	2	1	1	0	0	0	0	0	0	0	1	0	0	0	94	0	0	0	0	0	1	5	1	2	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	670	"AWI"	670	26111	27364	26737	0	0	0	1	4	0	1	2	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	1	0	1	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	790	"AWI"	790	26591	28438	27395	0	2	0	0	46	6	9	6	0	0	17	0	1	0	0	0	0	0	0	0	0	0	1	0	0	24	0	0	0	0	0	0	1	0	11	1
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	950	"AWI"	950	27481	29657	28457	0	1	0	0	12	0	5	1	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	13	0	0	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	1110	"AWI"	1110	28837	31267	30057	2	4	0	0	10	0	2	3	0	0	88	3	0	0	0	0	0	0	0	0	0	0	1	14	0	35	3	0	0	0	0	0	12	1	3	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	1260	"AWI"	1260	30183	32603	31512	0	6	0	0	8	0	10	0	0	0	79	2	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	5	0	3	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	1435	"AWI"	1435	31135	33948	32530	0	2	1	3	40	0	5	13	0	0	26	1	2	0	0	1	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	1	13	2	4	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	1615	"AWI"	1615	32286	35113	33675	0	2	0	0	26	0	10	6	0	0	120	4	0	0	0	0	0	1	0	0	0	0	0	0	0	33	0	0	0	0	0	0	66	2	8	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	1790	"AWI"	1790	34196	36535	35260	0	1	0	0	10	0	1	1	0	0	45	1	0	0	1	0	0	0	0	0	0	1	1	6	0	78	0	0	0	0	0	1	15	0	0	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	1980	"AWI"	1980	36084	38986	37497	0	0	0	0	11	0	0	0	0	0	66	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	2160	"AWI"	2160	38123	40613	39493	2	2	0	0	8	0	2	2	0	0	338	1	0	0	0	0	0	0	0	0	0	1	2	0	0	58	0	0	0	0	0	0	3	0	1	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	2340	"AWI"	2340	39695	42388	41058	0	1	0	0	17	0	4	2	0	0	168	1	1	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	9	0	3	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	2430	"AWI"	2430	40543	43208	41827	0	2	0	1	17	0	4	1	0	0	17	2	0	0	1	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	13	0	0	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	2700	"AWI"	2700	42847	46353	44362	0	1	0	1	22	0	7	0	0	0	68	9	0	0	0	0	0	1	0	0	0	1	1	0	0	60	0	0	0	0	0	0	1	3	1	0
1633	1688	"Ledovyi Obryv Exposure, Northern Section"	64.1	171.18333	2900	"AWI"	2900	43865	49193	46045	0	3	0	0	3	0	27	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	69	0	0	0	0	0	0	2	0	0	0
