"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
353	361	"Chase Pond"	45.65139	-60.675	469	"AWI"	469	9907	10532	10311	1.36986301369863	0	2.3972602739726	0	0	0	0	75	0	0	0	0	0	1.71232876712329	0	1.02739726027397	0	0	0	0	0	0	1.36986301369863	0	2.3972602739726	6.16438356164384	0	0	4.10958904109589	0	0	0	0	2.05479452054794	0	0.342465753424658	0.342465753424658	0	1.02739726027397	0	0	0.684931506849315	0
353	361	"Chase Pond"	45.65139	-60.675	473	"AWI"	473	10030	10695	10423	0.3125	0	0	0	0	0.3125	0.625	60.9375	0	0.3125	0	0	0	0.3125	0.625	1.875	0	0	0	0	0	0	2.8125	0	0.9375	12.8125	0	0	9.0625	3.75	0	0.3125	0	2.5	0	0	0.3125	0	1.5625	0	0	0.625	0
353	361	"Chase Pond"	45.65139	-60.675	479	"AWI"	479	10251	10908	10598	0.72992700729927	0	0	0	0	0	0	71.2895377128954	0	0	0	0	0	0	1.21654501216545	1.45985401459854	0	0	0	0	1.45985401459854	0	2.18978102189781	0	0	9.48905109489051	0	0.24330900243309	3.89294403892944	1.70316301703163	0	0	3.16301703163017	1.94647201946472	0	0	0.48661800486618	0	0	0	0.24330900243309	0.48661800486618	0
353	361	"Chase Pond"	45.65139	-60.675	485	"AWI"	485	10488	11055	10775	0	0	0	0.256410256410256	0	0	0	55.1282051282051	0	0	0	0.256410256410256	0	0	1.53846153846154	2.30769230769231	0	0	0	0	1.28205128205128	0	3.07692307692308	0.512820512820513	0.512820512820513	13.8461538461538	0	0.512820512820513	10.7692307692308	1.79487179487179	0	0	2.30769230769231	4.1025641025641	0	0	0.512820512820513	0	0	0	0	1.28205128205128	0
353	361	"Chase Pond"	45.65139	-60.675	491	"AWI"	491	10699	11172	10958	0	0	1.36054421768707	0	0	0	3.74149659863946	22.7891156462585	0	0	0.340136054421769	0	0	0.340136054421769	3.06122448979592	2.72108843537415	0.340136054421769	0	0	0.340136054421769	1.02040816326531	0	2.04081632653061	0	1.02040816326531	26.8707482993197	0	0.340136054421769	22.4489795918367	0	0	0.680272108843537	0	6.80272108843537	0	0	3.40136054421769	0	0	0	0	0.340136054421769	0
353	361	"Chase Pond"	45.65139	-60.675	496	"AWI"	496	10830	11390	11122	0.16025641025641	0	0	0	0.16025641025641	0.16025641025641	4.6474358974359	22.1153846153846	0	0	0	0	0	0	2.40384615384615	0.961538461538462	0.32051282051282	0.32051282051282	0	0	0.32051282051282	0	2.08333333333333	0	0	41.1858974358974	0	0.32051282051282	12.6602564102564	0	0.16025641025641	1.28205128205128	2.08333333333333	2.88461538461538	0	0	5.28846153846154	0	0	0	0.16025641025641	0.32051282051282	0
353	361	"Chase Pond"	45.65139	-60.675	499	"AWI"	499	10884	11616	11218	0	0	0	0	0.705467372134039	0	3.7037037037037	22.5749559082892	0	0	0	0	0	0	1.05820105820106	1.23456790123457	0	0.881834215167548	0	0	0	0	1.94003527336861	0	0	46.031746031746	0	0.17636684303351	8.64197530864197	3.88007054673721	0	2.11640211640212	0	2.46913580246914	0	0	4.58553791887125	0	0	0	0	0	0
353	361	"Chase Pond"	45.65139	-60.675	502	"AWI"	502	10987	11758	11326	0	0	1.34831460674157	0	0.224719101123596	0.224719101123596	0	22.9213483146067	0	0	0	0	0	0	0.224719101123596	0.898876404494382	0	1.57303370786517	0.224719101123596	0	0.674157303370786	0	1.57303370786517	0	0	45.6179775280899	0	0.449438202247191	5.84269662921348	5.39325842696629	0	4.9438202247191	0.674157303370786	2.69662921348315	0	0	4.49438202247191	0	0	0	0	0	0
353	361	"Chase Pond"	45.65139	-60.675	505	"AWI"	505	11078	11939	11428	0.193050193050193	0	0	0	0	0	0	27.6061776061776	0	0	0	0.193050193050193	0	0	0.965250965250965	2.50965250965251	0	2.12355212355212	0.193050193050193	0	0.193050193050193	0	1.54440154440154	0	0	47.1042471042471	0	0	3.86100386100386	5.79150579150579	0	2.7027027027027	0.965250965250965	0.193050193050193	0	0	3.86100386100386	0	0	0	0	0	0
353	361	"Chase Pond"	45.65139	-60.675	509	"AWI"	509	11192	12133	11563	0	0	0	0	0	0.29673590504451	0	39.7626112759644	0	0	0	0	0	0	0	3.56083086053412	0	3.26409495548961	0.29673590504451	0	0.29673590504451	0.29673590504451	1.48367952522255	0	0.29673590504451	31.7507418397626	0	0	2.67062314540059	8.30860534124629	0	3.26409495548961	0	0.29673590504451	0	0	3.56083086053412	0	0.29673590504451	0	0	0.29673590504451	0
