"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cornus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Larix"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
1408	1445	"Keele Lake"	64.16667	-127.61667	0	"AWI"	0	-132	38	-49	126	0	0	2	0	126	0	1	0	0	58	0	2	0	0	0	84	10.5	0	7	0	2	0	0	0	6	1	2
1408	1445	"Keele Lake"	64.16667	-127.61667	5	"AWI"	5	-51	745	166	117	0	0	2	0	122	0	1	0	0	42	0	2	0	0	0	76	19	0	3	0	5	0	0	0	9	0	2
1408	1445	"Keele Lake"	64.16667	-127.61667	10	"AWI"	10	58	1107	452	115	0	0	8	0	116	2	0	0	0	48	0	1	0	0	0	87	14	0	3	0	7	0	0	0	9	2	3
1408	1445	"Keele Lake"	64.16667	-127.61667	15	"AWI"	15	232	1435	736	118	0	0	4	0	135	1	0	0	0	40	0	4	0	1	0	62.5	18.5	0	5	0	8	1	0	0	6	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	20	"AWI"	20	435	1742	1030	115	0	0	2	0	155	1	1	0	0	28	0	2	0	0	0	80	14	0	2	0	2	0	0	0	7	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	25	"AWI"	25	653	1993	1312	135	0	0	5	0	134	0	0	0	0	23	0	1	0	0	0	81.5	12.5	0	5	0	1	0	0	0	6	0	1
1408	1445	"Keele Lake"	64.16667	-127.61667	30	"AWI"	30	912	2208	1577	127	0	0	4	0	142	0	0	0	0	42	0	2	0	0	0	70	7.5	0	2	0	3	0	0	0	6	0	0
1408	1445	"Keele Lake"	64.16667	-127.61667	35	"AWI"	35	1173	2401	1850	128	0	0	5	0	124	0	0	0	0	33	0	4	0	0	0	89.5	15	0	6	0	1	0	0	0	6	0	1
1408	1445	"Keele Lake"	64.16667	-127.61667	40	"AWI"	40	1466	2584	2115	132	0	0	4	0	125	0	0	0	0	21	0	2	0	0	0	89.5	18.5	0	3	0	2	0	0	0	5	0	2
1408	1445	"Keele Lake"	64.16667	-127.61667	45	"AWI"	45	1802	2728	2371	142	0	0	6	0	146	0	0	0	0	41	0	0	0	0	0	84.5	9	0	3	0	0	0	0	0	7	0	1
