"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cornus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Isoëtes"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"
24	24	"Alexander Lake"	53.33333	-60.58333	0	"AWI"	0	3713	4602	4185	43	11	0	0	0	31	0	0	0	0	2	2	0	145	2	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	10	"AWI"	10	3839	4696	4286	39	9	0	0	0	25	0	0	0	0	0	3	0	154	2	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	20	"AWI"	20	3953	4809	4385	52	32	0	0	0	68	0	0	1	0	0	5	0	256	1	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	30	"AWI"	30	4071	4921	4486	25	13	0	0	0	34	0	0	2	0	1	0	0	164	0	0	0	0	0	1
24	24	"Alexander Lake"	53.33333	-60.58333	40	"AWI"	40	4221	5024	4588	40	21	0	0	0	58	0	0	2	0	1	0	0	199	0	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	50	"AWI"	50	4342	5173	4698	34	18	0	0	0	46	0	0	2	0	1	2	0	214	2	1	0	0	0	1
24	24	"Alexander Lake"	53.33333	-60.58333	60	"AWI"	60	4476	5303	4846	57	17	0	0	0	28	0	0	1	0	1	2	0	167	1	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	70	"AWI"	70	4556	5565	4990	27	15	0	0	0	30	0	1	0	0	2	0	0	131	0	1	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	80	"AWI"	80	4700	5724	5169	39	17	0	0	0	42	0	0	3	0	1	2	0	168	0	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	90	"AWI"	90	4825	5945	5342	59	12	0	0	0	46	0	0	1	0	0	2	0	244	1	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	100	"AWI"	100	4953	6095	5522	25	13	0	0	0	33	0	0	3	0	1	1	0	133	1	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	110	"AWI"	110	5118	6254	5693	45	19	0	1	0	35	0	0	1	0	0	3	0	188	0	1	0	0	1	1
24	24	"Alexander Lake"	53.33333	-60.58333	120	"AWI"	120	5251	6388	5876	55	16	0	0	0	54	0	0	0	0	1	6	0	217	1	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	130	"AWI"	130	5480	6503	6043	46	23	0	0	0	63	0	0	2	0	1	3	0	240	1	0	0	0	0	1
24	24	"Alexander Lake"	53.33333	-60.58333	140	"AWI"	140	5638	6642	6218	54	12	0	0	0	63	0	0	1	0	0	5	0	186	2	0	0	0	0	1
24	24	"Alexander Lake"	53.33333	-60.58333	150	"AWI"	150	5885	6717	6378	40	12	0	0	0	95	0	0	4	0	0	6	0	150	2	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	160	"AWI"	160	6017	6820	6511	53	54	1	0	0	147	0	0	3	0	0	0	0	63	8	0	0	0	0	1
24	24	"Alexander Lake"	53.33333	-60.58333	170	"AWI"	170	6119	6918	6594	51	37	0	0	0	112	0	0	1	0	0	1	0	21	2	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	177	"AWI"	177	6182	6984	6644	66	44	0	0	0	132	0	0	4	0	0	3	0	28	2	0	0	0	0	0
24	24	"Alexander Lake"	53.33333	-60.58333	200	"AWI"	200	6387	7150	6805	46	87	0	0	0	67	0	0	3	0	0	1	0	27	2	0	0	0	0	1
24	24	"Alexander Lake"	53.33333	-60.58333	210	"AWI"	210	6479	7232	6875	35	145	0	1	0	87	0	0	6	0	1	1	1	13	4	0	0	0	0	1
24	24	"Alexander Lake"	53.33333	-60.58333	220	"AWI"	220	6572	7296	6946	21	146	0	0	0	40	0	0	7	0	0	1	0	37	5	2	0	0	0	2
24	24	"Alexander Lake"	53.33333	-60.58333	230	"AWI"	230	6662	7401	7030	1	192	0	0	0	22	0	0	5	0	0	1	0	2	5	2	0	0	0	1
24	24	"Alexander Lake"	53.33333	-60.58333	240	"AWI"	240	6730	7549	7130	1	123	0	1	0	72	0	0	7	1	2	0	2	3	7	4	0	0	0	7
24	24	"Alexander Lake"	53.33333	-60.58333	250	"AWI"	250	6810	7713	7234	3	67	0	17	0	46	1	0	24	0	8	0	1	6	19	37	1	1	0	49
24	24	"Alexander Lake"	53.33333	-60.58333	260	"AWI"	260	6870	7930	7336	0	1	0	0	0	4	0	0	0	0	0	0	0	2	3	0	0	0	0	0
