"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Montiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Rosaceae"	"Salix"	"Thalictrum"
1612	1664	"Lorino Exposure"	65.5	-171.7	0	"AWI"	0	3222	5003	4211	7	0	0	11	0	5	0	0	1	44	138	0	0	1	3	88	0	0	1	7	0
1612	1664	"Lorino Exposure"	65.5	-171.7	380	"AWI"	380	12837	15496	14075	7	0	0	53	10	6	3	0	0	17	2	0	0	0	0	15	0	1	0	17	2
1612	1664	"Lorino Exposure"	65.5	-171.7	480	"AWI"	480	15302	18595	16830	3	0	0	27	4	12	12	2	4	6	4	0	0	0	0	37	0	0	0	4	0
1612	1664	"Lorino Exposure"	65.5	-171.7	680	"AWI"	680	20421	24465	22343	20	0	0	33	0	25	3	0	2	4	9	0	0	0	0	56	0	1	0	0	0
1612	1664	"Lorino Exposure"	65.5	-171.7	80	"AWI"	80	6087	6609	6382	34	0	0	1	0	81	0	0	2	43	18	0	0	0	0	48	0	0	1	54	0
1612	1664	"Lorino Exposure"	65.5	-171.7	100	"AWI"	100	6519	7071	6803	40	0	0	2	0	90	0	0	3	20	121	0	0	0	1	10	0	0	6	9	2
1612	1664	"Lorino Exposure"	65.5	-171.7	120	"AWI"	120	7028	7404	7223	23	0	0	4	0	86	0	0	0	50	99	0	0	0	0	20	0	2	3	7	2
1612	1664	"Lorino Exposure"	65.5	-171.7	140	"AWI"	140	7359	8151	7696	12	0	0	0	2	44	0	0	0	21	119	0	0	0	0	17	0	0	2	8	2
1612	1664	"Lorino Exposure"	65.5	-171.7	160	"AWI"	160	7752	8741	8190	4	0	3	6	3	133	0	0	0	32	85	0	1	0	0	24	0	0	0	11	1
1612	1664	"Lorino Exposure"	65.5	-171.7	180	"AWI"	180	8176	9290	8687	3	1	2	8	3	148	0	3	0	18	84	0	2	0	0	27	1	0	0	25	0
1612	1664	"Lorino Exposure"	65.5	-171.7	200	"AWI"	200	8626	9780	9181	3	3	1	4	3	152	0	0	0	23	61	0	1	0	0	34	0	0	0	13	3
1612	1664	"Lorino Exposure"	65.5	-171.7	220	"AWI"	220	9131	10241	9671	11	2	2	3	3	137	0	0	0	63	54	0	0	0	0	26	0	6	1	28	0
1612	1664	"Lorino Exposure"	65.5	-171.7	240	"AWI"	240	9569	11005	10222	0	7	0	54	16	0	0	0	7	78	11	0	0	0	1	29	1	13	4	7	0
1612	1664	"Lorino Exposure"	65.5	-171.7	280	"AWI"	280	10463	12363	11323	2	0	0	25	6	2	0	2	2	72	2	0	0	0	0	91	0	6	0	6	0
1612	1664	"Lorino Exposure"	65.5	-171.7	300	"AWI"	300	10933	13010	11878	1	0	0	121	1	3	3	0	0	5	1	0	0	0	0	12	1	1	0	4	1
1612	1664	"Lorino Exposure"	65.5	-171.7	310	"AWI"	310	11156	13331	12148	3	0	0	104	14	1	21	0	0	166	21	0	0	0	0	306	0	49	0	60	7
