"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Celtis"	"Cercocarpus"	"Cyperaceae"	"Elaeagnus"	"Ephedraceae"	"Fabaceae"	"Grossulariaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Malvaceae"	"Montiaceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Sarcobataceae"
982	1013	"Hay Lake"	34	-109.425	1	"AWI"	1	-106	180	10	0	0	13	0	7	28	0	2	0	0	0	72	0	0	0	0	5	0	15	0	0	0	0	77	35	0	1	3	0	3	0	0	0	0
982	1013	"Hay Lake"	34	-109.425	9	"AWI"	9	-20	2055	603	0	0	29	0	16	22	0	2	0	0	0	35	0	0	0	0	19	0	15	0	3	0	0	69	38	0	0	0	1	2	0	0	0	1
982	1013	"Hay Lake"	34	-109.425	17	"AWI"	17	288	2839	1444	0	0	9	0	121	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	109	10	0	0	0	0	0	0	0	0	0
982	1013	"Hay Lake"	34	-109.425	21	"AWI"	21	469	3380	1805	0	0	5	0	183	0	0	1	0	0	0	2	0	0	0	0	6	0	0	0	0	0	3	92	14	1	0	0	0	0	1	0	0	6
982	1013	"Hay Lake"	34	-109.425	34	"AWI"	34	1656	4121	3053	0	0	13	0	165	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	107	33	0	1	1	0	1	4	0	0	3
982	1013	"Hay Lake"	34	-109.425	48	"AWI"	48	3975	4654	4342	0	0	7	0	129	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	4	81	6	0	0	0	0	0	0	0	0	8
982	1013	"Hay Lake"	34	-109.425	53	"AWI"	53	4553	5626	4938	0	0	13	0	109	0	0	0	0	0	0	5	0	0	1	0	3	0	0	3	0	0	4	64	18	1	0	0	0	0	0	0	0	3
982	1013	"Hay Lake"	34	-109.425	61	"AWI"	61	4843	8522	6072	0	0	17	0	202	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	9	86	28	0	0	1	0	3	2	0	0	1
982	1013	"Hay Lake"	34	-109.425	71	"AWI"	71	5574	10771	7808	0	0	8	0	150	0	0	1	0	0	0	1	0	0	0	0	7	0	0	0	1	0	6	60	18	0	0	0	0	2	0	0	0	2
982	1013	"Hay Lake"	34	-109.425	82	"AWI"	82	6932	12429	9617	1	0	12	0	94	0	0	2	0	0	0	3	0	0	0	0	5	0	0	0	0	0	12	121	38	0	0	0	0	0	0	0	0	1
982	1013	"Hay Lake"	34	-109.425	94	"AWI"	94	9155	13688	11778	0	0	20	0	125	0	0	1	1	0	0	1	0	0	1	0	8	0	0	0	0	0	3	85	40	0	0	0	0	1	2	0	0	3
982	1013	"Hay Lake"	34	-109.425	107	"AWI"	107	10841	14927	13489	0	0	12	0	125	0	0	1	0	0	0	2	0	0	0	5	5	0	0	0	0	0	9	90	42	1	1	0	0	4	2	0	0	0
982	1013	"Hay Lake"	34	-109.425	115	"AWI"	115	11514	15646	14036	0	0	18	0	121	0	0	4	0	0	0	1	0	0	0	1	6	0	2	0	0	0	10	95	67	0	0	0	0	0	0	0	0	3
982	1013	"Hay Lake"	34	-109.425	123	"AWI"	123	12195	16263	14544	0	0	14	0	102	0	0	4	0	0	0	1	0	0	0	0	7	0	4	0	0	0	1	112	40	0	0	0	0	1	0	0	0	0
982	1013	"Hay Lake"	34	-109.425	134	"AWI"	134	13045	16963	15266	3	0	4	0	63	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	27	132	36	1	0	1	0	6	0	0	0	0
982	1013	"Hay Lake"	34	-109.425	142	"AWI"	142	13806	17438	15781	1	0	6	0	128	0	0	0	0	0	3	4	0	0	0	0	4	0	2	0	0	0	22	112	27	0	0	1	0	1	0	0	0	2
982	1013	"Hay Lake"	34	-109.425	151	"AWI"	151	14697	17918	16372	2	0	11	0	104	0	0	2	0	0	0	2	0	0	0	1	1	0	0	0	0	0	19	104	49	1	2	0	1	0	2	0	0	4
982	1013	"Hay Lake"	34	-109.425	159	"AWI"	159	15793	18453	16857	0	0	27	0	89	0	0	2	0	0	0	6	0	0	0	1	4	0	1	0	0	2	19	95	80	0	0	0	0	6	1	0	2	5
982	1013	"Hay Lake"	34	-109.425	167	"AWI"	167	16550	20420	18110	0	0	8	0	63	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	8	116	103	0	0	0	0	4	0	0	0	2
