"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Liquidambar"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxodium"	"Thalictrum"	"Tilia"	"Toxicodendron"	"Tsuga"	"Ulmus"	"Viburnum"	"Vitaceae"
1643	1698	"Mansell Pond"	45.04167	-68.73333	663	"AWI"	663	-143	23	-50	15.5	0	0	1	2	0	0	427	0	0	0	0	0	1	0	1	0	0	0	1	20	2	0	0	0	66	11	0	7	3	0	0	3	9	0	0	0	0	0	4	95	190	0	0	0	1	0	0	40	0	0	0	0	0	1	13	3	0	0	0	0	5	0	1	0	0	114	9	1	1
1643	1698	"Mansell Pond"	45.04167	-68.73333	667	"AWI"	667	-119	65	-21	13.5	0	0	2	0	1	0	489	0	1	0	0	0	2	0	1	0	0	0	3	15	5	0	0	0	77	19	0	12	5	0	0	0	11	0	0	0	0	0	7	80	196	0	2	0	0	0	0	46	0	0	0	0	0	0	9	9	0	0	0	0	3	0	0	1	0	112	3	0	0
1643	1698	"Mansell Pond"	45.04167	-68.73333	671	"AWI"	671	-104	131	4	15	0	0	0	0	1	0	433	0	1	0	0	0	3	0	0	0	0	0	5	13	0	0	0	0	82	15	0	13	0	0	0	0	6	0	0	0	0	1	3	82	193.5	0	1	0	0	0	0	49	0	1	0	0	0	0	13	5	3	0	0	0	0	0	0	0	0	107	10	2	0
1643	1698	"Mansell Pond"	45.04167	-68.73333	675	"AWI"	675	-80	179	32	14	0	0	1	0	0	0	442	1	0	0	0	0	0	0	0	0	0	2	2	19	3	0	0	2	72	9	0	7	1	0	0	3	4	0	0	0	0	0	7	69	162	0	2	0	0	0	0	35	0	0	0	0	0	0	16	5	0	0	0	0	4	0	0	1	0	104	9	0	0
1643	1698	"Mansell Pond"	45.04167	-68.73333	679	"AWI"	679	-58	214	63	6	0	0	1	0	1	0	431	0	1	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	90	19	4	13	1	0	0	0	1	0	0	0	0	0	3	69	156.5	0	0	0	0	0	0	46	0	0	0	0	0	0	9	5	0	0	0	0	0	0	1	1	0	82	6	0	0
1643	1698	"Mansell Pond"	45.04167	-68.73333	683	"AWI"	683	-43	263	91	10.5	0	0	3	0	2	0	406	0	0	0	0	0	0	0	0	0	0	0	6	3	2	0	0	0	79	15	0	5	3	0	0	0	1	0	0	0	0	0	4	78	129	0	0	0	0	0	0	34	0	0	0	0	0	0	21	2	0	0	0	0	0	0	1	0	0	101	6	0	0
1643	1698	"Mansell Pond"	45.04167	-68.73333	688	"AWI"	688	-9	296	131	9	0	0	0	0	1	0	393	0	0	0	0	0	0	0	0	0	0	0	3	7	4	0	0	0	88	18	0	3	1	0	0	0	1	0	0	0	0	0	2	83.5	149	0	0	0	0	0	0	27	0	0	5	0	0	0	16	1	0	2	0	0	0	0	0	0	0	112	9	1	0
1643	1698	"Mansell Pond"	45.04167	-68.73333	692	"AWI"	692	7	337	161	12.5	0	0	1	0	1	0	406	0	4	0	0	0	1	0	0	0	0	0	3	11	3	0	0	0	121	10	0	8	0	0	0	0	4	0	0	0	0	0	5	87	137	0	1	0	0	0	0	34	0	0	0	0	0	0	25	1	0	0	0	0	0	0	0	1	0	121	8	0	0
1643	1698	"Mansell Pond"	45.04167	-68.73333	696	"AWI"	696	35	369	191	4	0	0	0	0	1	0	365	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	123	14	0	2	1	0	0	0	5	0	0	0	0	0	6	77	158.5	0	0	0	0	0	0	42	0	0	0	0	0	0	16	4	0	0	0	0	0	0	1	1	0	171	6	0	0
1643	1698	"Mansell Pond"	45.04167	-68.73333	700	"AWI"	700	56	397	222	11.5	0	0	1	0	1	0	344	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	109	18	0	7	1	0	0	0	9	0	0	0	1	0	6	66.5	165.5	0	1	0	0	0	0	29	0	0	0	0	0	0	13	2	0	0	0	0	1	0	0	0	0	177	8	0	0
