"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Montiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"
1503	1541	"Kollioksak"	66.96667	-156.45	20	"AWI"	20	885	2473	1641	198	0	0	12	0	87	0	0	0	2	4	0	6	0	0	0	0	23	0	15	0	0	0	0	0	0	0	7	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	30	"AWI"	30	2307	2748	2541	208	0	0	9	0	91	0	0	0	14	2	0	3	5	0	0	0	29	0	9	0	0	0	0	0	0	0	9	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	40	"AWI"	40	2431	3201	2735	323	0	0	13	0	92	0	0	0	4	5	0	0	0	0	0	0	14	0	22	0	0	0	0	0	0	0	6	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	50	"AWI"	50	2528	3586	2914	228	0	0	5	0	87	0	0	0	12	5	0	2	6	0	0	1	42	0	11	0	0	0	0	0	0	0	8	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	60	"AWI"	60	2620	3854	3099	222	0	0	2	0	117	0	0	0	4	0	0	0	10	0	0	0	38	0	7	0	0	0	0	0	0	0	1	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	70	"AWI"	70	2757	4106	3308	191	0	0	1	0	78	0	1	0	15	5	0	1	10	0	0	0	55	0	13	0	0	0	0	0	0	0	5	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	80	"AWI"	80	2892	4366	3500	196	0	0	7	0	85	0	0	0	8	1	0	0	0	0	0	0	22	0	9	0	0	0	0	0	0	1	2	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	90	"AWI"	90	3005	4621	3702	207	0	0	5	0	70	0	0	1	8	0	1	2	0	0	0	0	30	0	15	0	0	0	0	0	0	0	5	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	100	"AWI"	100	3161	4820	3898	243	0	0	6	0	65	0	0	0	12	3	0	2	0	0	0	0	18	0	15	0	0	0	4	3	0	0	1	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	110	"AWI"	110	3321	5041	4099	205	0	0	5	0	96	0	0	0	10	4	1	0	0	0	0	0	89	0	7	0	0	0	0	0	0	0	2	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	120	"AWI"	120	3472	5255	4299	169	0	0	6	0	71	0	0	0	10	5	0	0	11	0	0	1	60	1	17	0	0	0	0	0	0	0	0	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	130	"AWI"	130	3663	5423	4497	263	0	0	6	0	47	0	0	0	2	7	0	3	0	0	0	1	18	0	15	0	0	0	0	0	0	0	2	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	140	"AWI"	140	3834	5596	4705	188	0	0	5	0	90	0	0	0	10	1	0	0	0	0	0	0	32	0	13	0	0	0	0	0	0	0	6	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	150	"AWI"	150	3981	5806	4905	205	0	0	5	0	111	0	0	0	9	2	0	2	0	0	0	0	42	0	12	0	0	0	0	0	0	0	2	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	160	"AWI"	160	4179	5967	5110	223	0	0	15	0	85	0	0	0	5	3	0	3	3	0	0	0	28	0	13	0	0	0	0	0	0	0	6	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	170	"AWI"	170	4358	6157	5314	233	0	0	9	0	98	0	0	0	4	3	0	0	0	1	0	1	26	0	12	0	0	0	0	0	0	0	3	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	180	"AWI"	180	4554	6343	5509	257	0	0	6	0	65	0	0	0	3	2	0	3	0	0	1	0	8	0	13	0	0	0	0	0	0	0	8	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	190	"AWI"	190	4781	6492	5715	183	0	0	2	0	86	0	0	0	3	3	0	1	9	0	0	0	20	0	9	0	0	0	0	0	0	0	2	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	200	"AWI"	200	4987	6665	5913	260	0	0	3	0	80	0	1	0	7	3	0	2	0	0	0	0	34	0	11	0	0	0	0	0	0	0	3	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	210	"AWI"	210	5189	6832	6118	333	0	0	5	0	97	0	0	0	10	6	0	1	0	0	0	0	28	0	21	0	0	0	0	0	0	0	1	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	220	"AWI"	220	5457	6971	6316	202	0	0	4	0	78	0	0	0	6	4	0	3	0	0	0	0	15	0	6	0	0	3	0	0	0	0	3	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	230	"AWI"	230	5688	7128	6519	184	0	0	1	0	61	0	2	0	11	4	0	1	0	0	0	0	28	0	6	0	0	0	0	0	0	0	1	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	240	"AWI"	240	5919	7266	6727	219	0	0	3	0	120	0	0	0	5	3	0	0	0	0	0	0	28	0	12	0	0	0	0	0	0	0	2	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	250	"AWI"	250	6236	7371	6926	245	0	0	2	0	118	0	0	0	11	6	0	4	0	0	0	0	30	0	10	0	0	0	0	0	0	0	6	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	260	"AWI"	260	6529	7503	7123	273	0	0	3	0	66	0	1	0	0	1	0	1	0	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	270	"AWI"	270	6855	7609	7314	235	0	0	1	0	75	0	0	0	9	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	280	"AWI"	280	7282	7781	7510	264	0	0	4	0	89	0	0	0	6	2	0	1	0	0	0	0	17	0	8	0	0	0	0	0	0	0	4	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	290	"AWI"	290	7442	8154	7735	251	0	0	0	0	83	0	0	0	3	1	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	2	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	300	"AWI"	300	7541	8723	7975	279	0	0	10	0	79	0	0	0	12	1	0	2	0	0	0	0	10	0	17	0	0	0	0	0	0	0	5	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	310	"AWI"	310	7698	9073	8233	222	1	0	2	0	91	0	0	0	14	2	0	2	0	0	0	1	1	0	21	0	0	0	0	0	0	0	4	0	1
1503	1541	"Kollioksak"	66.96667	-156.45	320	"AWI"	320	7853	9416	8488	317	0	0	12	0	90	0	1	0	5	3	0	1	0	0	0	0	4	0	12	0	0	0	0	0	0	1	2	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	330	"AWI"	330	8020	9710	8767	312	0	0	3	0	63	0	0	0	7	1	0	4	0	0	0	0	6	0	11	0	0	0	0	0	0	0	4	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	340	"AWI"	340	8266	9950	9028	197	0	0	2	0	72	0	0	0	4	3	0	1	0	0	0	0	4	0	13	0	0	0	0	0	0	0	3	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	350	"AWI"	350	8471	10193	9288	290	0	0	11	0	95	0	0	0	6	2	0	0	0	1	0	0	4	0	9	0	0	0	0	0	0	0	6	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	360	"AWI"	360	8681	10404	9549	223	0	0	7	0	87	0	0	0	5	0	0	0	0	0	0	0	9	0	15	0	0	0	0	0	0	0	2	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	370	"AWI"	370	9007	10610	9823	293	0	0	0	0	64	0	0	0	7	1	0	0	0	0	0	0	4	0	11	0	0	0	0	0	0	0	2	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	380	"AWI"	380	9271	10846	10083	225	0	0	4	0	76	0	0	0	9	5	0	0	0	0	0	0	2	0	15	0	0	0	0	0	0	0	5	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	390	"AWI"	390	9580	10989	10329	253	0	0	7	0	166	0	1	0	16	7	0	3	0	2	0	0	7	0	35	0	0	0	0	0	0	0	10	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	400	"AWI"	400	10148	11150	10570	73	0	0	11	0	155	0	1	0	29	3	0	5	0	2	0	1	3	0	48	0	0	0	0	0	0	0	6	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	405	"AWI"	405	10353	11304	10692	1	0	0	6	0	210	0	0	0	64	6	0	3	0	4	0	0	1	0	36	0	0	17	0	0	0	0	29	0	1
1503	1541	"Kollioksak"	66.96667	-156.45	410	"AWI"	410	10648	11925	11187	11	0	0	4	0	286	0	0	0	39	3	0	0	2	15	0	0	5	0	30	0	0	0	0	0	0	0	11	0	1
1503	1541	"Kollioksak"	66.96667	-156.45	420	"AWI"	420	10964	15146	12781	2	0	0	3	0	290	0	0	0	26	4	0	0	0	6	0	0	11	0	15	0	0	4	0	0	0	0	7	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	430	"AWI"	430	12428	16597	14436	1	0	1	5	0	315	0	0	0	27	0	1	1	0	5	0	0	4	0	32	0	0	0	0	0	0	1	15	0	1
1503	1541	"Kollioksak"	66.96667	-156.45	440	"AWI"	440	13567	17688	16023	1	0	0	3	0	296	0	0	0	21	5	0	5	0	2	0	0	3	0	27	0	0	7	0	0	0	0	16	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	445	"AWI"	445	14078	18073	16591	58	0	0	7	0	211	0	0	0	42	3	0	11	0	1	0	1	10	0	34	0	0	0	0	0	1	0	16	0	0
1503	1541	"Kollioksak"	66.96667	-156.45	450	"AWI"	450	14444	18993	17097	3	0	0	16	0	188	0	0	0	60	3	0	1	0	4	0	0	0	0	30	0	1	6	0	0	0	0	37	0	2
1503	1541	"Kollioksak"	66.96667	-156.45	453	"AWI"	453	14601	19809	17362	50	0	0	13	0	186	0	0	0	39	11	0	2	1	1	0	0	5	0	41	0	0	4	0	0	0	0	15	0	0
