"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Juglans"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tsuga"
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	0	"AWI"	0	-132	35	-57	48	0	3	0	50	0	3	84	0	0	1	0	98	95	1	0	0	2	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	2.5	"AWI"	2.5	-84	156	27.5	40	0	3	0	45	0	1	86	0	0	4	0	87	109	0	0	0	3	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	5	"AWI"	5	-64	341	108	46	0	3	0	41	0	1	31	0	0	4	0	132	70	0	0	0	1	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	7.5	"AWI"	7.5	-47.5	539.5	188.5	49	0	1	0	27	0	1	22	0	0	4	0	126	86	2	0	0	2	1	0	2	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	10	"AWI"	10	-33	737	270	46	1	1	0	15	0	0	9	0	0	6	0	147	78	0	0	0	2	0	2	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	12.5	"AWI"	12.5	42.5	807.5	356	33	1	1	0	21	0	0	14	0	0	5	0	167	69	0	0	0	1	0	1	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	15	"AWI"	15	86	897	438	35	1	5	0	39	0	1	19	0	0	4	0	121	89	3	0	0	2	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	17.5	"AWI"	17.5	119.5	1031.5	515	53	1	2	0	16	0	0	6	0	0	2	0	135	84	1	0	0	0	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	20	"AWI"	20	147	1206	590	40	0	0	0	30	0	0	13	0	0	9	0	138	81	1	0	0	0	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	22.5	"AWI"	22.5	236.5	1268.5	676	38	0	1	0	13	0	0	4	0	0	6	0	58	32	0	0	0	0	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	25	"AWI"	25	299	1340	770	75	0	0	0	39	0	3	14	0	0	4	0	105	74	0	0	0	2	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	27.5	"AWI"	27.5	344	1439	855	44	0	0	0	49	0	0	15	0	0	3	0	146	51	0	0	0	3	4	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	30	"AWI"	30	380	1566	937	36	0	2	0	43	0	0	21	0	0	2	0	165	48	0	0	0	2	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	32.5	"AWI"	32.5	493	1614.5	1021.5	43	0	0	0	42	0	0	18	0	0	1	0	147	58	1	0	0	5	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	35	"AWI"	35	566	1664	1114	64	0	2	0	26	0	0	14	0	0	7	0	122	76	0	0	0	2	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	37.5	"AWI"	37.5	623	1738.5	1204.5	57	1	3	0	45	0	2	27	0	0	4	0	93	81	1	0	0	10	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	40	"AWI"	40	675	1844	1290	48	0	5	0	43	0	2	14	0	1	7	0	120	63	2	0	0	9	0	1	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	42.5	"AWI"	42.5	797.5	1875.5	1373.5	28	0	3	0	37	0	0	14	0	0	8	0	133	84	0	0	0	5	1	0	0	1
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	45	"AWI"	45	892	1917	1456	46	0	9	0	44	0	1	19	0	1	6	0	153	35	0	0	0	3	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	47.5	"AWI"	47.5	964	1969.5	1549	51	0	1	0	28	0	2	3	0	0	7	0	125	73	0	0	0	0	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	50	"AWI"	50	1015	2053	1634	39	0	0	0	31	0	1	17	0	0	6	0	137	82	2	0	0	2	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	52.5	"AWI"	52.5	1210.5	2080.5	1709	62	0	2	0	34	0	2	61	0	0	10	0	91	90	1	1	0	7	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	55	"AWI"	55	1375	2114	1785	41	0	9	0	32	0	2	86	0	0	10	0	132	60	0	0	0	16	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	57.5	"AWI"	57.5	1487	2162.5	1868	54	0	4	0	40	0	1	12	0	0	7	0	135	47	0	1	0	10	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	60	"AWI"	60	1564	2240	1952	58	0	2	0	35	0	1	24	0	0	3	0	128	63	1	0	0	9	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	62.5	"AWI"	62.5	1613	2265.5	1989	38	0	0	0	23	0	2	21	0	0	5	0	151	79	0	0	0	2	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	65	"AWI"	65	1650	2294	2026	53	2	3	0	41	0	1	16	0	0	5	0	134	52	4	0	0	5	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	67.5	"AWI"	67.5	1680.5	2332.5	2061	20	0	0	0	30	0	0	11	0	0	3	0	187	50	2	0	0	6	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	70	"AWI"	70	1709	2387	2095	46	0	1	0	26	0	0	23	0	0	2	0	179	45	0	0	0	0	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	72.5	"AWI"	72.5	1755.5	2411.5	2130	22	0	0	0	20	0	0	45	0	0	3	0	187	59	2	0	0	3	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	75	"AWI"	75	1799	2438	2164	64	0	0	0	31	0	3	14	0	0	2	0	117	62	0	0	0	21	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	77.5	"AWI"	77.5	1830.5	2477.5	2196	40	1	0	0	16	0	0	15	0	0	1	0	181	48	1	0	0	10	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	80	"AWI"	80	1855	2529	2229	20	0	1	0	13	0	4	18	0	0	0	0	200	61	1	0	0	3	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	82.5	"AWI"	82.5	1912	2553.5	2262	28	0	1	0	22	0	2	20	0	0	2	0	185	51	0	0	0	11	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	85	"AWI"	85	1959	2582	2294	53	0	0	0	32	1	1	71	0	0	3	0	168	36	0	0	0	6	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	87.5	"AWI"	87.5	1995.5	2617.5	2328.5	64	0	3	0	35	0	1	21	0	0	7	0	138	41	0	0	0	9	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	90	"AWI"	90	2019	2661	2362	34	1	1	0	16	0	0	930	0	0	0	0	68	24	0	0	0	153	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	92.5	"AWI"	92.5	2081	2680	2393.5	46	0	3	0	21	0	2	7	0	0	2	0	156	62	0	0	0	8	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	95	"AWI"	95	2131	2703	2428	35	0	0	0	28	0	1	5	0	0	3	0	180	50	1	0	0	2	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	97.5	"AWI"	97.5	2157.5	2730.5	2461.5	42	0	2	0	31	0	0	0	0	0	2	0	183	33	5	0	0	1	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	100	"AWI"	100	2183	2774	2494	67	0	1	0	50	0	1	7	0	0	0	0	143	34	0	0	0	2	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	102.5	"AWI"	102.5	2215	2799	2525.5	55	0	4	0	26	0	2	43	0	0	2	0	161	43	0	0	0	9	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	105	"AWI"	105	2247	2836	2558	96	0	1	0	61	0	2	12	1	0	4	0	97	36	0	0	0	2	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	107.5	"AWI"	107.5	2275	2879.5	2588	61	0	1	0	28	0	6	31	0	0	4	0	108	93	0	0	0	4	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	110	"AWI"	110	2302	2937	2617	87	0	2	0	33	0	0	9	0	0	4	0	129	36	1	0	0	3	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	112.5	"AWI"	112.5	2335.5	2964	2646.5	96	0	3	0	35	0	0	14	0	0	8	0	119	31	1	0	0	4	2	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	115	"AWI"	115	2363	2993	2676	76	0	4	0	42	0	4	30	0	0	3	0	130	37	0	0	0	4	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	117.5	"AWI"	117.5	2385.5	3038.5	2706	89	0	6	0	30	0	1	45	0	0	2	0	133	26	3	0	0	7	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	120	"AWI"	120	2408	3090	2734	62	1	0	0	23	0	1	26	0	0	0	0	137	41	1	0	0	34	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	122.5	"AWI"	122.5	2440	3116.5	2765	47	1	3	0	22	0	0	29	0	0	3	0	165	44	1	0	0	11	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	125	"AWI"	125	2466	3148	2796	80	1	2	0	22	0	2	12	0	0	0	0	142	17	0	0	0	30	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	127.5	"AWI"	127.5	2487.5	3186	2826	28	0	1	0	16	0	1	34	0	0	2	0	219	27	0	0	0	4	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	130	"AWI"	130	2506	3232	2856	51	0	2	0	28	0	3	32	0	0	5	0	156	44	1	0	0	10	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	132.5	"AWI"	132.5	2536	3258	2886.5	42	0	2	0	29	0	0	35	0	0	5	0	162	58	0	0	0	2	0	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	135	"AWI"	135	2561	3291	2917	85	1	1	0	24	0	0	31	0	0	3	0	129	46	0	0	0	9	1	0	0	0
782	802	"Ennadai Lake, 1972 Site"	61.24444	-100.95139	137.5	"AWI"	137.5	2585.5	3329.5	2947	73	0	3	0	30	0	5	21	0	0	3	0	135	28	0	0	0	26	0	0	0	0
