"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rhus"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
205	205	"Andrus Lake"	46.701316	-85.03964	0.25	"AWI"	0.25	-36.75	-31.5	-34.25	1.61290322580645	0	1.20967741935484	0.806451612903226	0	0	5.24193548387097	8.87096774193548	0	0	0	1.20967741935484	0.403225806451613	0	0.403225806451613	0	0	0.806451612903226	0.403225806451613	0.403225806451613	0	0	0	5.24193548387097	67.3387096774193	0	0.806451612903226	0.403225806451613	2.41935483870968	0.403225806451613	0	0	0.403225806451613	0	0	0.806451612903226	0.806451612903226
205	205	"Andrus Lake"	46.701316	-85.03964	3.25	"AWI"	3.25	-25	-20.75	-23	1.2	0	0	0	0	1.2	0	13.2	0	0	0.4	6.8	0.8	0.4	0	0	0	0.4	0	0	0	0	0.8	4.4	58.8	0	2	0.8	4.4	0	0.4	0	0	0.4	0.4	2.4	0.8
205	205	"Andrus Lake"	46.701316	-85.03964	6.25	"AWI"	6.25	-9	-2.25	-6	1.51515151515152	0	2.42424242424242	0	0	0.303030303030303	5.45454545454545	14.5454545454545	0	0	0	2.42424242424242	0.303030303030303	0	0.909090909090909	0	0	0.909090909090909	0.303030303030303	0	0	0	0	8.18181818181818	53.6363636363636	0	0.303030303030303	2.12121212121212	3.33333333333333	0	0	0	0.606060606060606	0	0	1.21212121212121	1.51515151515152
205	205	"Andrus Lake"	46.701316	-85.03964	10.25	"AWI"	10.25	24	31.75	27.75	1.6260162601626	0	1.6260162601626	0.40650406504065	0	1.21951219512195	6.50406504065041	17.8861788617886	0.40650406504065	0	0.40650406504065	8.13008130081301	0	0	0.813008130081301	2.03252032520325	0.40650406504065	0.813008130081301	0	0	0.40650406504065	0	0	4.47154471544715	43.9024390243902	0	1.21951219512195	1.21951219512195	4.0650406504065	0	0	0	0	0	0	1.6260162601626	0.813008130081301
205	205	"Andrus Lake"	46.701316	-85.03964	10.75	"AWI"	10.75	28	35.25	31.25	1.68776371308017	0	2.53164556962025	0	0	0.843881856540084	3.37552742616034	17.2995780590717	0.421940928270042	0.421940928270042	0	7.17299578059072	0.843881856540084	0	1.68776371308017	0	0	0.843881856540084	0.843881856540084	0	0.421940928270042	0	2.53164556962025	7.59493670886076	39.662447257384	0	0.843881856540084	0.843881856540084	4.64135021097046	0	0	0	0.843881856540084	0	0	2.53164556962025	2.10970464135021
205	205	"Andrus Lake"	46.701316	-85.03964	11.25	"AWI"	11.25	31.25	38.5	34.5	0	0	1.8796992481203	0	0.37593984962406	0.75187969924812	4.88721804511278	20.3007518796992	0	0	0.37593984962406	4.88721804511278	0.75187969924812	0	1.50375939849624	0	0	0.37593984962406	0.75187969924812	0	0	0	0	7.5187969924812	44.7368421052632	0	1.12781954887218	0.37593984962406	6.76691729323308	0	0	0	0.37593984962406	0	0	1.12781954887218	1.12781954887218
205	205	"Andrus Lake"	46.701316	-85.03964	11.75	"AWI"	11.75	33.75	41.5	37.5	0.446428571428571	0	0.446428571428571	0	0	0.446428571428571	4.46428571428571	22.3214285714286	0	0	0	6.25	2.23214285714286	0	2.23214285714286	0.892857142857143	0	0	0	0	0.446428571428571	0	1.33928571428571	3.125	45.0892857142857	0	0.446428571428571	0.446428571428571	6.69642857142857	0	0	0	0	0.446428571428571	0	2.23214285714286	0
205	205	"Andrus Lake"	46.701316	-85.03964	12.25	"AWI"	12.25	36.25	44	40.25	0.421940928270042	0	1.68776371308017	0	0	1.68776371308017	0	22.3628691983122	0	0	0.421940928270042	6.75105485232067	0	0.421940928270042	1.26582278481013	0	0	0	0	0	0.421940928270042	0	0.843881856540084	7.17299578059072	45.9915611814346	0	0	0	7.17299578059072	0	0	0	0.421940928270042	0	0	1.68776371308017	1.26582278481013
205	205	"Andrus Lake"	46.701316	-85.03964	15.25	"AWI"	15.25	46.75	55.5	50.75	0.395256916996047	0	0.395256916996047	0.395256916996047	0	1.18577075098814	0	16.2055335968379	0.395256916996047	0	0.395256916996047	3.16205533596838	0.395256916996047	0	1.18577075098814	0.790513833992095	0.790513833992095	0	0	0	0.790513833992095	0.395256916996047	1.18577075098814	4.74308300395257	51.3833992094862	0.395256916996047	1.18577075098814	1.58102766798419	5.53359683794466	0	0.395256916996047	0	0	0	0	5.13833992094862	1.58102766798419
205	205	"Andrus Lake"	46.701316	-85.03964	16.75	"AWI"	16.75	51.25	59.25	55.25	0.37593984962406	0	1.12781954887218	0	0	0.75187969924812	0	10.9022556390977	0.37593984962406	0	0	9.77443609022556	0.37593984962406	0	0.75187969924812	1.12781954887218	0.37593984962406	0.75187969924812	0	0.37593984962406	0.37593984962406	0	0.75187969924812	6.01503759398496	52.2556390977444	0.37593984962406	1.8796992481203	0.75187969924812	4.88721804511278	0	0	0	0	0	0	3.00751879699248	2.63157894736842
205	205	"Andrus Lake"	46.701316	-85.03964	18.25	"AWI"	18.25	55.75	64.75	59.75	0.377358490566038	0	1.50943396226415	0	0	2.26415094339623	0	22.2641509433962	0	0	0.377358490566038	6.41509433962264	1.88679245283019	0	1.13207547169811	0	0	0.754716981132076	0	0	0.754716981132076	0	1.13207547169811	6.41509433962264	46.0377358490566	0	1.13207547169811	0	4.52830188679245	0	0	0	0	0	0	2.64150943396226	0.377358490566038
