"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"
1605	1656	"Lofty Lake"	54.72528	-112.48083	0	"AWI"	0	-100	73	-16	2	108	2	0	38	0	325	0	0	0	0	0	25	0	0	0	0	0	0	0	3	0	0	0	245	210	0	20	0	15	0	0	0	0	0	0	20	3	0	0	0
1605	1656	"Lofty Lake"	54.72528	-112.48083	10	"AWI"	10	-21	637	182	2	70	2	0	40	0	400	0	0	0	0	8	20	0	0	0	0	0	0	1	5	0	0	0	255	153	0	22	0	25	0	0	0	0	0	0	25	1	0	0	0
1605	1656	"Lofty Lake"	54.72528	-112.48083	20	"AWI"	20	34	1218	386	0	94	3	0	20	0	320	0	0	0	0	8	22	0	0	0	0	1	0	0	5	0	0	0	235	250	1	22	0	20	0	1	0	0	0	1	35	0	0	0	0
1605	1656	"Lofty Lake"	54.72528	-112.48083	30	"AWI"	30	136	1498	633	1	135	0	0	20	0	340	0	0	0	0	0	23	0	0	0	1	0	1	0	12	0	0	0	220	195	0	30	0	16	0	0	0	0	0	0	38	0	0	0	0
1605	1656	"Lofty Lake"	54.72528	-112.48083	40	"AWI"	40	265	1849	869	2	90	2	0	21	0	405	0	0	1	0	0	20	0	0	0	0	0	0	0	8	0	0	0	235	170	0	20	0	18	0	0	0	0	0	0	30	0	0	0	0
1605	1656	"Lofty Lake"	54.72528	-112.48083	50	"AWI"	50	422	2083	1122	1	130	2	0	40	0	300	0	0	0	0	0	40	0	0	0	0	0	0	4	7	0	0	0	178	255	0	35	0	17	0	1	0	0	0	0	40	0	0	0	0
1605	1656	"Lofty Lake"	54.72528	-112.48083	60	"AWI"	60	584	2336	1366	1	110	6	0	20	0	330	0	0	0	0	0	23	0	0	0	0	0	0	0	12	0	0	0	200	240	0	20	0	30	0	0	0	0	0	0	40	1	0	0	0
1605	1656	"Lofty Lake"	54.72528	-112.48083	70	"AWI"	70	737	2574	1598	2	106	2	0	20	0	260	0	0	0	0	0	28	0	0	0	0	0	0	1	7	0	0	0	255	245	1	20	0	21	0	0	0	0	0	0	55	0	2	0	0
1605	1656	"Lofty Lake"	54.72528	-112.48083	80	"AWI"	80	959	2772	1841	6	95	2	1	20	0	330	0	0	0	0	0	21	0	0	0	0	0	0	0	6	0	0	0	280	180	0	16	0	40	1	0	0	0	0	0	24	0	0	0	0
1605	1656	"Lofty Lake"	54.72528	-112.48083	90	"AWI"	90	1114	2973	2085	6	143	0	0	35	0	251	0	0	0	0	6	21	0	0	0	0	0	0	3	8	0	0	0	194	251	0	30	0	26	0	0	0	0	0	0	60	0	0	0	0
