"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Castanea"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Isoëtes echinospora"	"Isoëtes lacustris"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Rhododendron"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Tofieldiaceae"	"Tsuga"	"Ulmus"
334	341	"Caribou Hill"	55.66667	-63.25	580	"AWI"	580	-142	18	-67	2	0	63	0	0	0	93	1	0	0	12	0	0	0	4	7	3	0	219	11	6	0	0	0	0	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	590	"AWI"	590	-51	666	199	0	0	44	1	1	0	37	0	0	1	13	0	0	0	8	1	3	1	205	4	6	0	0	1	0	0	0	1	0	0	1	0
334	341	"Caribou Hill"	55.66667	-63.25	601	"AWI"	601	189	908	550	0	0	29	0	0	0	47	0	1	0	17	0	0	0	3	1	3	0	300	6	6	0	0	0	0	0	2	1	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	610	"AWI"	610	507	1087	837	0	1	18	0	2	0	40	0	1	0	6	0	0	1	4	14	4	1	263	6	10	0	0	0	0	0	0	1	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	620	"AWI"	620	856	1437	1107	2	0	50	0	0	2	31	0	0	0	3	0	0	0	1	14	3	0	253	2	3	0	0	0	0	0	0	1	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	630	"AWI"	630	1016	1812	1367	0	0	22	1	1	0	51	0	0	0	7	0	0	0	4	13	3	0	318	12	4	1	0	0	0	0	0	2	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	640	"AWI"	640	1209	2062	1632	0	0	31	0	1	0	84	0	0	0	7	0	0	7	13	30	0	0	340	8	6	0	0	0	0	0	0	1	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	650	"AWI"	650	1463	2265	1898	1	0	29	0	0	0	58	0	0	0	3	0	0	0	5	22	6	1	301	8	3	1	0	0	0	0	0	1	0	1	0	0
334	341	"Caribou Hill"	55.66667	-63.25	660	"AWI"	660	1849	2424	2139	2	0	46	0	0	0	76	0	0	0	6	0	0	0	5	19	2	0	207	4	2	0	0	0	0	0	0	2	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	670	"AWI"	670	2019	2943	2401	5	0	87	1	0	0	72	0	0	0	4	0	0	0	3	5	6	0	283	3	3	0	0	0	0	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	680	"AWI"	680	2200	3285	2689	1	0	56	0	0	0	41	0	0	0	4	0	0	0	3	9	0	0	290	3	7	1	0	0	0	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	690	"AWI"	690	2424	3552	2987	3	0	66	0	0	0	56	0	0	0	0	0	0	0	0	3	0	0	240	3	3	0	1	0	0	0	0	1	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	700	"AWI"	700	2703	3779	3287	3	0	66	0	1	0	50	0	0	0	13	0	0	0	0	9	0	0	189	1	3	0	0	0	0	0	0	1	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	710	"AWI"	710	3050	3992	3576	2	0	42	0	0	0	25	0	0	0	3	0	0	0	2	9	0	1	157	1	0	0	0	0	1	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	720	"AWI"	720	3273	4207	3790	7	0	90	1	1	0	69	0	0	0	5	0	0	0	2	19	0	0	229	0	4	0	0	1	0	0	0	1	0	0	1	0
334	341	"Caribou Hill"	55.66667	-63.25	730	"AWI"	730	3447	4434	3954	0	0	56	0	0	0	47	0	0	0	3	0	0	0	0	6	0	0	193	0	5	0	0	0	0	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	740	"AWI"	740	3608	4634	4126	2	0	73	0	0	0	72	0	0	0	1	0	0	0	1	7	2	0	165	1	2	0	0	0	0	0	0	1	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	750	"AWI"	750	3768	4823	4289	2	0	44	0	2	0	58	0	0	0	3	0	0	0	4	5	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	760	"AWI"	760	3929	5008	4465	6	0	67	0	0	0	60	0	0	0	2	0	0	0	2	7	1	0	203	0	7	0	0	0	0	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	770	"AWI"	770	4089	5172	4633	4	0	62	0	1	3	66	0	0	0	3	0	0	0	4	5	3	1	182	2	5	0	0	0	1	0	0	2	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	775	"AWI"	775	4187	5228	4718	1	0	80	0	0	2	55	0	0	0	5	0	0	0	6	6	1	0	198	0	2	0	0	0	0	0	0	3	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	780	"AWI"	780	4269	5328	4807	0	0	84	0	2	0	56	0	0	0	6	0	0	0	0	0	4	1	180	2	1	0	0	0	0	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	785	"AWI"	785	4387	5383	4892	2	0	75	0	0	2	79	0	0	0	4	0	0	0	4	5	3	0	193	5	0	0	0	0	0	0	0	1	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	790	"AWI"	790	4459	5481	4979	3	0	47	0	0	0	56	0	0	0	3	0	0	0	5	6	3	0	235	0	3	0	0	0	0	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	795	"AWI"	795	4571	5542	5063	3	0	74	0	0	0	56	0	0	0	3	0	0	1	1	0	4	0	226	1	2	0	0	0	0	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	800	"AWI"	800	4645	5632	5146	3	0	82	0	0	0	76	0	0	0	1	0	0	0	1	0	0	0	168	2	4	0	0	0	0	0	0	1	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	805	"AWI"	805	4768	5691	5231	1	0	56	0	0	0	50	0	0	0	2	0	0	0	2	0	14	0	209	2	1	0	0	0	0	0	0	1	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	810	"AWI"	810	4851	5770	5316	0	0	84	0	1	0	78	0	0	0	3	0	0	0	1	0	2	0	170	3	2	0	0	0	0	0	0	1	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	815	"AWI"	815	4986	5821	5396	0	0	64	0	1	0	99	0	1	0	8	0	0	0	3	0	10	0	191	3	5	0	0	0	0	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	820	"AWI"	820	5079	5899	5475	4	0	108	0	0	0	120	0	0	0	6	0	1	0	1	0	18	0	158	2	2	0	0	0	0	0	0	0	0	0	0	0
334	341	"Caribou Hill"	55.66667	-63.25	825	"AWI"	825	5222	5972	5566	4	0	124	0	0	0	110	0	0	0	3	0	0	0	1	0	0	0	83	2	5	0	0	0	0	0	0	0	0	0	0	0
