"cluster.id" "x" "y"
"436" "clust.1" 6.620833 45.4375
"436.1" "clust.1" 6.620833 45.4375
"436.2" "clust.1" 6.620833 45.4375
"431" "clust.1" 6.570833 45.72083
"426" "clust.1" 6.354167 45.8375
"426.1" "clust.1" 6.354167 45.8375
"429" "clust.1" 6.279167 45.74583
"426.2" "clust.1" 6.354167 45.8375
"431.1" "clust.1" 6.570833 45.72083
"431.2" "clust.1" 6.570833 45.72083
"426.3" "clust.1" 6.354167 45.8375
"429.1" "clust.1" 6.279167 45.74583
"436.3" "clust.1" 6.620833 45.4375
"431.3" "clust.1" 6.570833 45.72083
"436.4" "clust.1" 6.620833 45.4375
"429.2" "clust.1" 6.279167 45.74583
"436.5" "clust.1" 6.620833 45.4375
"431.4" "clust.1" 6.570833 45.72083
"436.6" "clust.1" 6.620833 45.4375
"436.7" "clust.1" 6.620833 45.4375
"436.8" "clust.1" 6.620833 45.4375
"431.5" "clust.1" 6.570833 45.72083
"431.6" "clust.1" 6.570833 45.72083
"429.3" "clust.1" 6.279167 45.74583
"426.4" "clust.1" 6.354167 45.8375
"436.9" "clust.1" 6.620833 45.4375
"431.7" "clust.1" 6.570833 45.72083
"426.5" "clust.1" 6.354167 45.8375
"429.4" "clust.1" 6.279167 45.74583
"431.8" "clust.1" 6.570833 45.72083
"436.10" "clust.1" 6.620833 45.4375
"426.6" "clust.1" 6.354167 45.8375
"426.7" "clust.1" 6.354167 45.8375
"436.11" "clust.1" 6.620833 45.4375
"436.12" "clust.1" 6.620833 45.4375
"426.8" "clust.1" 6.354167 45.8375
"426.9" "clust.1" 6.354167 45.8375
"429.5" "clust.1" 6.279167 45.74583
"436.13" "clust.1" 6.620833 45.4375
"426.10" "clust.1" 6.354167 45.8375
"426.11" "clust.1" 6.354167 45.8375
"431.9" "clust.1" 6.570833 45.72083
"436.14" "clust.1" 6.620833 45.4375
"431.10" "clust.1" 6.570833 45.72083
"426.12" "clust.1" 6.354167 45.8375
"436.15" "clust.1" 6.620833 45.4375
"431.11" "clust.1" 6.570833 45.72083
"431.12" "clust.1" 6.570833 45.72083
"436.16" "clust.1" 6.620833 45.4375
"429.6" "clust.1" 6.279167 45.74583
