"cluster.id" "x" "y"
"23899.6" "clust.4" 7.3625 47.25417
"23899.7" "clust.4" 7.3625 47.25417
"23899.8" "clust.4" 7.3625 47.25417
"23899.9" "clust.4" 7.3625 47.25417
"23899.10" "clust.4" 7.3625 47.25417
"23899.11" "clust.4" 7.3625 47.25417
"23899.12" "clust.4" 7.3625 47.25417
"23899.13" "clust.4" 7.3625 47.25417
"23899.14" "clust.4" 7.3625 47.25417
"23899.15" "clust.4" 7.3625 47.25417
"23899.16" "clust.4" 7.3625 47.25417
"23899.17" "clust.4" 7.3625 47.25417
"23899.18" "clust.4" 7.3625 47.25417
"23899.19" "clust.4" 7.3625 47.25417
"23899.20" "clust.4" 7.3625 47.25417
"23899.21" "clust.4" 7.3625 47.25417
"23899.22" "clust.4" 7.3625 47.25417
"23899.23" "clust.4" 7.3625 47.25417
"23899.24" "clust.4" 7.3625 47.25417
"23899.25" "clust.4" 7.3625 47.25417
"23964" "clust.5" 6.2375 45.95417
"23964.1" "clust.5" 6.2375 45.95417
"23964.2" "clust.5" 6.2375 45.95417
"23964.3" "clust.5" 6.2375 45.95417
"23964.4" "clust.5" 6.2375 45.95417
"23776" "clust.6" 16.229167 48.1875
"23781" "clust.6" 16.204167 48.12083
"23781.1" "clust.6" 16.204167 48.12083
"23776.1" "clust.6" 16.229167 48.1875
"23781.2" "clust.6" 16.204167 48.12083
"23934" "clust.6" 11.129167 46.6625
"23778" "clust.6" 16.229167 48.17917
"23818" "clust.6" 10.270833 47.6375
"23781.3" "clust.6" 16.204167 48.12083
"23781.4" "clust.6" 16.204167 48.12083
"23781.5" "clust.6" 16.204167 48.12083
"23781.6" "clust.6" 16.204167 48.12083
"23934.1" "clust.6" 11.129167 46.6625
"23776.2" "clust.6" 16.229167 48.1875
"23781.7" "clust.6" 16.204167 48.12083
"23778.1" "clust.6" 16.229167 48.17917
"23818.1" "clust.6" 10.270833 47.6375
"23776.3" "clust.6" 16.229167 48.1875
"23818.2" "clust.6" 10.270833 47.6375
"23818.3" "clust.6" 10.270833 47.6375
"23781.8" "clust.6" 16.204167 48.12083
"23818.4" "clust.6" 10.270833 47.6375
"23781.9" "clust.6" 16.204167 48.12083
"23776.4" "clust.6" 16.229167 48.1875
"23934.2" "clust.6" 11.129167 46.6625
"23778.2" "clust.6" 16.229167 48.17917
"23776.5" "clust.6" 16.229167 48.1875
"23781.10" "clust.6" 16.204167 48.12083
"23781.11" "clust.6" 16.204167 48.12083
"23934.3" "clust.6" 11.129167 46.6625
"23781.12" "clust.6" 16.204167 48.12083
"23778.3" "clust.6" 16.229167 48.17917
"23776.6" "clust.6" 16.229167 48.1875
"23781.13" "clust.6" 16.204167 48.12083
"23934.4" "clust.6" 11.129167 46.6625
"23781.14" "clust.6" 16.204167 48.12083
"23934.5" "clust.6" 11.129167 46.6625
"23934.6" "clust.6" 11.129167 46.6625
"23934.7" "clust.6" 11.129167 46.6625
"23778.4" "clust.6" 16.229167 48.17917
"23776.7" "clust.6" 16.229167 48.1875
"23776.8" "clust.6" 16.229167 48.1875
"23778.5" "clust.6" 16.229167 48.17917
"23781.15" "clust.6" 16.204167 48.12083
"23781.16" "clust.6" 16.204167 48.12083
"23818.5" "clust.6" 10.270833 47.6375
"23781.17" "clust.6" 16.204167 48.12083
"23776.9" "clust.6" 16.229167 48.1875
"23781.18" "clust.6" 16.204167 48.12083
"23778.6" "clust.6" 16.229167 48.17917
"23934.8" "clust.6" 11.129167 46.6625
"23818.6" "clust.6" 10.270833 47.6375
"23781.19" "clust.6" 16.204167 48.12083
"23781.20" "clust.6" 16.204167 48.12083
"23934.9" "clust.6" 11.129167 46.6625
"23934.10" "clust.6" 11.129167 46.6625
"23781.21" "clust.6" 16.204167 48.12083
"23934.11" "clust.6" 11.129167 46.6625
"23776.10" "clust.6" 16.229167 48.1875
"23934.12" "clust.6" 11.129167 46.6625
"23935" "clust.7" 10.470833 46.65417
"23962" "clust.7" 6.8375 46.07917
"23935.1" "clust.7" 10.470833 46.65417
"23935.2" "clust.7" 10.470833 46.65417
"23935.3" "clust.7" 10.470833 46.65417
"23935.4" "clust.7" 10.470833 46.65417
"23962.1" "clust.7" 6.8375 46.07917
"23935.5" "clust.7" 10.470833 46.65417
"23962.2" "clust.7" 6.8375 46.07917
"23935.6" "clust.7" 10.470833 46.65417
"23962.3" "clust.7" 6.8375 46.07917
"23962.4" "clust.7" 6.8375 46.07917
"23962.5" "clust.7" 6.8375 46.07917
"23962.6" "clust.7" 6.8375 46.07917
"23962.7" "clust.7" 6.8375 46.07917
"23935.7" "clust.7" 10.470833 46.65417
"23930" "clust.9" 11.0625 46.70417
"23927" "clust.9" 10.4875 46.87083
"23815" "clust.9" 14.354167 47.65417
"23957" "clust.9" 12.204167 46.1875
"23785" "clust.9" 14.2125 47.87917
"23771" "clust.9" 15.329167 48.32917
"23930.1" "clust.9" 11.0625 46.70417
"23771.1" "clust.9" 15.329167 48.32917
"23957.1" "clust.9" 12.204167 46.1875
"23927.1" "clust.9" 10.4875 46.87083
"23815.1" "clust.9" 14.354167 47.65417
"23930.2" "clust.9" 11.0625 46.70417
"23815.2" "clust.9" 14.354167 47.65417
"23771.2" "clust.9" 15.329167 48.32917
"23785.1" "clust.9" 14.2125 47.87917
"23785.2" "clust.9" 14.2125 47.87917
"23771.3" "clust.9" 15.329167 48.32917
"23815.3" "clust.9" 14.354167 47.65417
"23927.2" "clust.9" 10.4875 46.87083
"23930.3" "clust.9" 11.0625 46.70417
"23785.3" "clust.9" 14.2125 47.87917
"23957.2" "clust.9" 12.204167 46.1875
"23930.4" "clust.9" 11.0625 46.70417
"23815.4" "clust.9" 14.354167 47.65417
"23860" "clust.10" 10.254167 47.4875
"23791" "clust.10" 16.029167 47.8125
"23791.1" "clust.10" 16.029167 47.8125
"23786" "clust.10" 15.829167 47.8625
"23791.2" "clust.10" 16.029167 47.8125
"23942" "clust.10" 11.529167 46.54583
"23791.3" "clust.10" 16.029167 47.8125
"23942.1" "clust.10" 11.529167 46.54583
"23780" "clust.10" 15.970833 48.12917
"23791.4" "clust.10" 16.029167 47.8125
"23791.5" "clust.10" 16.029167 47.8125
"23791.6" "clust.10" 16.029167 47.8125
"23780.1" "clust.10" 15.970833 48.12917
"23942.2" "clust.10" 11.529167 46.54583
"23942.3" "clust.10" 11.529167 46.54583
"23791.7" "clust.10" 16.029167 47.8125
"23786.1" "clust.10" 15.829167 47.8625
"23942.4" "clust.10" 11.529167 46.54583
"23860.1" "clust.10" 10.254167 47.4875
"23780.2" "clust.10" 15.970833 48.12917
"23860.2" "clust.10" 10.254167 47.4875
"23944" "clust.11" 11.554167 46.5375
"23822" "clust.11" 13.704167 47.62917
"23943" "clust.11" 11.4625 46.5375
"23943.1" "clust.11" 11.4625 46.5375
"23835" "clust.11" 10.0125 47.57083
"23937" "clust.11" 11.554167 46.57917
"23822.1" "clust.11" 13.704167 47.62917
"23893" "clust.11" 9.5375 47.27083
"23938" "clust.11" 11.470833 46.5625
"23893.1" "clust.11" 9.5375 47.27083
"23939" "clust.11" 11.579167 46.5625
"23787" "clust.11" 10.629167 47.82917
"23944.1" "clust.11" 11.554167 46.5375
"23939.1" "clust.11" 11.579167 46.5625
"23939.2" "clust.11" 11.579167 46.5625
"23944.2" "clust.11" 11.554167 46.5375
"23940" "clust.11" 11.5375 46.55417
"23939.3" "clust.11" 11.579167 46.5625
"23896" "clust.11" 11.404167 47.27083
"23940.1" "clust.11" 11.5375 46.55417
"23972" "clust.11" 10.1625 45.7875
"23896.1" "clust.11" 11.404167 47.27083
"23875" "clust.11" 9.670833 47.40417
"23940.2" "clust.11" 11.5375 46.55417
"23896.2" "clust.11" 11.404167 47.27083
"23834" "clust.11" 9.979167 47.57083
"23897" "clust.11" 14.7875 47.27083
"23824" "clust.11" 10.670833 47.60417
"23895" "clust.11" 9.5625 47.27083
"23892" "clust.11" 9.554167 47.27917
"23897.1" "clust.11" 14.7875 47.27083
"23843" "clust.11" 16.054167 47.55417
"23783" "clust.11" 12.479167 47.9375
"23901" "clust.11" 11.329167 47.25417
"23822.2" "clust.11" 13.704167 47.62917
"23816" "clust.11" 15.829167 47.65417
"23816.1" "clust.11" 15.829167 47.65417
"23946" "clust.11" 11.529167 46.52917
"23847" "clust.11" 9.929167 47.5375
"23940.3" "clust.11" 11.5375 46.55417
"23834.1" "clust.11" 9.979167 47.57083
"23940.4" "clust.11" 11.5375 46.55417
"23891" "clust.11" 9.554167 47.2875
"23834.2" "clust.11" 9.979167 47.57083
"23834.3" "clust.11" 9.979167 47.57083
