yr_kyr;eccentricity ;obliquity ;precession
0;0.01724 ;23.446 ;0.017 
1;0.01764 ;23.573 ;0.017 
2;0.01802 ;23.697 ;0.017 
3;0.01838 ;23.815 ;0.014 
4;0.01870 ;23.923 ;0.010 
5;0.01899 ;24.019 ;0.005 
6;0.01925 ;24.100 ;0.000 
7;0.01948 ;24.163 ;-0.006 
8;0.01967 ;24.206 ;-0.011 
9;0.01984 ;24.229 ;-0.015 
10;0.01997 ;24.229 ;-0.018 
11;0.02007 ;24.207 ;-0.020 
12;0.02014 ;24.161 ;-0.020 
13;0.02018 ;24.093 ;-0.018 
14;0.02018 ;24.004 ;-0.015 
15;0.02015 ;23.895 ;-0.011 
16;0.02010 ;23.769 ;-0.005 
17;0.02001 ;23.627 ;0.000 
18;0.01990 ;23.475 ;0.006 
19;0.01976 ;23.315 ;0.011 
20;0.01959 ;23.151 ;0.015 
21;0.01940 ;22.989 ;0.018 
22;0.01918 ;22.832 ;0.019 
